# Output table from Spectronaut filtered for the comparison of Geriatric to Young mouse crypts isolated from duodenum only. Related to Figure 3 and S3.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
ger duo / young duo,Q8R1H0,Hopx,Homeodomain-only protein,HOP_MOUSE,4,1.040789962,1.040789962,105.7353869,2.057353869,0.003523382
ger duo / young duo,CON__P04264,NaN,NaN,CON__P04264,28,1.035383105,1.035383105,104.9657857,2.049657857,5.32E-06
ger duo / young duo,P62073,Timm10,Mitochondrial import inner membrane translocase subunit Tim10,TIM10_MOUSE,8,1.03517139,1.03517139,104.9357092,2.049357092,0.004458313
ger duo / young duo,P58774,Tpm2,Tropomyosin beta chain,TPM2_MOUSE,21,1.028346539,1.028346539,103.9685244,2.039685244,0.000129805
ger duo / young duo,Q8R404,Mic13,MICOS complex subunit MIC13,MIC13_MOUSE,8,0.994229913,0.994229913,99.20169354,1.992016935,0.002122176
ger duo / young duo,Q61207,Psap,Prosaposin,SAP_MOUSE,25,0.987884402,0.987884402,98.32745428,1.983274543,9.70E-14
ger duo / young duo,P17897,Lyz1,Lysozyme C-1,LYZ1_MOUSE,22,0.986928761,0.986928761,98.19612566,1.981961257,0.00069875
ger duo / young duo,Q60605,Myl6,Myosin light polypeptide 6,MYL6_MOUSE,12,0.98087424,0.98087424,97.36610404,1.97366104,0.000466913
ger duo / young duo,Q6IFX2,Krt42,"Keratin, type I cytoskeletal 42",K1C42_MOUSE,4,0.971944213,0.971944213,96.14821586,1.961482159,0.021635244
ger duo / young duo,P97825,Hn1,Hematological and neurological expressed 1 protein,HN1_MOUSE,5,0.945447981,0.945447981,92.57867829,1.925786783,0.000124721
ger duo / young duo,P60840,Ensa,Alpha-endosulfine,ENSA_MOUSE,3,0.919127047,0.919127047,89.09707494,1.890970749,0.044068807
ger duo / young duo,Q9JM96,Cdc42ep4,Cdc42 effector protein 4,BORG4_MOUSE,3,0.91501534,0.91501534,88.55891208,1.885589121,0.02146202
ger duo / young duo,P01660,NaN,Ig kappa chain V-III region PC 3741/TEPC 111,KV3A8_MOUSE,3,0.902125537,0.902125537,86.88173035,1.868817303,0.038483916
ger duo / young duo,Q9EPK6,Sil1,Nucleotide exchange factor SIL1,SIL1_MOUSE,9,0.897144675,0.897144675,86.23763917,1.862376392,0.040952946
ger duo / young duo,Q8R1N0,Znf830,Zinc finger protein 830,ZN830_MOUSE,4,0.893995821,0.893995821,85.83159662,1.858315966,0.007040216
ger duo / young duo,Q9D0R8,Lsm12,Protein LSM12 homolog,LSM12_MOUSE,4,0.889094234,0.889094234,85.20130103,1.85201301,0.03299391
ger duo / young duo,P01899,H2-D1,"H-2 class I histocompatibility antigen, D-B alpha chain",HA11_MOUSE,17,0.887409508,0.887409508,84.98515611,1.849851561,1.50E-06
ger duo / young duo,Q9D211,Cdkn2aipnl,CDKN2AIP N-terminal-like protein,C2AIL_MOUSE,2,0.88263607,0.88263607,84.37410808,1.843741081,0.023996967
ger duo / young duo,P15532,Nme1,Nucleoside diphosphate kinase A,NDKA_MOUSE,7,0.880683064,0.880683064,84.12468594,1.841246859,0.000469081
ger duo / young duo,Q9D0Y8,Mrpl52,"39S ribosomal protein L52, mitochondrial",RM52_MOUSE,3,0.874094725,0.874094725,83.28576274,1.832857627,0.025458006
ger duo / young duo,Q60829,Ppp1r1b,Protein phosphatase 1 regulatory subunit 1B,PPR1B_MOUSE,14,0.867775261,0.867775261,82.48466859,1.824846686,8.70E-05
ger duo / young duo,Q64444,Ca4,Carbonic anhydrase 4,CAH4_MOUSE,9,0.865387261,0.865387261,82.18286328,1.821828633,1.95E-05
ger duo / young duo,P62500,Tsc22d1,TSC22 domain family protein 1,T22D1_MOUSE,1,0.862833261,0.862833261,81.86063073,1.818606307,0.041144858
ger duo / young duo,P84089,Erh,Enhancer of rudimentary homolog,ERH_MOUSE,7,0.856069386,0.856069386,81.00999799,1.81009998,0.031715353
ger duo / young duo,Q9CQW9,Ifitm3,Interferon-induced transmembrane protein 3,IFM3_MOUSE,2,0.855331659,0.855331659,80.91746162,1.809174616,0.005096922
ger duo / young duo,Q9CRB3,Urah,5-hydroxyisourate hydrolase,HIUH_MOUSE,3,0.855072677,0.855072677,80.88498754,1.808849875,0.01130257
ger duo / young duo,P51125,Cast,Calpastatin,ICAL_MOUSE,28,0.841792881,0.841792881,79.2276075,1.792276075,1.74E-10
ger duo / young duo,Q9D168,Ints12,Integrator complex subunit 12,INT12_MOUSE,5,0.841336966,0.841336966,79.17097751,1.791709775,0.020005443
ger duo / young duo,Q9DAW9,Cnn3,Calponin-3,CNN3_MOUSE,14,0.839698553,0.839698553,78.96761552,1.789676155,0.000101624
ger duo / young duo,Q8VCR7,Abhd14b,Alpha/beta hydrolase domain-containing protein 14B,ABHEB_MOUSE,11,0.836975932,0.836975932,78.63019043,1.786301904,0.000335243
ger duo / young duo,Q8BMK4,Ckap4,Cytoskeleton-associated protein 4,CKAP4_MOUSE,20,0.827794492,0.827794492,77.49698172,1.774969817,0.009162008
ger duo / young duo,P04104,Krt1,"Keratin, type II cytoskeletal 1",K2C1_MOUSE,7,0.82612139,0.82612139,77.29125668,1.772912567,0.039520638
ger duo / young duo,P02535,Krt10,"Keratin, type I cytoskeletal 10",K1C10_MOUSE,9,0.822716594,0.822716594,76.87333826,1.768733383,0.022746498
ger duo / young duo,P97315,Csrp1,Cysteine and glycine-rich protein 1,CSRP1_MOUSE,10,0.809096098,0.809096098,75.21133346,1.752113335,4.60E-05
ger duo / young duo,Q80W21,Gstm7,Glutathione S-transferase Mu 7,GSTM7_MOUSE,3,0.805449665,0.805449665,74.76904336,1.747690434,0.015089659
ger duo / young duo,Q9D7P6,Iscu,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",ISCU_MOUSE,7,0.804182589,0.804182589,74.61561637,1.746156164,0.000361238
ger duo / young duo,O70494,Sp3,Transcription factor Sp3,SP3_MOUSE,2,0.801909387,0.801909387,74.34069756,1.743406976,0.026240769
ger duo / young duo,Q6P9Q6,Fkbp15,FK506-binding protein 15,FKB15_MOUSE,9,0.799427986,0.799427986,74.04109346,1.740410935,0.011992268
ger duo / young duo,Q9D281,Fam114a1,Protein Noxp20,NXP20_MOUSE,8,0.798553765,0.798553765,73.93566276,1.739356628,0.005914007
ger duo / young duo,Q9R020,Zranb2,Zinc finger Ran-binding domain-containing protein 2,ZRAB2_MOUSE,6,0.798425674,0.798425674,73.92022049,1.739202205,0.002560838
ger duo / young duo,Q9WUU7,Ctsz,Cathepsin Z,CATZ_MOUSE,13,0.789834619,0.789834619,72.88762638,1.728876264,0.000346888
ger duo / young duo,P99028,Uqcrh,"Cytochrome b-c1 complex subunit 6, mitochondrial",QCR6_MOUSE,10,0.776613653,0.776613653,71.31050862,1.713105086,0.032046894
ger duo / young duo,Q4VAA2,Cdv3,Protein CDV3,CDV3_MOUSE,16,0.775983989,0.775983989,71.23575656,1.712357566,0.000582227
ger duo / young duo,P52196,Tst,Thiosulfate sulfurtransferase,THTR_MOUSE,14,0.772737384,0.772737384,70.85084509,1.708508451,1.39E-06
ger duo / young duo,P28063,Psmb8,Proteasome subunit beta type-8,PSB8_MOUSE,18,0.770987272,0.770987272,70.64371416,1.706437142,9.27E-05
ger duo / young duo,P97314,Csrp2,Cysteine and glycine-rich protein 2,CSRP2_MOUSE,8,0.77026844,0.77026844,70.55871102,1.70558711,0.0002852
ger duo / young duo,O88543,Cops3,COP9 signalosome complex subunit 3,CSN3_MOUSE,10,0.769077539,0.769077539,70.4179781,1.704179781,0.0028755
ger duo / young duo,CON__P13645,NaN,NaN,CON__P13645,22,0.764751375,0.764751375,69.90771644,1.699077164,0.000725548
ger duo / young duo,Q80XU3,Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,NUCKS_MOUSE,4,0.764421821,0.764421821,69.86890894,1.698689089,0.014268112
ger duo / young duo,Q64524,Hist2h2be,Histone H2B type 2-E,H2B2E_MOUSE,3,0.752335787,0.752335787,68.45179326,1.684517933,0.01293909
ger duo / young duo,Q9WTX5,Skp1,S-phase kinase-associated protein 1,SKP1_MOUSE,13,0.750220835,0.750220835,68.20502844,1.682050284,0.003525832
ger duo / young duo,Q9R0P4,Smap,Small acidic protein,SMAP_MOUSE,5,0.737121224,0.737121224,66.68464675,1.666846467,0.002951457
ger duo / young duo,Q61074,Ppm1g,Protein phosphatase 1G,PPM1G_MOUSE,21,0.734880209,0.734880209,66.42592756,1.664259276,2.12E-08
ger duo / young duo,P55821,Stmn2,Stathmin-2,STMN2_MOUSE,4,0.733403862,0.733403862,66.25570668,1.662557067,0.003325412
ger duo / young duo,P63028,Tpt1,Translationally-controlled tumor protein,TCTP_MOUSE,11,0.730746329,0.730746329,65.94973537,1.659497354,0.002721688
ger duo / young duo,P26645,Marcks,Myristoylated alanine-rich C-kinase substrate,MARCS_MOUSE,21,0.728528142,0.728528142,65.69477873,1.656947787,0.001119526
ger duo / young duo,Q810Q5,Nmes1,Normal mucosa of esophagus-specific gene 1 protein,NMES1_MOUSE,4,0.728136957,0.728136957,65.64985685,1.656498569,0.048826709
ger duo / young duo,O08997,Atox1,Copper transport protein ATOX1,ATOX1_MOUSE,5,0.716786802,0.716786802,64.35174814,1.643517481,6.11E-05
ger duo / young duo,O70293,Grk6,G protein-coupled receptor kinase 6,GRK6_MOUSE,3,0.709771156,0.709771156,63.55446626,1.635544663,0.036672645
ger duo / young duo,Q8VC28,Akr1c13,Aldo-keto reductase family 1 member C13,AK1CD_MOUSE,23,0.707450569,0.707450569,63.29159893,1.632915989,3.26E-07
ger duo / young duo,Q60631,Grb2,Growth factor receptor-bound protein 2,GRB2_MOUSE,11,0.696118951,0.696118951,62.01405231,1.620140523,0.001408318
ger duo / young duo,P61759,Vbp1,Prefoldin subunit 3,PFD3_MOUSE,8,0.693965316,0.693965316,61.77238042,1.617723804,0.005205797
ger duo / young duo,Q9CQX4,Paf,PCNA-associated factor,PAF15_MOUSE,5,0.69317764,0.69317764,61.68408085,1.616840809,0.002568527
ger duo / young duo,P97805,Fam3d,Protein FAM3D,FAM3D_MOUSE,10,0.692014158,0.692014158,61.55374091,1.615537409,0.008113913
ger duo / young duo,Q61545,Ewsr1,RNA-binding protein EWS,EWS_MOUSE,8,0.688201308,0.688201308,61.12733975,1.611273397,0.001497169
ger duo / young duo,Q9CPW2,Fdx1l,"Adrenodoxin-like protein, mitochondrial",ADXL_MOUSE,4,0.687650919,0.687650919,61.06588126,1.610658813,0.000422449
ger duo / young duo,P61164,Actr1a,Alpha-centractin,ACTZ_MOUSE,9,0.684440553,0.684440553,60.70786693,1.607078669,0.024081011
ger duo / young duo,Q61315,Apc,Adenomatous polyposis coli protein,APC_MOUSE,3,0.682328999,0.682328999,60.47282408,1.604728241,0.012594944
ger duo / young duo,Q91VX2,Ubap2,Ubiquitin-associated protein 2,UBAP2_MOUSE,19,0.681545138,0.681545138,60.38565794,1.603856579,3.03E-05
ger duo / young duo,P17182,Eno1,Alpha-enolase,ENOA_MOUSE,37,0.681063831,0.681063831,60.33215949,1.603321595,1.25E-05
ger duo / young duo,Q9Z2U1,Psma5,Proteasome subunit alpha type-5,PSA5_MOUSE,14,0.679466188,0.679466188,60.15470566,1.601547057,0.000609666
ger duo / young duo,P63254,Crip1,Cysteine-rich protein 1,CRIP1_MOUSE,6,0.677950323,0.677950323,59.98651664,1.599865166,0.016272459
ger duo / young duo,Q922U2,Krt5,"Keratin, type II cytoskeletal 5",K2C5_MOUSE,14,0.67587173,0.67587173,59.75617872,1.597561787,0.005735587
ger duo / young duo,Q8K023,Akr1c18,Aldo-keto reductase family 1 member C18,AKC1H_MOUSE,2,0.674299598,0.674299598,59.58218421,1.595821842,0.019531688
ger duo / young duo,Q80X50,Ubap2l,Ubiquitin-associated protein 2-like,UBP2L_MOUSE,20,0.672662437,0.672662437,59.40119411,1.594011941,6.52E-13
ger duo / young duo,Q9EQC5,Scyl1,N-terminal kinase-like protein,NTKL_MOUSE,9,0.671483636,0.671483636,59.27100336,1.592710034,0.023907602
ger duo / young duo,Q99J99,Mpst,3-mercaptopyruvate sulfurtransferase,THTM_MOUSE,15,0.669279516,0.669279516,59.02785814,1.590278581,5.48E-06
ger duo / young duo,Q99JT9,Adi1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",MTND_MOUSE,5,0.669237614,0.669237614,59.02323936,1.590232394,0.000865389
ger duo / young duo,P51949,Mnat1,CDK-activating kinase assembly factor MAT1,MAT1_MOUSE,5,0.669130802,0.669130802,59.01146633,1.590114663,0.015787392
ger duo / young duo,Q80YV2,Zc3hc1,Nuclear-interacting partner of ALK,NIPA_MOUSE,8,0.668565512,0.668565512,58.94917316,1.589491732,0.028378998
ger duo / young duo,Q62241,Snrpc,U1 small nuclear ribonucleoprotein C,RU1C_MOUSE,4,0.667818189,0.667818189,58.86685804,1.58866858,0.048844666
ger duo / young duo,Q08288,Lyar,Cell growth-regulating nucleolar protein,LYAR_MOUSE,19,0.667713284,0.667713284,58.85530661,1.588553066,3.54E-05
ger duo / young duo,Q8BH58,Tiprl,TIP41-like protein,TIPRL_MOUSE,9,0.665547371,0.665547371,58.61699656,1.586169966,0.047821628
ger duo / young duo,P50704;P50709,Defa6;Defa11,Alpha-defensin 6/12;Alpha-defensin 11 (Fragment),DEFA6_MOUSE;DFA11_MOUSE,4,0.665495694,0.665495694,58.61131501,1.58611315,0.015657196
ger duo / young duo,P97371,Psme1,Proteasome activator complex subunit 1,PSME1_MOUSE,21,0.665423214,0.665423214,58.60334677,1.586033468,5.44E-05
ger duo / young duo,Q62433,Ndrg1,Protein NDRG1,NDRG1_MOUSE,10,0.662539542,0.662539542,58.2866455,1.582866455,0.010905638
ger duo / young duo,Q8K019,Bclaf1,Bcl-2-associated transcription factor 1,BCLF1_MOUSE,34,0.661498427,0.661498427,58.17245986,1.581724599,1.01E-06
ger duo / young duo,Q80V24,Vgll4,Transcription cofactor vestigial-like protein 4,VGLL4_MOUSE,4,0.657753527,0.657753527,57.76241343,1.577624134,0.032956297
ger duo / young duo,P39749,Fen1,Flap endonuclease 1,FEN1_MOUSE,12,0.656683266,0.656683266,57.64542104,1.57645421,0.000691087
ger duo / young duo,P25425,Pou2f1,"POU domain, class 2, transcription factor 1",PO2F1_MOUSE,1,0.655845881,0.655845881,57.55394522,1.575539452,0.037381114
ger duo / young duo,CON__P00761,NaN,NaN,CON__P00761,5,0.655122876,0.655122876,57.47500709,1.574750071,0.012606422
ger duo / young duo,Q8CHP5,Wibg,Partner of Y14 and mago,WIBG_MOUSE,10,0.654939592,0.654939592,57.45500226,1.574550023,0.017162318
ger duo / young duo,Q9CVD2,Atxn3,Ataxin-3,ATX3_MOUSE,5,0.646355093,0.646355093,56.52087631,1.565208763,0.018044036
ger duo / young duo,Q9D5V6,Syap1,Synapse-associated protein 1,SYAP1_MOUSE,14,0.645959377,0.645959377,56.47795025,1.564779503,0.006334166
ger duo / young duo,Q9CQX8,Mrps36,"28S ribosomal protein S36, mitochondrial",RT36_MOUSE,6,0.644824803,0.644824803,56.35494014,1.563549401,0.000808557
ger duo / young duo,Q9CPR4,Rpl17,60S ribosomal protein L17,RL17_MOUSE,16,0.642975569,0.642975569,56.15465411,1.561546541,1.14E-05
ger duo / young duo,Q9JL35,Hmgn5,High mobility group nucleosome-binding domain-containing protein 5,HMGN5_MOUSE,23,0.641385198,0.641385198,55.98261011,1.559826101,9.61E-06
ger duo / young duo,Q64520,Guk1,Guanylate kinase,KGUA_MOUSE,10,0.633922815,0.633922815,55.17786856,1.551778686,0.005020994
ger duo / young duo,P42225,Stat1,Signal transducer and activator of transcription 1,STAT1_MOUSE,21,0.632487416,0.632487416,55.02355224,1.550235522,0.000353089
ger duo / young duo,Q9CQH7,Btf3l4,Transcription factor BTF3 homolog 4,BT3L4_MOUSE,8,0.63177079,0.63177079,54.94656686,1.549465669,0.006475688
ger duo / young duo,Q9DAK9,Phpt1,14 kDa phosphohistidine phosphatase,PHP14_MOUSE,6,0.628883958,0.628883958,54.63682889,1.546368289,6.56E-05
ger duo / young duo,Q9DB27,Mcts1,Malignant T-cell-amplified sequence 1,MCTS1_MOUSE,8,0.628796518,0.628796518,54.62745682,1.546274568,0.011641505
ger duo / young duo,P58389,Ppp2r4,Serine/threonine-protein phosphatase 2A activator,PTPA_MOUSE,9,0.627454996,0.627454996,54.48373991,1.544837399,0.003288393
ger duo / young duo,Q8R0A0,Gtf2f2,General transcription factor IIF subunit 2,T2FB_MOUSE,10,0.625350416,0.625350416,54.2585458,1.542585458,0.004105204
ger duo / young duo,Q6PDN3,Mylk,"Myosin light chain kinase, smooth muscle",MYLK_MOUSE,40,0.624505281,0.624505281,54.16820723,1.541682072,3.45E-08
ger duo / young duo,P00493,Hprt1,Hypoxanthine-guanine phosphoribosyltransferase,HPRT_MOUSE,11,0.619463384,0.619463384,53.63036411,1.536303641,0.00388014
ger duo / young duo,Q8K2Q9,Shtn1,Shootin-1,SHOT1_MOUSE,22,0.615385711,0.615385711,53.1967521,1.531967521,5.11E-07
ger duo / young duo,Q8K0C9,Gmds,"GDP-mannose 4,6 dehydratase",GMDS_MOUSE,27,0.61396718,0.61396718,53.04619531,1.530461953,3.37E-08
ger duo / young duo,Q9D3P8,Plgrkt,Plasminogen receptor (KT),PLRKT_MOUSE,7,0.611311734,0.611311734,52.76475523,1.527647552,0.013319492
ger duo / young duo,Q9CQV8,Ywhab,14-3-3 protein beta/alpha,1433B_MOUSE,13,0.610558689,0.610558689,52.68503726,1.526850373,0.03520919
ger duo / young duo,Q8R3G9,Tspan8,Tetraspanin-8,TSN8_MOUSE,6,0.60955447,0.60955447,52.57879452,1.525787945,0.004085635
ger duo / young duo,Q9CQW5,Lgals2,Galectin-2,LEG2_MOUSE,21,0.609173775,0.609173775,52.53853771,1.525385377,0.001789187
ger duo / young duo,P56671,Maz,Myc-associated zinc finger protein,MAZ_MOUSE,4,0.608486772,0.608486772,52.46591702,1.52465917,0.013810123
ger duo / young duo,Q6ZQ03,Fnbp4,Formin-binding protein 4,FNBP4_MOUSE,5,0.608284354,0.608284354,52.44452679,1.524445268,0.027223675
ger duo / young duo,Q61133,Gstt2,Glutathione S-transferase theta-2,GSTT2_MOUSE,6,0.60703522,0.60703522,52.31259224,1.523125922,0.04011544
ger duo / young duo,Q8R088,Golph3l,Golgi phosphoprotein 3-like,GLP3L_MOUSE,6,0.606370211,0.606370211,52.24240007,1.522424001,0.014026877
ger duo / young duo,Q91YJ3,Thyn1,Thymocyte nuclear protein 1,THYN1_MOUSE,9,0.606202662,0.606202662,52.22472029,1.522247203,3.09E-05
ger duo / young duo,Q61937,Npm1,Nucleophosmin,NPM_MOUSE,17,0.605763078,0.605763078,52.178345,1.52178345,8.70E-05
ger duo / young duo,O70370,Ctss,Cathepsin S,CATS_MOUSE,8,0.604885578,0.604885578,52.08581274,1.520858127,0.010995871
ger duo / young duo,Q8R344,Ccdc12,Coiled-coil domain-containing protein 12,CCD12_MOUSE,7,0.599367917,0.599367917,51.50526359,1.515052636,0.042709716
ger duo / young duo,Q9CPZ8,Cmc1,COX assembly mitochondrial protein homolog,COXM1_MOUSE,5,0.598172963,0.598172963,51.37982692,1.513798269,0.020941742
ger duo / young duo,Q0VGB7,Ppp4r2,Serine/threonine-protein phosphatase 4 regulatory subunit 2,PP4R2_MOUSE,9,0.597207963,0.597207963,51.27860486,1.512786049,0.000492109
ger duo / young duo,Q8VCW8,Acsf2,"Acyl-CoA synthetase family member 2, mitochondrial",ACSF2_MOUSE,24,0.590647757,0.590647757,50.59227414,1.505922741,4.61E-07
ger duo / young duo,O55137,Acot1,Acyl-coenzyme A thioesterase 1,ACOT1_MOUSE,12,0.58711201,0.58711201,50.22365547,1.502236555,0.007474217
ger duo / young duo,Q8BXA1,Golim4,Golgi integral membrane protein 4,GOLI4_MOUSE,13,0.584875882,0.584875882,49.99099431,1.499909943,0.001206795
ger duo / young duo,Q07813,Bax,Apoptosis regulator BAX,BAX_MOUSE,8,0.584376514,0.584376514,49.93908611,1.499390861,0.023773741
ger duo / young duo,P27641,Xrcc5,X-ray repair cross-complementing protein 5,XRCC5_MOUSE,15,0.584105551,0.584105551,49.91092764,1.499109276,7.92E-05
ger duo / young duo,Q8JZK9,Hmgcs1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",HMCS1_MOUSE,18,0.583515346,0.583515346,49.84961176,1.498496118,0.000365915
ger duo / young duo,Q9CXU9,Eif1b,Eukaryotic translation initiation factor 1b,EIF1B_MOUSE,7,0.582867503,0.582867503,49.78233683,1.497823368,0.009576535
ger duo / young duo,Q99LC8,Eif2b1,Translation initiation factor eIF-2B subunit alpha,EI2BA_MOUSE,7,0.582723081,0.582723081,49.76734351,1.497673435,0.010500969
ger duo / young duo,P58044,Idi1,Isopentenyl-diphosphate Delta-isomerase 1,IDI1_MOUSE,11,0.581242502,0.581242502,49.6137222,1.496137222,0.014986622
ger duo / young duo,Q6NXI6,Rprd2,Regulation of nuclear pre-mRNA domain-containing protein 2,RPRD2_MOUSE,14,0.5802477,0.5802477,49.51059254,1.495105925,0.032307014
ger duo / young duo,Q3UUQ7,Pgap1,GPI inositol-deacylase,PGAP1_MOUSE,15,-0.581622899,0.581622899,-33.17883219,0.668211678,0.000612799
ger duo / young duo,Q9D6M3,Slc25a22,Mitochondrial glutamate carrier 1,GHC1_MOUSE,13,-0.588629663,0.588629663,-33.50257702,0.66497423,0.00310578
ger duo / young duo,Q3UMU9,Hdgfrp2,Hepatoma-derived growth factor-related protein 2,HDGR2_MOUSE,7,-0.593325377,0.593325377,-33.71866235,0.662813376,0.036444097
ger duo / young duo,Q8BTX9,Hsdl1,Inactive hydroxysteroid dehydrogenase-like protein 1,HSDL1_MOUSE,6,-0.594159245,0.594159245,-33.7569615,0.662430385,0.046697653
ger duo / young duo,Q6ZQH8,Nup188,Nucleoporin NUP188 homolog,NU188_MOUSE,18,-0.604266346,0.604266346,-34.21941906,0.657805809,0.008680777
ger duo / young duo,Q9QXW9,Slc7a8,Large neutral amino acids transporter small subunit 2,LAT2_MOUSE,9,-0.611761987,0.611761987,-34.56030121,0.654396988,0.006513236
ger duo / young duo,Q791T5,Mtch1,Mitochondrial carrier homolog 1,MTCH1_MOUSE,10,-0.61293596,0.61293596,-34.6135302,0.653864698,0.006464534
ger duo / young duo,Q8JZR0,Acsl5,Long-chain-fatty-acid--CoA ligase 5,ACSL5_MOUSE,38,-0.617281318,0.617281318,-34.81017614,0.651898239,3.75E-09
ger duo / young duo,P31001,Des,Desmin,DESM_MOUSE,30,-0.619540572,0.619540572,-34.91218324,0.650878168,0.000324669
