,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,7,11.0,12.4,10.5,6.5,8.8,10.0,12.0,7.6,10.1,11.1,0.79630,0.45495
tr|A0A1B0GSX6|A0A1B0GSX6_MOUSE,Pdlim3,"PDZ and LIM domain 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1",3,4.6,3.0,5.8,3.9,70.3,2.2,1.5,0.9,2.9,4.9,0.31845,0.26832
sp|O70209|PDLI3_MOUSE,Pdlim3,PDZ and LIM domain protein 3 OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1,3,5.2,3.0,6.1,4.8,62.4,1.8,4.1,2.2,4.6,5.8,0.33540,0.27590
sp|O35226|PSMD4_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,10,10.5,8.9,11.4,9.9,8.9,10.2,10.8,9.5,10.2,9.8,0.74957,0.44000
tr|F7AI87|F7AI87_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,2,9.9,13.1,11.3,11.9,9.3,10.0,8.5,9.8,8.5,7.7,0.02980,0.07636
sp|Q80X85|RT07_MOUSE,Mrps7,"28S ribosomal protein S7, mitochondrial OS=Mus musculus OX=10090 GN=Mrps7 PE=1 SV=1",2,10.6,12.2,10.4,15.8,9.5,8.5,8.5,8.2,7.4,9.0,0.03706,0.08419
sp|P58404|STRN4_MOUSE,Strn4,Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2,3,10.4,8.7,11.6,10.8,10.9,9.4,10.3,7.9,11.1,9.0,0.21458,0.21677
sp|O55106|STRN_MOUSE,Strn,Striatin OS=Mus musculus OX=10090 GN=Strn PE=1 SV=2,6,9.7,8.7,9.9,10.5,7.4,10.0,10.4,12.5,10.1,10.9,0.06474,0.11117
sp|Q9ERG2|STRN3_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,9,9.8,10.6,9.5,10.5,10.2,9.8,10.5,9.9,9.8,9.4,0.35804,0.28588
tr|B2RQS1|B2RQS1_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,3,8.7,13.3,8.0,12.5,8.7,11.1,9.2,11.3,7.7,9.5,0.71892,0.42974
sp|Q6ZQ73|CAND2_MOUSE,Cand2,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus OX=10090 GN=Cand2 PE=1 SV=2,1,10.4,13.9,8.4,10.8,12.4,9.6,9.1,9.1,8.5,7.8,0.06199,0.10854
sp|Q6ZQ38|CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,22,10.0,8.8,10.2,8.9,10.3,9.9,10.7,9.7,10.1,11.6,0.15339,0.17978
sp|Q91Z67|SRGP2_MOUSE,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2,2,9.5,7.6,8.6,8.3,8.5,12.0,10.3,11.2,11.5,12.5,0.00033,0.01436
sp|P28352|APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,4,10.5,10.9,13.4,14.9,10.0,8.1,6.3,8.4,7.7,9.8,0.01029,0.04989
sp|A2ASS6|TITIN_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,1,8.3,11.2,10.8,8.0,10.5,10.0,10.5,10.2,10.9,9.6,0.49769,0.34513
sp|Q6PGC1|DHX29_MOUSE,Dhx29,ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1,8,9.8,11.3,10.1,10.6,8.5,10.1,9.8,10.5,9.6,9.7,0.83479,0.46668
sp|O54988|SLK_MOUSE,Slk,STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2,20,9.7,11.2,9.4,10.9,8.7,10.4,8.8,11.1,9.8,10.0,0.89955,0.48531
sp|O55098|STK10_MOUSE,Stk10,Serine/threonine-protein kinase 10 OS=Mus musculus OX=10090 GN=Stk10 PE=1 SV=2,2,9.7,8.7,9.4,10.7,7.4,10.8,10.2,10.6,12.3,10.2,0.04380,0.09152
sp|Q8VDP3|MICA1_MOUSE,Mical1,[F-actin]-monooxygenase MICAL1 OS=Mus musculus OX=10090 GN=Mical1 PE=1 SV=1,1,8.6,8.9,7.3,7.5,18.6,9.2,8.2,10.8,6.3,14.6,0.88889,0.48233
sp|P63213|GBG2_MOUSE,Gng2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus OX=10090 GN=Gng2 PE=1 SV=2,1,8.4,6.4,5.6,7.8,8.4,11.9,15.5,9.4,12.5,14.2,0.00349,0.03327
sp|Q6P9Q6|FKB15_MOUSE,Fkbp15,FK506-binding protein 15 OS=Mus musculus OX=10090 GN=Fkbp15 PE=1 SV=2,11,8.7,10.0,9.0,8.8,9.4,10.5,9.4,11.6,10.6,12.0,0.01728,0.06153
sp|Q60936|COQ8A_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2",2,9.1,10.1,11.6,7.8,8.7,9.6,10.7,9.1,10.9,12.5,0.25823,0.23901
sp|Q3UJB9|EDC4_MOUSE,Edc4,Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=2,7,10.9,8.7,10.1,7.2,10.3,9.4,11.5,7.5,11.7,12.7,0.36001,0.28673
tr|Q3UWL8|Q3UWL8_MOUSE,Pfdn4,Prefoldin subunit 4 OS=Mus musculus OX=10090 GN=Pfdn4 PE=1 SV=1,4,9.3,10.0,10.8,10.8,10.2,9.7,9.4,9.8,9.7,10.2,0.21964,0.21953
sp|Q91YE6|IPO9_MOUSE,Ipo9,Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3,5,9.2,9.5,10.2,10.1,8.8,11.0,12.9,8.6,9.3,10.3,0.31867,0.26842
sp|A2A6Q5|CDC27_MOUSE,Cdc27,Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1,1,8.5,14.2,11.1,11.2,9.6,7.0,10.4,10.2,9.4,8.3,0.15079,0.17816
sp|Q64511|TOP2B_MOUSE,Top2b,DNA topoisomerase 2-beta OS=Mus musculus OX=10090 GN=Top2b PE=1 SV=2,22,11.8,10.3,11.9,10.9,9.0,8.9,9.0,8.7,9.5,10.1,0.03850,0.08586
sp|P97807|FUMH_MOUSE,Fh,"Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",20,11.3,10.0,12.5,10.6,9.1,8.5,11.6,8.2,9.2,9.0,0.13245,0.16592
sp|Q9CZW5|TOM70_MOUSE,Tomm70,Mitochondrial import receptor subunit TOM70 OS=Mus musculus OX=10090 GN=Tomm70 PE=1 SV=2,15,10.6,10.1,11.8,10.7,9.9,8.7,10.5,8.6,9.5,9.6,0.03504,0.08181
tr|B1B1A8|B1B1A8_MOUSE,Mylk,"Myosin light chain kinase, smooth muscle OS=Mus musculus OX=10090 GN=Mylk PE=1 SV=1",37,3.9,3.4,5.0,4.3,70.4,2.6,2.2,2.1,2.5,3.5,0.32638,0.27191
sp|Q9WTU6|MK09_MOUSE,Mapk9,Mitogen-activated protein kinase 9 OS=Mus musculus OX=10090 GN=Mapk9 PE=1 SV=2,5,10.1,11.1,11.1,11.3,9.2,10.1,9.0,10.4,9.5,8.3,0.09450,0.13657
sp|O08911|MK12_MOUSE,Mapk12,Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1,1,10.6,7.8,11.4,15.1,6.2,11.9,9.8,8.3,9.1,9.7,0.79446,0.45438
sp|P47811|MK14_MOUSE,Mapk14,Mitogen-activated protein kinase 14 OS=Mus musculus OX=10090 GN=Mapk14 PE=1 SV=3,8,9.5,9.9,9.9,10.8,7.8,12.6,9.2,12.3,9.0,8.9,0.42844,0.31578
sp|Q8VCY6|UTP6_MOUSE,Utp6,U3 small nucleolar RNA-associated protein 6 homolog OS=Mus musculus OX=10090 GN=Utp6 PE=2 SV=1,2,10.6,10.3,9.9,10.9,9.6,9.8,9.3,8.9,10.5,10.1,0.16834,0.18936
sp|Q99PL5|RRBP1_MOUSE,Rrbp1,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,49,9.9,12.3,9.6,10.8,8.2,9.0,8.6,11.6,9.9,10.0,0.70927,0.42643
tr|Q8C845|Q8C845_MOUSE,Efhd2,EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1,7,7.4,7.3,7.9,9.0,9.1,9.9,6.7,17.0,11.2,14.4,0.10964,0.14891
sp|Q9D4J1|EFHD1_MOUSE,Efhd1,EF-hand domain-containing protein D1 OS=Mus musculus OX=10090 GN=Efhd1 PE=1 SV=1,4,6.9,7.9,7.3,9.1,7.8,11.7,7.3,17.2,9.9,15.1,0.06538,0.11176
tr|A0A0R4J0F6|A0A0R4J0F6_MOUSE,Gak,Cyclin-G-associated kinase OS=Mus musculus OX=10090 GN=Gak PE=1 SV=1,8,10.1,10.5,9.2,9.1,9.2,10.5,11.0,10.6,10.1,9.8,0.06672,0.11304
sp|Q9CQF0|RM11_MOUSE,Mrpl11,"39S ribosomal protein L11, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl11 PE=1 SV=1",4,10.2,11.4,12.0,10.8,9.4,7.5,10.2,7.9,9.2,11.4,0.11503,0.15304
sp|Q8BIJ7|RUFY1_MOUSE,Rufy1,RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1,10,8.1,10.1,8.4,8.9,8.5,11.1,10.0,11.6,11.0,12.3,0.00180,0.02698
tr|A0A0G2JFT8|A0A0G2JFT8_MOUSE,Rufy3,Protein RUFY3 OS=Mus musculus OX=10090 GN=Rufy3 PE=1 SV=1,1,8.9,11.5,9.8,9.7,9.7,6.7,9.3,11.2,13.1,10.1,0.91210,0.48877
tr|E9QAQ7|E9QAQ7_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,6,9.1,10.4,8.3,9.2,6.4,13.1,8.7,13.7,10.6,10.4,0.05330,0.10015
sp|P10107|ANXA1_MOUSE,Anxa1,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,24,7.3,8.4,5.5,7.1,4.8,15.0,11.5,16.0,12.9,11.7,0.00039,0.01510
tr|A0A338P6U8|A0A338P6U8_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B OS=Mus musculus OX=10090 GN=Arid1b PE=1 SV=1,2,10.0,12.6,10.4,10.7,9.1,10.4,9.0,9.1,9.0,9.7,0.13678,0.16894
sp|P23116|EIF3A_MOUSE,Eif3a,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5,24,10.3,10.5,10.6,11.2,8.8,10.1,9.3,9.6,9.5,10.2,0.28883,0.25417
tr|A0A0G2JEX1|A0A0G2JEX1_MOUSE,Nexn,Nexilin OS=Mus musculus OX=10090 GN=Nexn PE=1 SV=1,2,8.8,9.2,6.6,7.5,7.4,11.9,11.5,13.4,12.4,11.2,0.00019,0.01152
sp|Q9Z1E4|GYS1_MOUSE,Gys1,"Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2",12,11.2,14.0,13.3,10.4,11.1,8.6,10.5,6.4,7.2,7.3,0.00405,0.03491
sp|Q8VCB3|GYS2_MOUSE,Gys2,"Glycogen [starch] synthase, liver OS=Mus musculus OX=10090 GN=Gys2 PE=1 SV=2",1,9.3,8.5,4.4,10.8,5.4,10.6,21.6,11.0,16.6,1.7,0.24884,0.23453
sp|Q8BLY2|SYTC2_MOUSE,Tarsl2,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tarsl2 PE=1 SV=1",1,8.1,11.0,7.9,11.9,10.7,10.3,10.4,11.1,8.3,10.4,0.84575,0.46993
sp|Q9D0R2|SYTC_MOUSE,Tars,"Threonine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Tars PE=1 SV=2",20,9.7,10.0,10.1,9.9,10.7,10.2,9.2,10.1,9.7,10.2,0.39505,0.30196
sp|Q9DCJ5|NDUA8_MOUSE,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=1 SV=3,2,11.5,13.7,11.9,12.1,9.9,7.5,9.9,7.4,8.1,7.9,0.00148,0.02539
tr|F8VQL9|F8VQL9_MOUSE,Ncor2,Nuclear receptor corepressor 2 OS=Mus musculus OX=10090 GN=Ncor2 PE=1 SV=1,2,10.7,12.6,8.6,14.1,8.9,10.8,8.8,8.2,10.0,7.4,0.15554,0.18111
sp|Q9QUR8|SEM7A_MOUSE,Sema7a,Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1,1,9.1,13.5,11.8,11.7,7.7,8.0,11.2,9.3,6.0,11.8,0.35075,0.28269
sp|Q62009|POSTN_MOUSE,Postn,Periostin OS=Mus musculus OX=10090 GN=Postn PE=1 SV=2,29,7.6,7.9,11.0,15.0,9.0,11.3,6.1,8.7,11.9,11.5,0.91684,0.49007
sp|O70423|AOC3_MOUSE,Aoc3,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3,32,12.0,9.9,10.7,11.2,6.2,10.2,9.6,11.5,9.9,8.9,0.98521,0.50805
tr|K3W4R5|K3W4R5_MOUSE,Ckap5,Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,12,9.4,10.0,10.0,9.5,9.9,10.8,10.4,9.7,10.7,9.6,0.16542,0.18743
sp|B2RXC1|TPC11_MOUSE,Trappc11,Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1,7,10.0,10.0,10.7,9.9,8.3,11.0,10.7,9.8,9.1,10.5,0.41347,0.30971
sp|Q8BRN9|C2D1B_MOUSE,Cc2d1b,Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus OX=10090 GN=Cc2d1b PE=1 SV=1,8,9.4,10.9,8.9,9.3,8.3,10.6,10.5,11.8,11.2,9.0,0.08372,0.12773
sp|Q60864|STIP1_MOUSE,Stip1,Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1,25,10.8,11.8,10.9,10.0,9.9,8.3,9.4,8.6,10.8,9.4,0.03737,0.08456
sp|Q64345|IFIT3_MOUSE,Ifit3,Interferon-induced protein with tetratricopeptide repeats 3 OS=Mus musculus OX=10090 GN=Ifit3 PE=1 SV=1,7,8.0,7.9,8.0,11.9,8.7,9.8,13.0,11.8,10.8,10.2,0.04843,0.09594
tr|D3Z7X0|D3Z7X0_MOUSE,Acad12,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus OX=10090 GN=Acad12 PE=1 SV=1",5,9.7,9.4,10.5,8.6,9.1,10.6,13.0,8.0,10.9,10.1,0.27025,0.24497
sp|Q8K370|ACD10_MOUSE,Acad10,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus OX=10090 GN=Acad10 PE=1 SV=1,11,11.0,9.9,11.0,9.4,9.8,9.7,10.7,7.3,10.1,11.1,0.57338,0.37540
tr|A0A0R4J078|A0A0R4J078_MOUSE,Ubxn4,"UBX domain containing 2, isoform CRA_a OS=Mus musculus OX=10090 GN=Ubxn4 PE=1 SV=1",6,9.7,10.9,10.7,10.3,10.2,9.3,10.0,10.2,9.8,8.8,0.05854,0.10509
sp|P30999|CTND1_MOUSE,Ctnnd1,Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2,15,10.4,11.3,10.4,11.7,9.2,9.5,9.0,9.8,9.6,9.2,0.05623,0.10292
sp|Q8VH51|RBM39_MOUSE,Rbm39,RNA-binding protein 39 OS=Mus musculus OX=10090 GN=Rbm39 PE=1 SV=2,4,10.9,7.5,11.0,9.6,8.2,9.6,9.6,11.5,10.3,11.9,0.22076,0.22013
sp|Q9CRB9|MIC19_MOUSE,Chchd3,MICOS complex subunit Mic19 OS=Mus musculus OX=10090 GN=Chchd3 PE=1 SV=1,11,9.9,12.1,10.3,13.0,8.1,10.0,10.2,9.7,9.0,7.7,0.20799,0.21308
sp|Q6ZQ08|CNOT1_MOUSE,Cnot1,CCR4-NOT transcription complex subunit 1 OS=Mus musculus OX=10090 GN=Cnot1 PE=1 SV=2,5,9.9,10.2,9.5,10.3,8.7,9.6,9.5,11.1,10.2,11.1,0.21061,0.21456
sp|Q80SY4|MIB1_MOUSE,Mib1,E3 ubiquitin-protein ligase MIB1 OS=Mus musculus OX=10090 GN=Mib1 PE=1 SV=1,2,11.1,12.2,10.1,11.6,8.6,9.0,9.9,10.7,8.2,8.6,0.09956,0.14071
sp|Q99KR6|RNF34_MOUSE,Rnf34,E3 ubiquitin-protein ligase RNF34 OS=Mus musculus OX=10090 GN=Rnf34 PE=1 SV=1,1,10.9,11.3,9.8,12.6,11.0,8.8,7.3,6.9,10.2,11.1,0.04518,0.09289
sp|Q8K3A9|MEPCE_MOUSE,Mepce,7SK snRNA methylphosphate capping enzyme OS=Mus musculus OX=10090 GN=Mepce PE=1 SV=2,2,9.1,9.2,11.8,9.8,9.8,11.0,9.0,8.1,11.4,10.8,0.90082,0.48566
sp|Q9D8N0|EF1G_MOUSE,Eef1g,Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3,22,10.6,10.9,9.6,10.3,7.9,10.2,9.9,11.8,9.7,9.1,0.67053,0.41275
sp|Q99LC9|PEX6_MOUSE,Pex6,Peroxisome assembly factor 2 OS=Mus musculus OX=10090 GN=Pex6 PE=1 SV=1,1,14.0,11.1,12.0,9.2,8.7,9.6,12.5,7.6,9.0,6.2,0.20403,0.21082
tr|E9PVZ8|E9PVZ8_MOUSE,Golgb1,"Golgi autoantigen, golgin subfamily b, macrogolgin 1 OS=Mus musculus OX=10090 GN=Golgb1 PE=1 SV=1",43,9.1,10.9,9.1,10.8,8.8,10.2,10.7,10.8,10.8,8.7,0.44582,0.32291
sp|Q9JJY4|DDX20_MOUSE,Ddx20,Probable ATP-dependent RNA helicase DDX20 OS=Mus musculus OX=10090 GN=Ddx20 PE=1 SV=2,1,9.6,7.3,8.5,9.8,8.8,11.4,11.3,11.9,9.8,11.7,0.00326,0.03254
sp|Q9JIF7|COPB_MOUSE,Copb1,Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1,22,9.1,8.9,9.1,9.2,10.0,11.1,10.5,10.3,10.8,11.2,0.00038,0.01494
tr|Q543K9|Q543K9_MOUSE,Pnp,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=1,7,10.2,10.7,11.7,10.7,8.9,9.9,8.9,10.0,9.4,9.7,0.12547,0.16086
tr|Q9D8C9|Q9D8C9_MOUSE,Pnp2,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp2 PE=1 SV=1,6,11.0,7.3,13.6,9.2,8.8,9.8,9.5,11.8,9.2,9.7,0.98786,0.50872
