,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
sp|Q6P549|SHIP2_MOUSE,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1",2,10.9,10.0,9.2,9.7,9.9,9.7,9.9,11.8,9.2,9.7,0.80885,0.88579
sp|Q9ES52|SHIP1_MOUSE,Inpp5d,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 OS=Mus musculus OX=10090 GN=Inpp5d PE=1 SV=2",14,7.8,10.1,9.7,9.5,9.4,8.3,12.2,8.9,12.7,11.3,0.21195,0.69966
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,4,11.4,9.8,10.7,9.8,10.5,9.7,9.2,9.6,9.4,9.9,0.04115,0.59052
tr|A0A1B0GSX6|A0A1B0GSX6_MOUSE,Pdlim3,"PDZ and LIM domain 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1",6,13.9,5.4,12.3,14.5,8.2,10.1,6.4,14.0,6.3,8.8,0.46703,0.81746
sp|O70209|PDLI3_MOUSE,Pdlim3,PDZ and LIM domain protein 3 OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1,1,13.6,5.3,11.8,14.1,8.7,12.1,6.8,11.5,6.1,9.9,0.50054,0.82757
sp|O35226|PSMD4_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,7,9.5,10.1,10.1,10.3,9.3,9.9,10.0,10.1,10.7,10.1,0.25248,0.72561
tr|F7AI87|F7AI87_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,1,10.4,9.9,8.6,8.9,9.4,8.9,11.3,8.6,12.1,11.9,0.21850,0.70361
sp|Q80X85|RT07_MOUSE,Mrps7,"28S ribosomal protein S7, mitochondrial OS=Mus musculus OX=10090 GN=Mrps7 PE=1 SV=1",1,11.2,9.5,10.8,9.7,9.6,9.7,9.2,9.9,9.8,10.4,0.37213,0.78194
sp|P58404|STRN4_MOUSE,Strn4,Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2,8,9.5,10.3,10.1,10.2,10.5,8.9,11.2,8.6,11.3,9.4,0.64511,0.86084
sp|O55106|STRN_MOUSE,Strn,Striatin OS=Mus musculus OX=10090 GN=Strn PE=1 SV=2,12,9.5,11.1,9.8,9.6,10.3,8.7,10.7,9.2,11.0,10.2,0.88018,0.89407
sp|Q9ERG2|STRN3_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,8,9.5,11.1,10.1,9.9,10.1,9.2,10.3,9.4,10.6,9.7,0.44784,0.81112
tr|B2RQS1|B2RQS1_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,1,5.8,14.2,6.8,12.0,7.2,11.3,10.3,12.4,7.7,12.2,0.43024,0.80490
sp|Q6ZQ73|CAND2_MOUSE,Cand2,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus OX=10090 GN=Cand2 PE=1 SV=2,3,11.2,5.6,12.8,12.5,10.0,12.4,6.6,15.3,4.7,8.9,0.72589,0.87438
sp|Q6ZQ38|CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,32,10.8,9.9,9.5,9.9,10.0,10.1,10.2,10.3,9.7,9.7,0.90480,0.89665
sp|Q91Z67|SRGP2_MOUSE,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2,11,9.5,10.7,9.4,9.5,10.1,8.9,11.3,9.3,10.9,10.3,0.58994,0.84978
sp|P28352|APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,6,9.2,11.4,10.7,11.5,10.2,8.9,7.9,7.6,10.8,11.7,0.21360,0.70055
sp|A2ASS6|TITIN_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,58,15.2,1.9,13.9,10.4,10.1,16.9,2.6,19.4,2.5,7.2,0.89085,0.89520
sp|Q6PGC1|DHX29_MOUSE,Dhx29,ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1,10,9.6,10.6,9.3,10.6,9.1,9.8,11.4,9.0,10.2,10.4,0.53980,0.83809
sp|O54988|SLK_MOUSE,Slk,STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2,28,8.7,11.4,10.1,10.5,9.9,9.2,10.1,8.7,10.9,10.5,0.70652,0.87138
sp|Q5SXY1|CYTSB_MOUSE,Specc1,Cytospin-B OS=Mus musculus OX=10090 GN=Specc1 PE=1 SV=2,7,8.1,9.4,10.1,8.4,10.1,8.2,14.4,8.6,11.8,10.8,0.25167,0.72514
sp|O55098|STK10_MOUSE,Stk10,Serine/threonine-protein kinase 10 OS=Mus musculus OX=10090 GN=Stk10 PE=1 SV=2,5,8.5,11.5,10.7,9.7,8.9,8.3,11.0,8.2,12.6,10.6,0.80582,0.88541
sp|Q8VDP3|MICA1_MOUSE,Mical1,[F-actin]-monooxygenase MICAL1 OS=Mus musculus OX=10090 GN=Mical1 PE=1 SV=1,9,9.7,11.5,9.6,9.4,8.6,9.3,10.8,9.2,11.5,10.4,0.47340,0.81947
sp|P63213|GBG2_MOUSE,Gng2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus OX=10090 GN=Gng2 PE=1 SV=2,2,9.3,12.0,11.6,12.2,10.1,8.7,8.8,9.5,8.4,9.5,0.01701,0.52051
sp|Q6P9Q6|FKB15_MOUSE,Fkbp15,FK506-binding protein 15 OS=Mus musculus OX=10090 GN=Fkbp15 PE=1 SV=2,11,10.3,10.8,10.8,10.1,9.9,8.4,10.5,9.0,10.5,9.8,0.15319,0.67213
sp|Q60936|COQ8A_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2",7,14.1,3.5,13.5,11.9,10.5,13.9,4.7,17.5,3.8,6.7,0.68320,0.86757
sp|Q3UJB9|EDC4_MOUSE,Edc4,Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=2,8,9.8,10.7,9.4,10.6,9.5,9.3,10.1,9.8,10.9,9.8,0.92126,0.89831
tr|Q3UWL8|Q3UWL8_MOUSE,Pfdn4,Prefoldin subunit 4 OS=Mus musculus OX=10090 GN=Pfdn4 PE=1 SV=1,1,7.9,9.8,11.1,10.4,8.9,10.2,10.2,9.9,10.8,10.9,0.24556,0.72153
sp|Q91YE6|IPO9_MOUSE,Ipo9,Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3,10,11.8,9.1,9.7,9.4,9.7,9.3,11.2,11.4,9.5,9.0,0.87832,0.89387
sp|A2A6Q5|CDC27_MOUSE,Cdc27,Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1,1,12.2,13.7,9.5,11.0,9.8,7.7,10.0,8.4,8.2,9.5,0.03103,0.57282
sp|Q64511|TOP2B_MOUSE,Top2b,DNA topoisomerase 2-beta OS=Mus musculus OX=10090 GN=Top2b PE=1 SV=2,37,10.4,10.8,10.4,10.5,9.9,8.6,9.7,9.0,10.5,10.1,0.07639,0.62554
sp|P97807|FUMH_MOUSE,Fh,"Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",24,11.8,7.5,11.1,10.9,10.3,12.2,7.3,12.7,7.2,8.9,0.65312,0.86231
tr|Q14BI5|Q14BI5_MOUSE,Myom2,Myomesin 2 OS=Mus musculus OX=10090 GN=Myom2 PE=1 SV=1,35,14.9,1.8,13.7,10.9,10.9,16.9,2.9,18.1,2.6,7.3,0.83049,0.88844
sp|Q9CZW5|TOM70_MOUSE,Tomm70,Mitochondrial import receptor subunit TOM70 OS=Mus musculus OX=10090 GN=Tomm70 PE=1 SV=2,16,10.4,9.8,10.7,10.1,9.9,9.4,10.0,9.1,10.7,10.0,0.32130,0.75872
sp|Q91YU6|LZTS2_MOUSE,Lzts2,Leucine zipper putative tumor suppressor 2 OS=Mus musculus OX=10090 GN=Lzts2 PE=1 SV=3,1,11.5,10.3,9.4,9.0,10.3,7.9,12.9,9.4,9.3,10.1,0.86066,0.89192
tr|B1B1A8|B1B1A8_MOUSE,Mylk,"Myosin light chain kinase, smooth muscle OS=Mus musculus OX=10090 GN=Mylk PE=1 SV=1",57,10.1,10.2,10.1,11.7,10.0,10.6,8.0,10.4,8.9,10.0,0.19811,0.69169
sp|Q3UIZ8|MYLK3_MOUSE,Mylk3,Myosin light chain kinase 3 OS=Mus musculus OX=10090 GN=Mylk3 PE=1 SV=1,3,14.0,2.0,16.2,13.3,11.4,12.0,2.7,19.6,1.1,7.7,0.52587,0.83450
sp|Q9WTU6|MK09_MOUSE,Mapk9,Mitogen-activated protein kinase 9 OS=Mus musculus OX=10090 GN=Mapk9 PE=1 SV=2,7,10.6,11.0,9.8,10.0,10.8,9.7,8.4,9.0,10.9,9.7,0.11563,0.65407
sp|O08911|MK12_MOUSE,Mapk12,Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1,6,10.0,10.7,8.6,10.5,10.5,9.6,10.0,9.5,10.8,9.9,0.83081,0.88847
sp|P47811|MK14_MOUSE,Mapk14,Mitogen-activated protein kinase 14 OS=Mus musculus OX=10090 GN=Mapk14 PE=1 SV=3,5,9.1,10.4,8.8,10.0,10.3,9.4,10.8,10.4,10.1,10.8,0.24452,0.72090
sp|Q99PL5|RRBP1_MOUSE,Rrbp1,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,49,9.5,10.2,11.3,9.3,9.5,8.9,10.4,8.4,12.1,10.3,0.95761,0.90179
tr|Q8C845|Q8C845_MOUSE,Efhd2,EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1,11,10.7,9.6,10.9,10.8,9.5,9.3,9.6,10.1,9.4,10.1,0.14925,0.67038
sp|Q9D4J1|EFHD1_MOUSE,Efhd1,EF-hand domain-containing protein D1 OS=Mus musculus OX=10090 GN=Efhd1 PE=1 SV=1,3,8.9,11.1,9.3,11.9,8.0,12.5,8.2,11.5,7.4,11.2,0.80867,0.88577
tr|A0A0R4J0F6|A0A0R4J0F6_MOUSE,Gak,Cyclin-G-associated kinase OS=Mus musculus OX=10090 GN=Gak PE=1 SV=1,9,10.5,10.7,9.3,10.4,9.4,9.2,9.9,9.8,9.9,10.9,0.74187,0.87675
sp|Q9CQF0|RM11_MOUSE,Mrpl11,"39S ribosomal protein L11, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl11 PE=1 SV=1",2,9.9,9.5,10.8,9.0,10.3,12.5,8.9,10.1,8.2,10.8,0.80628,0.88547
sp|Q8BIJ7|RUFY1_MOUSE,Rufy1,RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1,9,9.8,9.9,9.9,10.0,9.7,9.7,10.2,10.2,10.5,10.2,0.05605,0.60580
tr|A0A0G2JFT8|A0A0G2JFT8_MOUSE,Rufy3,Protein RUFY3 OS=Mus musculus OX=10090 GN=Rufy3 PE=1 SV=1,2,9.9,9.6,10.3,10.2,9.7,9.3,9.8,8.9,10.9,11.5,0.80610,0.88545
sp|Q8R4C2|RUFY2_MOUSE,Rufy2,RUN and FYVE domain-containing protein 2 OS=Mus musculus OX=10090 GN=Rufy2 PE=1 SV=2,1,9.6,9.8,8.9,10.0,8.8,9.4,10.9,11.3,9.9,11.4,0.04271,0.59259
tr|E9QAQ7|E9QAQ7_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,10,9.6,11.6,10.5,10.5,9.7,8.7,9.6,9.4,10.3,10.1,0.14543,0.66860
sp|P10107|ANXA1_MOUSE,Anxa1,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,22,10.1,11.5,9.8,10.4,8.9,9.7,9.7,9.2,10.9,9.7,0.59927,0.85177
tr|A0A338P6U8|A0A338P6U8_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B OS=Mus musculus OX=10090 GN=Arid1b PE=1 SV=1,4,10.2,10.3,9.8,10.6,10.2,9.5,10.0,9.3,9.7,10.5,0.12869,0.66002
sp|P23116|EIF3A_MOUSE,Eif3a,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5,38,9.6,10.5,9.9,10.0,9.7,9.6,9.9,9.4,11.0,10.4,0.79246,0.88370
tr|A0A0G2JEX1|A0A0G2JEX1_MOUSE,Nexn,Nexilin OS=Mus musculus OX=10090 GN=Nexn PE=1 SV=1,14,9.2,9.6,10.2,10.7,9.3,11.8,8.4,11.4,9.1,10.3,0.58163,0.84796
sp|Q9Z1E4|GYS1_MOUSE,Gys1,"Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2",4,11.5,8.0,10.2,10.5,10.6,10.6,6.8,13.9,8.1,9.7,0.80802,0.88569
sp|Q8BLY2|SYTC2_MOUSE,Tarsl2,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tarsl2 PE=1 SV=1",2,10.8,11.7,8.7,10.6,9.5,11.0,8.8,11.0,7.4,10.4,0.56524,0.84424
sp|Q9D0R2|SYTC_MOUSE,Tars,"Threonine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Tars PE=1 SV=2",22,10.5,10.8,9.5,9.7,10.1,9.2,9.7,10.5,10.1,9.9,0.51394,0.83131
sp|Q9DCJ5|NDUA8_MOUSE,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=1 SV=3,4,12.4,6.7,12.2,11.3,9.9,12.5,5.6,14.6,6.1,8.7,0.64509,0.86083
tr|Q5RIM6|Q5RIM6_MOUSE,Ncor1,"Nuclear receptor co-repressor 1, isoform CRA_a OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1",3,8.2,11.0,10.1,11.0,10.6,9.6,8.3,9.7,11.1,10.3,0.57640,0.84679
sp|Q9QUR8|SEM7A_MOUSE,Sema7a,Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1,6,6.3,9.8,6.7,9.1,16.9,8.7,13.8,9.3,8.4,10.9,0.83791,0.88931
sp|Q62009|POSTN_MOUSE,Postn,Periostin OS=Mus musculus OX=10090 GN=Postn PE=1 SV=2,32,10.6,12.3,9.2,10.9,10.5,9.7,9.4,8.5,9.9,8.9,0.04073,0.58996
tr|F7C9H0|F7C9H0_MOUSE,Postn,Periostin (Fragment) OS=Mus musculus OX=10090 GN=Postn PE=1 SV=1,1,9.4,13.2,10.0,11.6,10.7,8.1,9.7,8.9,10.1,8.4,0.04551,0.59594
sp|O70423|AOC3_MOUSE,Aoc3,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3,17,14.4,5.4,10.6,12.0,9.7,11.3,5.1,15.6,6.4,9.6,0.73895,0.87632
tr|K3W4R5|K3W4R5_MOUSE,Ckap5,Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,26,9.2,10.4,9.7,10.2,9.4,9.5,11.2,9.2,10.8,10.4,0.36113,0.77724
sp|B2RXC1|TPC11_MOUSE,Trappc11,Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1,5,11.1,12.0,8.9,9.0,11.1,10.0,7.9,8.6,11.4,10.0,0.34920,0.77188
sp|Q8BRN9|C2D1B_MOUSE,Cc2d1b,Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus OX=10090 GN=Cc2d1b PE=1 SV=1,10,8.9,11.4,9.6,10.0,10.0,9.7,9.7,9.2,11.2,10.3,0.95542,0.90159
sp|Q60864|STIP1_MOUSE,Stip1,Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1,36,10.6,10.1,11.7,9.8,9.6,9.1,9.6,7.9,11.3,10.4,0.35469,0.77438
sp|Q64345|IFIT3_MOUSE,Ifit3,Interferon-induced protein with tetratricopeptide repeats 3 OS=Mus musculus OX=10090 GN=Ifit3 PE=1 SV=1,6,8.4,10.4,9.0,9.3,9.8,10.4,10.8,9.6,11.0,11.3,0.02577,0.55890
tr|D3Z7X0|D3Z7X0_MOUSE,Acad12,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus OX=10090 GN=Acad12 PE=1 SV=1",2,12.2,7.6,9.3,10.4,8.6,11.1,8.7,16.1,7.4,8.6,0.66371,0.86421
sp|Q8K370|ACD10_MOUSE,Acad10,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus OX=10090 GN=Acad10 PE=1 SV=1,12,10.1,8.0,10.1,10.1,9.4,13.1,9.0,12.1,8.0,10.0,0.42260,0.80207
tr|A0A0R4J078|A0A0R4J078_MOUSE,Ubxn4,"UBX domain containing 2, isoform CRA_a OS=Mus musculus OX=10090 GN=Ubxn4 PE=1 SV=1",2,9.7,9.8,10.6,10.3,8.9,9.6,11.3,9.6,9.9,10.4,0.48853,0.82408
sp|P30999|CTND1_MOUSE,Ctnnd1,Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2,33,9.4,11.9,9.8,10.7,10.3,9.1,9.5,8.3,11.0,9.9,0.19086,0.68714
