,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",21,10.0,10.3,8.6,12.1,8.3,11.0,9.3,9.8,9.9,10.8,0.71291,0.64064
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,16,10.7,10.5,9.6,10.4,11.2,9.1,8.9,9.0,9.3,11.2,0.08731,0.36340
tr|A2AJ72|A2AJ72_MOUSE,Fubp3,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,3,8.7,14.0,9.8,12.8,7.5,15.9,10.5,8.0,6.8,6.0,0.61897,0.60751
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,12,9.5,11.0,8.3,11.3,12.2,9.5,8.3,9.3,9.8,10.7,0.29546,0.48440
sp|Q91V81|RBM42_MOUSE,Rbm42,RNA-binding protein 42 OS=Mus musculus OX=10090 GN=Rbm42 PE=1 SV=1,1,10.2,11.3,8.6,10.7,12.8,8.2,9.8,7.1,10.9,10.5,0.19563,0.43784
sp|Q99KD5|UN45A_MOUSE,Unc45a,Protein unc-45 homolog A OS=Mus musculus OX=10090 GN=Unc45a PE=1 SV=2,1,8.6,12.4,9.0,11.1,11.9,9.7,10.7,12.6,6.7,7.2,0.39899,0.53167
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ddrgk1 PE=1 SV=2,3,9.6,11.9,8.9,11.2,9.9,10.1,10.4,10.4,9.5,8.3,0.42109,0.53967
sp|Q80UM7|MOGS_MOUSE,Mogs,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,5,10.0,8.9,10.7,11.1,10.6,11.4,9.5,9.4,8.1,10.3,0.45160,0.54977
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,6,8.6,8.2,8.0,9.5,11.9,11.1,10.1,11.2,10.5,10.9,0.10447,0.38084
sp|Q6P549|SHIP2_MOUSE,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1",10,10.4,11.0,9.8,10.5,9.7,10.4,9.8,9.7,9.7,8.9,0.10445,0.38082
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,4,10.1,8.8,11.4,8.8,16.5,7.4,9.1,8.4,9.4,10.0,0.19168,0.43600
tr|A0A1B0GSX6|A0A1B0GSX6_MOUSE,Pdlim3,"PDZ and LIM domain 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1",14,11.5,10.5,17.0,2.9,21.9,1.3,12.4,7.5,13.4,1.8,0.21998,0.44804
sp|O35226|PSMD4_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,12,9.5,10.1,9.4,11.2,10.1,10.4,10.4,10.1,10.1,8.7,0.78527,0.66258
tr|F7AI87|F7AI87_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,2,9.0,10.7,9.0,12.5,10.1,11.2,9.2,9.8,10.1,8.5,0.58571,0.59568
sp|Q80X85|RT07_MOUSE,Mrps7,"28S ribosomal protein S7, mitochondrial OS=Mus musculus OX=10090 GN=Mrps7 PE=1 SV=1",7,10.5,11.9,10.2,8.9,6.4,9.7,7.5,12.2,7.5,15.2,0.64859,0.61860
sp|P58404|STRN4_MOUSE,Strn4,Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2,2,8.6,9.6,6.7,11.7,10.6,12.3,10.5,9.9,9.5,10.5,0.29638,0.48486
sp|O55106|STRN_MOUSE,Strn,Striatin OS=Mus musculus OX=10090 GN=Strn PE=1 SV=2,5,9.3,9.7,8.0,11.2,10.1,10.2,10.3,10.8,11.4,9.1,0.32796,0.50099
sp|Q9ERG2|STRN3_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,11,9.8,10.4,8.9,10.6,9.5,10.3,10.3,10.3,11.4,8.4,0.61973,0.60780
sp|Q6ZQ73|CAND2_MOUSE,Cand2,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus OX=10090 GN=Cand2 PE=1 SV=2,3,14.0,11.0,16.8,3.7,16.4,2.3,13.2,7.9,12.0,2.7,0.18577,0.43312
sp|Q6ZQ38|CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,33,9.4,10.2,9.4,10.6,9.0,11.6,10.2,10.6,9.0,10.0,0.28520,0.47914
sp|Q91Z67|SRGP2_MOUSE,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2,1,10.0,8.6,8.3,9.8,12.4,9.3,10.6,10.2,11.7,8.9,0.71686,0.64191
sp|P28352|APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,5,9.7,11.5,8.4,12.1,13.1,9.4,8.4,9.1,8.8,9.5,0.08290,0.35809
sp|A2ASS6|TITIN_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,92,17.1,11.8,20.1,2.6,15.3,1.3,13.8,7.6,8.4,2.0,0.11445,0.38913
tr|E9Q8K5|E9Q8K5_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,4,17.1,14.3,18.2,2.3,14.6,1.0,13.8,8.1,9.2,1.5,0.11939,0.39282
sp|Q6PGC1|DHX29_MOUSE,Dhx29,ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1,6,8.8,9.6,8.8,12.1,11.6,10.0,10.7,10.0,9.5,8.8,0.61828,0.60724
sp|O54988|SLK_MOUSE,Slk,STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2,11,9.9,10.3,8.6,9.4,10.8,10.8,9.6,10.5,9.9,10.3,0.39556,0.53037
sp|O55098|STK10_MOUSE,Stk10,Serine/threonine-protein kinase 10 OS=Mus musculus OX=10090 GN=Stk10 PE=1 SV=2,3,9.4,9.3,8.6,9.3,11.3,10.8,9.5,11.2,9.6,11.0,0.18970,0.43505
sp|P63213|GBG2_MOUSE,Gng2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus OX=10090 GN=Gng2 PE=1 SV=2,2,8.9,10.8,8.0,11.2,11.3,9.4,9.6,9.9,10.6,10.3,0.91436,0.69573
sp|Q6P9Q6|FKB15_MOUSE,Fkbp15,FK506-binding protein 15 OS=Mus musculus OX=10090 GN=Fkbp15 PE=1 SV=2,7,9.8,9.5,9.4,9.5,12.1,9.3,10.9,8.9,11.1,9.4,0.84089,0.67771
sp|Q60936|COQ8A_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2",40,11.9,9.5,9.9,11.0,6.2,10.4,8.4,8.3,9.4,14.9,0.70561,0.63827
tr|A0A0A6YXI0|A0A0A6YXI0_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=5",2,9.3,7.6,3.7,20.4,6.9,13.6,9.3,5.2,18.5,5.3,0.83803,0.67696
sp|Q3UJB9|EDC4_MOUSE,Edc4,Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=2,6,9.7,10.3,9.2,11.4,10.9,11.0,9.8,9.1,8.2,10.4,0.37095,0.52054
tr|Q3UWL8|Q3UWL8_MOUSE,Pfdn4,Prefoldin subunit 4 OS=Mus musculus OX=10090 GN=Pfdn4 PE=1 SV=1,1,10.5,11.3,10.3,9.4,11.1,9.6,9.3,9.1,10.6,8.8,0.05338,0.32531
sp|Q91YE6|IPO9_MOUSE,Ipo9,Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3,8,9.3,10.4,9.6,11.4,10.9,10.6,10.2,9.6,9.5,8.5,0.28426,0.47864
sp|Q64511|TOP2B_MOUSE,Top2b,DNA topoisomerase 2-beta OS=Mus musculus OX=10090 GN=Top2b PE=1 SV=2,24,10.5,10.7,9.0,11.0,10.3,10.2,9.1,8.7,9.5,11.1,0.32848,0.50125
sp|P97807|FUMH_MOUSE,Fh,"Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",52,10.1,9.7,8.3,10.2,8.6,11.7,9.5,10.4,10.5,11.0,0.04367,0.31368
tr|Q14BI5|Q14BI5_MOUSE,Myom2,Myomesin 2 OS=Mus musculus OX=10090 GN=Myom2 PE=1 SV=1,54,16.3,9.0,21.4,1.9,16.5,0.7,14.8,6.3,11.5,1.6,0.20867,0.44354
sp|Q9CZW5|TOM70_MOUSE,Tomm70,Mitochondrial import receptor subunit TOM70 OS=Mus musculus OX=10090 GN=Tomm70 PE=1 SV=2,25,10.4,10.1,9.0,11.4,9.8,9.8,9.0,9.2,9.8,11.4,0.66286,0.62372
sp|Q91YU6|LZTS2_MOUSE,Lzts2,Leucine zipper putative tumor suppressor 2 OS=Mus musculus OX=10090 GN=Lzts2 PE=1 SV=3,1,8.8,10.8,9.2,10.9,11.0,10.5,9.4,9.7,9.6,10.3,0.68689,0.63204
sp|Q8VCR8|MYLK2_MOUSE,Mylk2,"Myosin light chain kinase 2, skeletal/cardiac muscle OS=Mus musculus OX=10090 GN=Mylk2 PE=1 SV=2",12,16.4,10.6,21.2,1.9,14.1,0.7,14.0,6.7,13.0,1.4,0.22256,0.44901
tr|B1B1A8|B1B1A8_MOUSE,Mylk,"Myosin light chain kinase, smooth muscle OS=Mus musculus OX=10090 GN=Mylk PE=1 SV=1",18,9.7,10.3,8.6,9.6,11.9,9.8,10.1,10.4,9.8,10.0,0.99041,0.71237
sp|Q9WTU6|MK09_MOUSE,Mapk9,Mitogen-activated protein kinase 9 OS=Mus musculus OX=10090 GN=Mapk9 PE=1 SV=2,4,10.8,10.7,10.4,9.2,9.6,9.8,10.4,10.4,9.2,9.5,0.47993,0.56029
sp|O08911|MK12_MOUSE,Mapk12,Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1,10,12.9,10.6,13.2,5.7,12.1,5.8,12.1,8.8,11.7,7.0,0.35488,0.51362
sp|P47811|MK14_MOUSE,Mapk14,Mitogen-activated protein kinase 14 OS=Mus musculus OX=10090 GN=Mapk14 PE=1 SV=3,6,10.1,10.2,10.1,10.7,9.9,9.4,10.7,10.4,8.6,10.0,0.39268,0.52926
sp|Q99PL5|RRBP1_MOUSE,Rrbp1,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,44,9.8,9.8,10.2,10.7,13.1,8.5,9.2,9.3,10.1,9.3,0.08231,0.35735
tr|Q8C845|Q8C845_MOUSE,Efhd2,EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1,8,8.7,8.7,8.5,9.7,13.0,9.5,10.1,10.1,10.4,11.5,0.54063,0.58177
tr|A0A0R4J0F6|A0A0R4J0F6_MOUSE,Gak,Cyclin-G-associated kinase OS=Mus musculus OX=10090 GN=Gak PE=1 SV=1,4,9.1,10.1,9.2,12.2,9.3,11.1,10.1,10.1,9.8,9.0,0.96012,0.70596
sp|Q9CQF0|RM11_MOUSE,Mrpl11,"39S ribosomal protein L11, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl11 PE=1 SV=1",9,10.7,10.5,8.6,12.2,8.4,10.7,9.0,9.1,9.3,11.6,0.88048,0.68767
tr|A0A0G2JFT8|A0A0G2JFT8_MOUSE,Rufy3,Protein RUFY3 OS=Mus musculus OX=10090 GN=Rufy3 PE=1 SV=1,2,10.8,10.0,8.6,9.3,11.8,9.5,9.2,10.2,10.4,10.3,0.76945,0.65802
sp|P10107|ANXA1_MOUSE,Anxa1,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,16,7.8,7.9,10.5,7.9,13.7,7.9,11.5,11.5,13.0,8.3,0.58343,0.59502
tr|A0A338P6U8|A0A338P6U8_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B OS=Mus musculus OX=10090 GN=Arid1b PE=1 SV=1,1,10.7,10.9,9.9,11.1,11.5,11.6,7.6,9.1,9.3,8.2,0.07131,0.34428
sp|P23116|EIF3A_MOUSE,Eif3a,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5,33,9.3,10.1,8.3,11.6,10.9,10.5,9.8,10.2,9.8,9.4,0.85930,0.68242
tr|A0A0G2JEX1|A0A0G2JEX1_MOUSE,Nexn,Nexilin OS=Mus musculus OX=10090 GN=Nexn PE=1 SV=1,3,10.3,10.4,11.8,6.2,14.3,5.8,11.8,10.1,12.8,6.4,0.54665,0.58372
sp|Q9Z1E4|GYS1_MOUSE,Gys1,"Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2",32,11.0,11.1,10.1,10.9,8.4,8.9,11.0,9.3,10.7,8.7,0.44023,0.54613
sp|Q8VCB3|GYS2_MOUSE,Gys2,"Glycogen [starch] synthase, liver OS=Mus musculus OX=10090 GN=Gys2 PE=1 SV=2",13,7.0,9.4,7.5,13.2,8.2,11.3,13.5,11.4,10.8,7.9,0.22044,0.44822
sp|Q8BLY2|SYTC2_MOUSE,Tarsl2,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tarsl2 PE=1 SV=1",2,12.6,11.3,10.6,11.0,9.6,10.4,8.6,9.5,9.2,7.2,0.02327,0.27212
sp|Q9D0R2|SYTC_MOUSE,Tars,"Threonine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Tars PE=1 SV=2",18,9.7,9.8,9.3,10.6,11.0,10.3,10.0,9.9,9.9,9.4,0.67108,0.62661
sp|Q9DCJ5|NDUA8_MOUSE,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=1 SV=3,16,9.6,11.1,9.7,9.9,8.5,10.0,8.3,11.2,9.0,12.6,0.61611,0.60640
tr|Q5RIM6|Q5RIM6_MOUSE,Ncor1,"Nuclear receptor co-repressor 1, isoform CRA_a OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1",2,9.8,10.4,8.9,10.7,8.9,11.7,9.9,9.2,10.5,10.1,0.34238,0.50793
sp|Q62009|POSTN_MOUSE,Postn,Periostin OS=Mus musculus OX=10090 GN=Postn PE=1 SV=2,26,10.4,9.5,8.7,13.0,11.4,10.7,9.6,8.6,10.0,8.1,0.22192,0.44877
sp|O70423|AOC3_MOUSE,Aoc3,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3,34,8.5,9.2,8.3,9.1,7.9,10.9,13.0,13.3,10.7,9.0,0.02295,0.27143
tr|K3W4R5|K3W4R5_MOUSE,Ckap5,Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,14,9.9,10.3,9.0,10.6,9.8,10.9,10.2,10.2,9.1,10.0,0.71482,0.64126
sp|B2RXC1|TPC11_MOUSE,Trappc11,Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1,12,9.9,9.6,7.9,11.1,9.2,10.7,10.5,11.2,10.1,9.9,0.15950,0.41870
sp|Q8BRN9|C2D1B_MOUSE,Cc2d1b,Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus OX=10090 GN=Cc2d1b PE=1 SV=1,6,9.6,10.1,8.8,8.9,10.2,9.9,10.7,10.9,11.7,9.2,0.12470,0.39654
sp|Q60864|STIP1_MOUSE,Stip1,Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1,33,10.3,10.6,11.4,11.2,12.5,8.2,8.7,8.4,9.3,9.5,0.00144,0.13235
tr|D3Z7X0|D3Z7X0_MOUSE,Acad12,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus OX=10090 GN=Acad12 PE=1 SV=1",6,10.5,8.7,10.0,7.7,6.6,11.1,10.2,11.2,8.9,15.0,0.07651,0.35017
sp|Q8K370|ACD10_MOUSE,Acad10,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus OX=10090 GN=Acad10 PE=1 SV=1,38,11.0,9.2,9.3,9.6,8.1,11.3,9.3,9.2,9.3,13.7,0.30162,0.48744
tr|A0A0R4J078|A0A0R4J078_MOUSE,Ubxn4,"UBX domain containing 2, isoform CRA_a OS=Mus musculus OX=10090 GN=Ubxn4 PE=1 SV=1",8,9.9,10.3,9.1,11.0,10.2,9.9,9.5,10.4,9.9,9.8,0.57307,0.59194
sp|P30999|CTND1_MOUSE,Ctnnd1,Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2,20,9.6,10.5,8.4,10.8,9.8,10.6,9.1,10.7,9.6,10.8,0.59464,0.59826
sp|Q8VH51|RBM39_MOUSE,Rbm39,RNA-binding protein 39 OS=Mus musculus OX=10090 GN=Rbm39 PE=1 SV=2,8,9.8,10.5,9.4,10.8,11.1,10.4,8.9,9.0,9.1,10.9,0.23174,0.45270
sp|Q9CRB9|MIC19_MOUSE,Chchd3,MICOS complex subunit Mic19 OS=Mus musculus OX=10090 GN=Chchd3 PE=1 SV=1,21,10.4,10.1,9.8,10.5,9.0,9.6,8.7,10.1,9.7,12.3,0.86465,0.68376
sp|Q6ZQ08|CNOT1_MOUSE,Cnot1,CCR4-NOT transcription complex subunit 1 OS=Mus musculus OX=10090 GN=Cnot1 PE=1 SV=2,6,10.3,10.5,8.4,11.4,9.8,10.8,9.5,9.7,8.8,10.8,0.79323,0.66483
sp|P70392|RGRF2_MOUSE,Rasgrf2,Ras-specific guanine nucleotide-releasing factor 2 OS=Mus musculus OX=10090 GN=Rasgrf2 PE=1 SV=2,2,11.1,9.7,9.6,11.7,9.2,9.8,11.2,9.1,9.2,9.4,0.41582,0.53782
sp|Q9D8N0|EF1G_MOUSE,Eef1g,Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3,27,9.7,10.6,9.4,12.5,11.0,9.6,10.2,9.8,9.3,7.9,0.09943,0.37618
sp|Q99LC9|PEX6_MOUSE,Pex6,Peroxisome assembly factor 2 OS=Mus musculus OX=10090 GN=Pex6 PE=1 SV=1,3,9.1,9.6,8.3,11.1,7.7,13.9,12.3,11.7,9.1,7.0,0.27237,0.47244
tr|E9PVZ8|E9PVZ8_MOUSE,Golgb1,"Golgi autoantigen, golgin subfamily b, macrogolgin 1 OS=Mus musculus OX=10090 GN=Golgb1 PE=1 SV=1",11,10.5,9.9,11.3,9.2,10.8,9.5,10.8,10.3,9.2,8.5,0.24445,0.45845
sp|Q9JIF7|COPB_MOUSE,Copb1,Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1,18,9.3,10.5,8.9,12.0,10.3,10.7,9.9,10.1,8.6,9.8,0.57591,0.59279
tr|Q543K9|Q543K9_MOUSE,Pnp,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=1,8,8.7,10.6,11.0,10.1,10.0,11.6,8.0,9.8,9.2,11.0,0.82557,0.67368
tr|Q9D8C9|Q9D8C9_MOUSE,Pnp2,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp2 PE=1 SV=1,10,9.1,9.8,12.6,9.5,8.7,11.8,8.8,10.5,8.1,11.0,0.93816,0.70114
sp|Q68FH0|PKP4_MOUSE,Pkp4,Plakophilin-4 OS=Mus musculus OX=10090 GN=Pkp4 PE=1 SV=1,2,9.0,7.4,8.6,11.1,10.7,8.9,9.3,10.9,10.4,13.8,0.26282,0.46782
sp|O35927|CTND2_MOUSE,Ctnnd2,Catenin delta-2 OS=Mus musculus OX=10090 GN=Ctnnd2 PE=1 SV=1,2,10.1,10.7,8.6,11.6,8.9,10.1,8.9,10.3,9.6,11.2,0.95631,0.70514
tr|H3BL37|H3BL37_MOUSE,Tcof1,Treacle protein OS=Mus musculus OX=10090 GN=Tcof1 PE=1 SV=1,10,10.2,9.4,9.0,9.3,12.2,9.8,8.7,9.8,9.9,11.8,0.98631,0.71152
tr|Q3UID0|Q3UID0_MOUSE,Smarcc2,SWI/SNF complex subunit SMARCC2 OS=Mus musculus OX=10090 GN=Smarcc2 PE=1 SV=1,7,10.7,10.3,8.9,10.5,10.6,9.5,9.1,9.3,10.4,10.8,0.43732,0.54517
sp|Q9Z2D6|MECP2_MOUSE,Mecp2,Methyl-CpG-binding protein 2 OS=Mus musculus OX=10090 GN=Mecp2 PE=1 SV=1,6,10.1,10.5,8.3,10.0,9.1,9.8,9.3,9.5,11.0,12.4,0.28657,0.47985
sp|Q3U0S6|RAIN_MOUSE,Rasip1,Ras-interacting protein 1 OS=Mus musculus OX=10090 GN=Rasip1 PE=1 SV=3,16,9.9,9.5,8.9,10.1,10.4,10.8,9.1,10.4,9.3,11.5,0.42416,0.54074
tr|E9QKE4|E9QKE4_MOUSE,Rab3gap2,Rab3 GTPase-activating protein non-catalytic subunit OS=Mus musculus OX=10090 GN=Rab3gap2 PE=1 SV=1,6,9.3,9.4,8.1,10.6,10.2,10.9,10.7,11.0,10.6,9.1,0.11911,0.39262
sp|Q4LDD4|ARAP1_MOUSE,Arap1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Arap1 PE=1 SV=2",2,6.9,10.6,10.0,12.8,9.7,10.6,11.7,9.2,10.5,7.9,0.99600,0.71352
sp|Q0KK55|KNDC1_MOUSE,Kndc1,Kinase non-catalytic C-lobe domain-containing protein 1 OS=Mus musculus OX=10090 GN=Kndc1 PE=1 SV=2,1,10.2,11.8,6.6,13.4,9.7,11.1,10.0,10.0,10.5,6.7,0.63914,0.61513
sp|Q9Z1W9|STK39_MOUSE,Stk39,STE20/SPS1-related proline-alanine-rich protein kinase OS=Mus musculus OX=10090 GN=Stk39 PE=1 SV=1,3,9.9,9.7,7.5,8.1,6.7,12.6,12.2,11.6,11.1,10.5,0.00355,0.17798
sp|Q6P9R2|OXSR1_MOUSE,Oxsr1,Serine/threonine-protein kinase OSR1 OS=Mus musculus OX=10090 GN=Oxsr1 PE=1 SV=1,10,10.5,10.1,10.6,9.2,10.1,9.8,11.1,9.5,10.9,8.1,0.73150,0.64655
sp|Q3UMF0|COBL1_MOUSE,Cobll1,Cordon-bleu protein-like 1 OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=2,10,10.2,9.9,8.3,9.6,8.9,10.7,9.9,10.9,10.4,11.1,0.02374,0.27312
sp|P35486|ODPA_MOUSE,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1",46,9.6,10.0,8.0,11.9,8.4,11.3,9.7,10.4,10.5,10.2,0.30429,0.48873
