Protein IDs,Majority protein IDs,Protein names,Gene names,function_annotation,Average Conc. (pmol/mg)_OLD Hippocampus,SD,Average Conc. (pmol/mg)_YOUNG Hippocampus,SD,t test OC/YC Hippocampus,rationO/Y Hippocampus,Average Conc. (pmol/mg)_OLD Cortex,SD,Average Conc. (pmol/mg)_YOUNG Cortex,SD,t test OC/YC Cortex,rationO/Y Cortex,Average Conc. (pmol/mg)_OLD Cerebellum,SD,Average Conc. (pmol/mg)_YOUNG Cerebellum,SD,t test OC/YC Cerebellum,rationO/Y Cerebellum
P16305;P16305-4;P16305-2;P16305-3,P16305;P16305-4;P16305-2;P16305-3,Gamma-aminobutyric acid receptor subunit alpha-6,Gabra6,GABA,,,,,,,0.00509785,0.011399139,0.015079085,0.03371786,0.548093476,0.3380742,0.845951127,0.13754778,1.014054558,0.405658055,0.136169409,0.834226443
P50571;A0A0G2JGS8,P50571;A0A0G2JGS8,Gamma-aminobutyric acid receptor subunit beta-1,Gabrb1,GABA,0.226576384,0.091619009,0.276728803,0.048803525,0.451403606,0.818766899,0.105153066,0.060420428,0.050248521,0.087683195,0.282218258,2.092659923,0.02953288,0.028244654,0.004587576,0.025124842,0.100510416,6.437577968
P63137-2;P63137;F6WUM4,P63137-2;P63137,Gamma-aminobutyric acid receptor subunit beta-2,Gabrb2,GABA,1.450047378,0.151868661,1.575207085,0.12819036,0.144947874,0.920543966,1.781595289,0.356219171,2.789263508,0.821622417,0.036027114,0.63873323,2.338816894,0.218046814,2.219872977,0.884120578,0.563611028,1.053581407
P63080;Q8C446;F6ZYH6,P63080;Q8C446;F6ZYH6,Gamma-aminobutyric acid receptor subunit beta-3,Gabrb3,GABA,0.997050674,0.170149647,0.98604535,0.256413804,0.912488032,1.011161073,0.220862076,0.295193045,0.274198906,0.431545107,0.825286122,0.805481245,0.532846396,0.160293361,0.551326649,0.254841131,0.863064141,0.966480392
Q9R0Y8;A0A0G2JDP9,Q9R0Y8;A0A0G2JDP9,Gamma-aminobutyric acid receptor subunit gamma-1,Gabrg1,GABA,,,,,,,0.018529301,0.017821512,0.036960741,0.034976096,0.324438128,0.501323858,0.010094624,0.022572266,0.031762519,0.028635951,0.071504657,0.317815598
P22723,P22723,Gamma-aminobutyric acid receptor subunit gamma-2,Gabrg2,GABA,0.884990308,0.254824095,1.434590554,0.335959103,0.002393927,0.616894002,0.894760266,0.364264457,1.789867545,0.520419626,0.013581493,0.499903062,0.851331253,0.365266132,0.622791367,0.454483916,0.22609728,1.366960588
P22933,P22933,Gamma-aminobutyric acid receptor subunit delta,Gabrd,GABA,0.020696846,0.013459414,0.02660821,0.013993581,0.541081521,0.777836854,0.063091774,0.027401428,0.215760448,0.103808331,0.013004708,0.292415848,0.662102535,0.232836255,0.505814797,0.533170989,0.266775415,1.308982138
,,SUM GABAA podjednostek,Gabr(a-d),GABA,7.048217808,0.486277552,8.375853128,1.075620301,0.001737302,0.841492526,6.176034343,0.76215722,9.097721936,1.530636599,0.005084213,0.678855035,8.273200266,0.723288637,8.326673592,3.239197038,0.934673171,0.993578069
P48318;D3Z5S3;D3Z1L8,P48318,Glutamate decarboxylase 1,Gad1,GABA,2.197128043,0.391208499,1.663370876,0.421935872,0.038631442,1.32088885,2.952083177,0.471329918,2.704931295,0.204973775,0.313618169,1.091370854,3.367284311,0.703033823,1.865421204,0.639522277,0.005403566,1.805106698
P48320,P48320,Glutamate decarboxylase 2,Gad2,GABA,2.950543413,0.555854476,2.874180225,0.580642518,0.845032341,1.026568685,3.969881346,0.627699185,4.625871804,0.631484434,0.138084426,0.858190956,2.932238155,0.915537469,1.991771146,0.548066148,0.040070121,1.472176239
Q91YS8;D3Z368,Q91YS8,Calcium/calmodulin-dependent protein kinase type 1,Camk1,CamK,0.150769861,0.036501864,0.265546642,0.039161321,0.124768341,0.567771671,0.480725115,0.200485769,0.850286728,0.191978422,0.017680076,0.565368245,0.485713951,0.062237543,0.34703721,0.135316114,0.095279182,1.399601935
Q8BW96;Q8BW96-3,Q8BW96;Q8BW96-3,Calcium/calmodulin-dependent protein kinase type 1D,Camk1d,CamK,5.069158018,0.779359124,4.45776397,0.667113718,0.14146499,1.137152629,3.647650248,0.58159366,3.779845551,0.695153682,0.752688653,0.965026268,1.616470186,0.134802896,0.998902233,0.174438588,0.000686239,1.618246644
Q8BW96-2,Q8BW96-2,Calcium/calmodulin-dependent protein kinase type 1D,Camk1d,CamK,0.083497701,0.041119084,0.061108555,0.030847925,0.275858121,1.366383153,0.013479085,0.030140151,0.042902958,0.042982817,0.245490507,0.314176134,0.022830395,0.014891369,0.007070171,0.016778336,0.063225901,3.229114724
P11798;F8WHB5;F6WHR9;D3Z7K9,P11798,Calcium/calmodulin-dependent protein kinase type II subunit alpha,Camk2a,CamK,152.5175798,13.94520182,141.5865022,14.91901423,0.163260205,1.077204235,109.1073766,20.15527181,103.1253753,30.08085466,0.72140505,1.058007074,19.32700868,5.128593153,15.94991985,6.987243183,0.260923282,1.211730772
Q5SVI1,Q5SVI1,,Camk2b,CamK,0.142080532,0.054790218,0.161379022,0.026411214,0.614278621,0.880415122,0.038703602,0.076497017,0.056935328,0.079330193,0.721040312,0.679781842,0.032912658,0.023036099,0.186193739,0.019258097,0.127469129,0.176765653
Q5SVJ0,Q5SVJ0,,Camk2b,CamK,21.56729384,2.233214792,21.74684991,2.248170754,0.881926629,0.991743352,13.66641342,4.657867007,10.19638184,2.215383888,0.170904481,1.340319893,13.14284087,1.53282187,11.03547773,2.021415255,0.051064554,1.190962565
Q68EG2,Q68EG2,,Camk2b,CamK,,,,,,,,,,,,,0.019513152,0.01887006,0,0.019843353,0.049513066,
Q6PHZ2-5;E9Q1V9;Q6PHZ2-2;E9Q1W0;E9PXV3,Q6PHZ2-5;E9Q1V9;Q6PHZ2-2;E9Q1W0,Calcium/calmodulin-dependent protein kinase type II subunit delta,Camk2d,CamK,1.755483225,0.237961617,2.575612616,0.228054185,0.014670713,0.681578904,5.115473593,1.861717816,4.147003179,1.238525521,0.361170225,1.233535006,3.280862039,0.312421566,4.030525156,0.623426712,0.098982745,0.814003613
E9Q1T1;A0A0G2JGS4;Q6PHZ2;A0A0G2JDC1;Q8CCM0;E9QAJ4;D6RDQ8;E9PYZ8,E9Q1T1;A0A0G2JGS4;Q6PHZ2;A0A0G2JDC1;Q8CCM0,Calcium/calmodulin-dependent protein kinase type II subunit delta,Camk2d,CamK,0,0,0.014973271,0,0.346593507,0,0.025948022,0.058021541,0.022471578,0.050247975,0.92182258,1.154704053,0.106517186,0.061491044,0.105240215,0.078648261,0.974807959,1.012133867
Q923T9;Q923T9-2,Q923T9;Q923T9-2,Calcium/calmodulin-dependent protein kinase type II subunit gamma,Camk2g,CamK,1.395363334,0.287665479,1.793282604,0.27455518,0.093980128,0.778105654,1.922892431,0.622450858,1.289321218,0.74970416,0.184053283,1.491399043,0.771090093,0.219699267,0.812169824,0.081574389,0.7881792,0.949419777
Q8BGR3;P08414;P58801;V9GXY4,Q8BGR3;P08414,Calcium/calmodulin-dependent protein kinase type IV,Camk4,CamK,0.980110357,0.154348704,1.714675686,0.333079954,0.000431357,0.571601012,2.200684212,0.508904218,4.30418289,1.015237942,0.003245546,0.511289661,6.20009554,0.916529134,9.546463852,1.505443102,0.003372559,0.649465146
Q8VBY2;B1AUD3,Q8VBY2;B1AUD3,Calcium/calmodulin-dependent protein kinase kinase 1,Camkk1,CamK,0.493989207,0.197610296,0.832275289,0.203776401,0.495609987,0.593540639,1.067654536,1.278315535,0.408357243,0.235602222,0.289566649,2.614511076,0.110057327,0.027097442,0.034588568,0.053145915,0.007412312,3.181898878
Q8C078;Q8C078-5;Q8C078-2;Q8C078-3;Q8C078-4;A0A0G2JET2;A0A0G2JEC5;Q3TV45;A0A0G2JGX0;A0A0G2JFG5,Q8C078;Q8C078-5;Q8C078-2;Q8C078-3;Q8C078-4;A0A0G2JET2,Calcium/calmodulin-dependent protein kinase kinase 2,Camkk2,CamK,0.678798279,0.138399343,0.909510877,0.029221955,0.056776841,0.746333327,1.591455361,0.322151859,2.024530151,0.653855829,0.220645869,0.786086273,0.502106718,0.180580196,1.100559069,0.178869687,0.004731119,0.456228777
P05132;P05132-2,P05132;P05132-2,cAMP-dependent protein kinase catalytic subunit alpha,Prkaca,Prka,3.595621487,0.791820443,4.4075989,0.624348637,0.191415269,0.815777835,2.81806047,2.419766588,2.775958837,2.274456105,0.978078771,1.015166519,1.525425,0.999122677,2.352185343,1.262452824,0.16390752,0.648513946
P68181;P68181-2;P68181-3;P68181-4;H6TMF5;A0A0G2JFT9,P68181;P68181-2;P68181-3;P68181-4;H6TMF5,cAMP-dependent protein kinase catalytic subunit beta,Prkacb,Prka,8.072532551,1.335454813,11.28221139,1.861633191,0.070340271,0.715509776,13.55931629,2.480174116,13.59628196,2.788328898,0.982870965,0.997281193,6.107402695,1.345409669,6.221050728,1.205863621,0.891844162,0.981731698
Q9DBC7;A2AI69,Q9DBC7;A2AI69,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",Prkar1a,Prka,3.270733132,0.561787943,2.885473259,0.438633255,0.241557463,1.133517048,4.302355182,1.518720834,4.026470841,1.260419286,0.762598965,1.068517655,4.875187348,1.329519811,3.674187808,0.455083626,0.169814135,1.326874837
P12849;D3Z0V6;D3Z068;D3YTM5;D3Z406;D3Z4A5;D3Z7E4;D3Z4L4,P12849;D3Z0V6;D3Z068,cAMP-dependent protein kinase type I-beta regulatory subunit,Prkar1b,Prka,0.526550913,0.196568165,0.593877091,0.171216325,0.484686434,0.886632808,0.576057467,0.221061115,1.038155797,0.679905928,0.186387976,0.554885373,0.37495966,0.132313837,0.479621773,0.157279693,0.27849355,0.78178198
Q8K1M3;A0A0A6YX73;P12367;A0A0A6YY28,Q8K1M3;A0A0A6YX73;P12367;A0A0A6YY28,cAMP-dependent protein kinase type II-alpha regulatory subunit,Prkar2a,Prka,3.356310314,0.658091586,2.977739776,0.55197872,0.363121363,1.12713352,4.802866697,1.223152377,4.6623115,0.636354489,0.825404998,1.030147106,3.263868759,0.506656595,2.523512441,0.728674873,0.095348133,1.293383264
P31324;H3BK84,P31324;H3BK84,cAMP-dependent protein kinase type II-beta regulatory subunit,Prkar2b,Prka,4.068688454,0.515996868,6.037735778,0.98473234,0.020594669,0.673876533,7.982466534,2.808467628,12.38338342,6.02987285,0.177296388,0.64461111,1.857481982,0.674039207,2.357747328,1.008512901,0.239302842,0.787820629
P63085,P63085,Mitogen-activated protein kinase 1,Mapk1,Mapk,29.58234592,2.891554244,26.71704465,1.175716353,0.079087935,1.107246191,28.74040024,1.596095921,26.53776253,2.632251923,0.148274827,1.083000129,14.26143099,1.843109617,15.627183,0.748262321,0.326004811,0.912604082
Q63844;D3Z3G6;D3Z6D8,Q63844;D3Z3G6;D3Z6D8,Mitogen-activated protein kinase 3;Mitogen-activated protein kinase,Mapk3,Mapk,4.282981207,0.463536524,3.467736913,0.858330475,0.032719821,1.235094044,3.068210282,0.864493043,4.630475126,2.082148643,0.159854644,0.66261241,3.746312166,0.815871243,3.1260004,0.721305533,0.193714763,1.19843624
Q6P5G0;E9Q3I6;E9PXX5,Q6P5G0;E9Q3I6;E9PXX5,Mitogen-activated protein kinase 4,Mapk4,Mapk,0.078977431,0.172556873,0.082635176,0.173028378,0.974726392,0.955736229,0.006027594,0.010071295,0.00819277,0.01831959,0.822670787,0.735721124,0.016249449,0.016613957,0.057605184,0.017686293,0.460403518,0.282083104
Q91Y86;Q7TSJ7;A6P3E4;G3X8U9;D3Z1Z4,Q91Y86;Q7TSJ7;A6P3E4;G3X8U9;D3Z1Z4,Mitogen-activated protein kinase 8;Mitogen-activated protein kinase,Mapk8,Mapk,0.253559684,0.053822305,0.342978567,0.013067157,0.106587939,0.739287258,0.293960847,0.11622069,0.23611338,0.074574401,0.37631434,1.244998687,0.029345254,0.027044296,0.080098187,0.043805525,0.127169409,0.366366016
Q80W82;Q3TQZ7;Q78GB8;Q8C9D4;E9QN59;Q80W80;Q61831;Q61831-2;A0A0G2JGL2;A0A0G2JG69;A0A0G2JEJ8,Q80W82;Q3TQZ7;Q78GB8;Q8C9D4;E9QN59;Q80W80;Q61831;Q61831-2,Mitogen-activated protein kinase;Mitogen-activated protein kinase 10,Mapk10,Mapk,3.147510971,0.3557414,3.30956503,0.259797218,0.602951914,0.951034635,2.869425363,0.655732067,3.682374042,0.877412891,0.135589994,0.779232454,1.698219536,0.358782534,1.865671093,0.52696578,0.339290019,0.910245939
O08911,O08911,Mitogen-activated protein kinase 12,Mapk12,Mapk,0.004315324,0.009649358,0.009877053,0,0.42617654,0.436904009,0.027273529,0.021323579,0.076838386,0.058364969,0.112330126,0.354946672,0.034874542,0.025892188,0.010301893,0.021652097,0.09940249,3.385255721
P47811-3,P47811-3,Mitogen-activated protein kinase 14,Mapk14,Mapk,0.042574451,0.012039541,0.079025708,0.042895512,0.016890842,0.538741783,0.118768992,0.074503523,0.226822303,0.124704511,0.134830375,0.523621312,0.152979169,0.085853213,0.268144703,0.100590886,0.110118845,0.570509758
P47811;P47811-4;B2KF35;P47811-2;B2KF34,P47811;P47811-4;B2KF35;P47811-2;B2KF34,Mitogen-activated protein kinase 14,Mapk14,Mapk,0.034358419,0.005196014,0.026593976,0.00570793,0.384847253,1.291962481,0.045617808,0.016577056,0.015676881,0.035054572,0.122520575,2.909877753,0.060024774,0.016798803,0.066564418,0.022759357,0.47734312,0.901754654
Q80Y86,Q80Y86,Mitogen-activated protein kinase 15,Mapk15,Mapk,0.262762248,0.055981949,0.038678554,0.046429954,0.001250164,6.793486911,0.532379221,0.039788103,0.697049943,0.38545808,0.369821446,0.763760512,0.149266468,0.146259227,0.124572173,0.126175643,0.774635232,1.198232833
P12657,P12657,Muscarinic acetylcholine receptor M1,Chrm1,,0.686394866,0.109847509,0.892626966,0.075167413,,,0.209286122,0.039181967,0.295503748,0.17887471,0.318488349,0.708235085,0,0,0.002063168,0.004613384,0.346593507,0
Q9ERZ3,Q9ERZ3,Muscarinic acetylcholine receptor M3,Chrm3,,0.055648252,0.006265654,0.127022341,0.058735292,0.026994486,0.438098143,0.068841712,0.014749019,0.139716455,0.032820031,0.002260689,0.492724443,0,0,0,0,,
P32211,P32211,Muscarinic acetylcholine receptor M4,Chrm4,,0.037246185,0.003850896,0.045664781,0.007268371,0.051379881,0.815643573,0.159275223,0.050165152,0.25277727,0.046003922,0.015949449,0.63010105,0,0,0,0,,
Q03059;Q8BQV2,Q03059;Q8BQV2,Choline O-acetyltransferase,Chat,,0.095559447,0.041897188,0.045909581,0.018506946,0.041596972,2.081470672,0.148354518,0.080306524,0.182962699,0.073837764,0.51255175,0.810845703,0.023119341,0.01829937,0.005928085,0.009181037,0.063836885,3.899968163
P21836;A0A0G2JDM6,P21836;A0A0G2JDM6,Acetylcholinesterase,Ache,,0.214959275,0.080514407,0.217716287,0.072960223,0.956145151,0.987336676,0.241071173,0.119926333,0.429777977,0.295805799,0.223848093,0.560920256,0.134578458,0.091281534,0.115522243,0.064591372,0.660582362,1.16495711
Q3TYJ1;O35304,Q3TYJ1;O35304,Vesicular acetylcholine transporter,Slc18a3,,0.06570062,0.024188508,0.059533432,0.008694755,0.606201107,1.103592003,0.025900802,0.025450522,0.133644181,0.10025828,0.047924609,0.193804188,0.014822079,0.033143177,0,0,0.346593507,
Q64264,Q64264,5-hydroxytryptamine receptor 1A,Htr1a,,0.01029236,0.010808725,0,0,0.065870426,,0,0,0,0,,,0,0,0,0,,
Q01337,Q01337,Alpha-2C adrenergic receptor,Adra2c,,0.005344339,0.005879831,0.011458887,0.004174945,0.094549432,0.466392507,0.010284634,0.010705225,0.017945181,0.013641933,0.351152012,0.573113961,0,0,0,0,,
Q01338;Q3URE6,Q01338;Q3URE6,Alpha-2A adrenergic receptor,Adra2a,,,0.003586524,,0.004849308,,,,0.061931892,,0,,,,0,,0.003797043,,
Q99MK8;Q7TS64;E9PW16;E9Q419;F6QY34;F6Y9P3,Q99MK8;Q7TS64;E9PW16,Beta-adrenergic receptor kinase 1,Adrbk1,,0.86737829,0.078862407,1.238195711,0.090794518,0.000125193,0.700517925,1.163813271,0.215029275,1.387212152,0.231531301,0.111288424,0.838958388,1.005195882,0.170250774,1.403861427,0.165123514,0.001103192,0.716022154
Q3UYH7;Q8BVT9;F7AEX1;Q8BX71;A0A0G2JEW1,Q3UYH7;Q8BVT9,Beta-adrenergic receptor kinase 2,Adrbk2,,0.060680947,0.013660855,0.068644791,0.011412338,0.346411372,0.883984724,0.043593542,0.029543803,0.051056615,0.058204739,0.79949364,0.853827497,0.025725803,0.011858591,0.014346697,0.009676349,0.154899608,1.793151564
Q60857;Q5NCR5,Q60857,Sodium-dependent serotonin transporter,Slc6a4,,0.017765036,0.015846519,0.015725234,0.018065207,0.854188434,1.129715239,0.011137352,0.024903877,0.012196566,0.019412251,0.942049424,0.913154771,0.016696702,0.014248869,0.004821543,0.007765361,0.140405774,3.462937691
