Accession,Significance,-10lgP,Intensity Young,Intensity Aged,Ratio Young,Ratio Aged,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
O08553|DPYL2_MOUSE,0.55,376.73,2.77E+05,2.81E+05,1,1.02,60,37,29,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),62278,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2
P68372|TBB4B_MOUSE,0.52,374.87,2.05E+04,2.09E+04,1,1.02,3,59,1,TMT6plex; Deamidation (NQ),49831,Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1
Q7TMM9|TBB2A_MOUSE,0.99,374.57,6.87E+04,6.59E+04,1,0.96,3,58,1,TMT6plex; Deamidation (NQ),49907,Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1
Q9D6F9|TBB4A_MOUSE,0.64,372.79,3.99E+04,4.11E+04,1,1.03,16,58,6,TMT6plex; Oxidation (M); Deamidation (NQ),49586,Tubulin beta-4A chain OS=Mus musculus GN=Tubb4a PE=1 SV=3
Q9CWF2|TBB2B_MOUSE,5.26,372.58,6.37E+03,4.39E+03,1,0.69,3,58,1,TMT6plex; Deamidation (NQ),49953,Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1
P99024|TBB5_MOUSE,0.58,372.48,7.40E+04,7.25E+04,1,0.98,16,55,4,TMT6plex; Oxidation (M); Deamidation (NQ),49671,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1
P68373|TBA1C_MOUSE,1.19,369.27,1.07E+03,905.009,1,0.84,5,48,1,Carbamidomethylation; TMT6plex; Deamidation (NQ),49909,Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1
Q6PIE5|AT1A2_MOUSE,1.32,367.99,1.15E+05,1.08E+05,1,0.94,26,55,28,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),112217,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus GN=Atp1a2 PE=1 SV=1
P68368|TBA4A_MOUSE,2.14,366.18,1.82E+05,2.08E+05,1,1.14,13,47,5,Carbamidomethylation; TMT6plex; Deamidation (NQ),49924,Tubulin alpha-4A chain OS=Mus musculus GN=Tuba4a PE=1 SV=1
tr|A0A0A0MQA5|A0A0A0MQA5_MOUSE,2.14,366.18,1.82E+05,2.08E+05,1,1.14,12,47,5,Carbamidomethylation; TMT6plex; Deamidation (NQ),52912,Tubulin alpha chain (Fragment) OS=Mus musculus GN=Tuba4a PE=1 SV=1
P20357|MTAP2_MOUSE,6.85,365.87,1.77E+05,1.29E+05,1,0.73,27,69,43,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),199130,Microtubule-associated protein 2 OS=Mus musculus GN=Map2 PE=1 SV=2
Q03265|ATPA_MOUSE,3.36,362.64,2.67E+05,3.09E+05,1,1.16,59,40,35,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),59753,ATP synthase subunit alpha  mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1
P56480|ATPB_MOUSE,2.55,360.23,4.10E+05,4.65E+05,1,1.14,69,36,35,TMT6plex; Oxidation (M); Deamidation (NQ),56301,ATP synthase subunit beta  mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2
P63017|HSP7C_MOUSE,3.13,359.3,3.10E+05,2.73E+05,1,0.88,43,48,27,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),70871,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1
O88935|SYN1_MOUSE,2.51,358.41,1.86E+05,2.04E+05,1,1.1,41,27,21,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),74097,Synapsin-1 OS=Mus musculus GN=Syn1 PE=1 SV=2
Q8VDN2|AT1A1_MOUSE,1.72,356.28,9.18E+04,8.56E+04,1,0.93,28,51,27,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),112982,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1
P05064|ALDOA_MOUSE,5.95,356.17,3.33E+04,2.97E+04,1,0.89,23,37,4,TMT6plex; Oxidation (M),39356,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2
tr|A6ZI44|A6ZI44_MOUSE,5.95,356.17,3.33E+04,2.97E+04,1,0.89,20,37,4,TMT6plex; Oxidation (M),45120,Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=1 SV=1
tr|A0A0J9YUN4|A0A0J9YUN4_MOUSE,1.12,351.82,8.78E+03,8.49E+03,1,0.97,4,51,2,TMT6plex,97295,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=1
P39053|DYN1_MOUSE,4.54,347.24,1.11E+03,1.44E+03,1,1.3,2,49,1,TMT6plex; Oxidation (M),97803,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2
Q9QXS1|PLEC_MOUSE,1.67,346.25,4.11E+04,3.81E+04,1,0.93,16,84,73,Carbamidomethylation; TMT6plex,534193,Plectin OS=Mus musculus GN=Plec PE=1 SV=3
Q9ERD7|TBB3_MOUSE,0.78,344.98,2.80E+04,2.77E+04,1,0.99,18,43,4,TMT6plex; Oxidation (M); Deamidation (NQ),50419,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1
tr|S4R1W1|S4R1W1_MOUSE,3.14,343.48,8.05E+03,9.10E+03,1,1.13,5,37,1,Carbamidomethylation; TMT6plex; Deamidation (NQ),35812,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gm3839 PE=1 SV=1
Q99KI0|ACON_MOUSE,1.11,342.93,2.99E+05,2.93E+05,1,0.98,58,45,40,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),85464,Aconitate hydratase  mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1
P46460|NSF_MOUSE,1.6,339.3,2.74E+05,2.48E+05,1,0.91,65,52,44,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),82613,Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2
O08599|STXB1_MOUSE,2.19,335.95,2.51E+05,2.42E+05,1,0.97,69,49,42,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),67569,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2
P52480|KPYM_MOUSE,3.44,333.77,3.60E+05,4.01E+05,1,1.11,58,36,29,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),57845,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4
P60710|ACTB_MOUSE,5.87,333.52,2.94E+05,2.94E+05,1,1,30,37,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),41737,Actin  cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1
P63260|ACTG_MOUSE,5.87,333.52,2.94E+05,2.94E+05,1,1,30,37,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1
P17710|HXK1_MOUSE,0.53,332.17,1.10E+05,1.07E+05,1,0.97,40,45,34,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),108303,Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3
tr|G3UVV4|G3UVV4_MOUSE,0.53,332.17,1.10E+05,1.07E+05,1,0.97,42,45,34,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),101873,Hexokinase 1  isoform CRA_f OS=Mus musculus GN=Hk1 PE=1 SV=1
P17182|ENOA_MOUSE,2.42,330.89,3.38E+05,3.84E+05,1,1.14,54,34,19,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47141,Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3
Q8BYI9|TENR_MOUSE,1.26,329.41,5.06E+04,4.90E+04,1,0.97,25,29,26,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),149589,Tenascin-R OS=Mus musculus GN=Tnr PE=1 SV=2
P62814|VATB2_MOUSE,0.89,328.6,6.88E+04,6.64E+04,1,0.96,41,23,16,Carbamidomethylation; TMT6plex; Deamidation (NQ),56551,V-type proton ATPase subunit B  brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1
P17183|ENOG_MOUSE,3.35,328.06,2.16E+05,2.03E+05,1,0.94,52,32,17,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47297,Gamma-enolase OS=Mus musculus GN=Eno2 PE=1 SV=2
P07901|HS90A_MOUSE,3.06,327.34,1.22E+05,1.03E+05,1,0.85,30,44,22,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),84788,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4
P11499|HS90B_MOUSE,3.99,326.43,7.87E+04,6.60E+04,1,0.84,29,44,19,Carbamidomethylation; TMT6plex,83281,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3
Q9JJZ2|TBA8_MOUSE,4.97,326.12,988,1.21E+03,1,1.23,10,32,3,TMT6plex,50052,Tubulin alpha-8 chain OS=Mus musculus GN=Tuba8 PE=1 SV=1
tr|Q3UHH0|Q3UHH0_MOUSE,1.91,325.79,367,475.189,1,1.29,1,45,1,TMT6plex,132106,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1
Q9R0K7|AT2B2_MOUSE,1.91,325.79,367,475.189,1,1.29,1,45,1,TMT6plex,132587,Plasma membrane calcium-transporting ATPase 2 OS=Mus musculus GN=Atp2b2 PE=1 SV=2
tr|F8WHB1|F8WHB1_MOUSE,1.91,325.79,367,475.189,1,1.29,1,45,1,TMT6plex,136783,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1
G5E829|AT2B1_MOUSE,2.05,324.8,2.98E+04,2.64E+04,1,0.89,15,47,16,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),134747,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus GN=Atp2b1 PE=1 SV=1
Q04447|KCRB_MOUSE,2.39,323.81,2.82E+05,3.18E+05,1,1.13,72,28,20,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),42713,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1
P50516|VATA_MOUSE,1.45,323.8,1.69E+05,1.77E+05,1,1.05,62,34,33,Carbamidomethylation; TMT6plex; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),68326,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2
Q61879|MYH10_MOUSE,4.33,322.78,1.13E+04,8.79E+03,1,0.77,13,37,21,Carbamidomethylation; TMT6plex; Deamidation (NQ),228994,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2
tr|Q3UH59|Q3UH59_MOUSE,4.33,322.78,1.13E+04,8.79E+03,1,0.77,13,37,21,Carbamidomethylation; TMT6plex; Deamidation (NQ),233447,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=1
P17427|AP2A2_MOUSE,1.09,322.11,4.37E+04,4.11E+04,1,0.94,30,38,24,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),104016,AP-2 complex subunit alpha-2 OS=Mus musculus GN=Ap2a2 PE=1 SV=2
tr|A0A0R4J036|A0A0R4J036_MOUSE,2.65,322.03,1.06E+05,1.06E+05,1,1.01,40,36,29,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),95941,Neurofilament 3  medium OS=Mus musculus GN=Nefm PE=1 SV=1
P08553|NFM_MOUSE,2.65,322.03,1.06E+05,1.06E+05,1,1.01,40,36,29,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),95916,Neurofilament medium polypeptide OS=Mus musculus GN=Nefm PE=1 SV=4
Q02053|UBA1_MOUSE,1.44,321.41,3.55E+04,3.52E+04,1,0.99,26,30,19,Carbamidomethylation; TMT6plex; Oxidation (M),117809,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1
O88737|BSN_MOUSE,1.71,319.67,1.61E+04,1.47E+04,1,0.91,8,31,26,Carbamidomethylation; TMT6plex; Deamidation (NQ),418848,Protein bassoon OS=Mus musculus GN=Bsn PE=1 SV=4
Q8CHC4|SYNJ1_MOUSE,1.62,319.5,6.74E+04,6.06E+04,1,0.9,34,51,44,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),172616,Synaptojanin-1 OS=Mus musculus GN=Synj1 PE=1 SV=3
Q01853|TERA_MOUSE,1.66,318.99,6.21E+04,5.78E+04,1,0.93,45,43,34,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4
P07724|ALBU_MOUSE,7.36,318.44,1.57E+05,1.76E+05,1,1.12,59,38,31,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),68693,Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3
P08249|MDHM_MOUSE,3.32,318.42,3.97E+05,4.53E+05,1,1.14,63,22,21,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),35611,Malate dehydrogenase  mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3
Q9DBG3|AP2B1_MOUSE,1.29,318.27,4.97E+04,4.54E+04,1,0.91,25,45,19,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),104583,AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=1 SV=1
O35643|AP1B1_MOUSE,1.12,317.37,1.29E+04,1.25E+04,1,0.97,19,38,13,Carbamidomethylation; TMT6plex; Deamidation (NQ),103935,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=1 SV=2
Q922F4|TBB6_MOUSE,2.17,316.48,1.51E+04,1.58E+04,1,1.05,20,43,5,TMT6plex; Oxidation (M); Deamidation (NQ),50090,Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1
P63038|CH60_MOUSE,2.05,316.26,1.40E+05,1.31E+05,1,0.93,53,37,30,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),60956,60 kDa heat shock protein  mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1
P09411|PGK1_MOUSE,3.92,315.19,1.86E+05,1.97E+05,1,1.06,67,36,24,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),44550,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4
P58252|EF2_MOUSE,1.98,315.18,5.62E+04,5.09E+04,1,0.9,49,37,36,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),95314,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2
Q8CI94|PYGB_MOUSE,0.93,314.95,4.96E+04,4.97E+04,1,1,31,37,25,Carbamidomethylation; TMT6plex; Oxidation (M),96730,Glycogen phosphorylase  brain form OS=Mus musculus GN=Pygb PE=1 SV=3
tr|Q3U2G2|Q3U2G2_MOUSE,1.74,314.5,4.37E+04,3.98E+04,1,0.91,46,45,36,Carbamidomethylation; TMT6plex; Oxidation (M),94209,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1
Q9Z0E0|NCDN_MOUSE,3.03,312.93,7.52E+04,6.72E+04,1,0.89,42,28,26,Carbamidomethylation; TMT6plex,78895,Neurochondrin OS=Mus musculus GN=Ncdn PE=1 SV=1
P05063|ALDOC_MOUSE,2.11,312.89,7.17E+04,7.48E+04,1,1.04,61,27,20,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),39395,Fructose-bisphosphate aldolase C OS=Mus musculus GN=Aldoc PE=1 SV=4
P16330|CN37_MOUSE,7.13,311.92,3.82E+05,4.55E+05,1,1.19,58,34,28,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47123,2' 3'-cyclic-nucleotide 3'-phosphodiesterase OS=Mus musculus GN=Cnp PE=1 SV=3
P19096|FAS_MOUSE,1.41,311.7,2.36E+04,2.15E+04,1,0.91,14,37,32,Carbamidomethylation; TMT6plex; Deamidation (NQ),272426,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2
P05201|AATC_MOUSE,2.19,311.26,8.67E+04,9.10E+04,1,1.05,77,33,31,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),46248,Aspartate aminotransferase  cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3
P05202|AATM_MOUSE,1.41,309.1,1.86E+05,1.94E+05,1,1.04,69,32,30,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47411,Aspartate aminotransferase  mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1
P40142|TKT_MOUSE,1.15,307.77,5.79E+04,6.23E+04,1,1.08,47,32,27,Carbamidomethylation; TMT6plex; Oxidation (M); Acetylation (Protein N-term),67631,Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1
Q64332|SYN2_MOUSE,4.51,307.1,8.97E+04,1.00E+05,1,1.12,45,26,19,TMT6plex; Oxidation (M); Deamidation (NQ),63373,Synapsin-2 OS=Mus musculus GN=Syn2 PE=1 SV=2
Q80TJ1|CAPS1_MOUSE,2.7,306.96,3.33E+04,3.00E+04,1,0.9,22,32,24,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),153112,Calcium-dependent secretion activator 1 OS=Mus musculus GN=Cadps PE=1 SV=3
P46660|AINX_MOUSE,3.94,306.76,7.47E+04,9.12E+04,1,1.22,43,28,19,Carbamidomethylation; TMT6plex; Deamidation (NQ),55383,Alpha-internexin OS=Mus musculus GN=Ina PE=1 SV=3
Q7TSJ2|MAP6_MOUSE,1.55,306.53,6.01E+04,5.42E+04,1,0.9,48,39,38,TMT6plex; Oxidation (M); Deamidation (NQ),96450,Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2
Q8BH59|CMC1_MOUSE,2.6,305.94,3.51E+04,3.69E+04,1,1.05,43,33,23,Carbamidomethylation; TMT6plex; Deamidation (NQ),74570,Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1
tr|A0A0A6YY91|A0A0A6YY91_MOUSE,1.18,305.81,5.13E+03,4.87E+03,1,0.95,5,36,3,TMT6plex,116375,Neural cell adhesion molecule 1 (Fragment) OS=Mus musculus GN=Ncam1 PE=1 SV=1
Q8BPN8|DMXL2_MOUSE,1.3,305.41,1.88E+04,1.71E+04,1,0.91,12,38,29,Carbamidomethylation; TMT6plex; Deamidation (NQ),338209,DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=3
tr|B0V2P5|B0V2P5_MOUSE,1.3,305.41,1.88E+04,1.71E+04,1,0.91,12,38,29,Carbamidomethylation; TMT6plex; Deamidation (NQ),340696,DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=1
P26443|DHE3_MOUSE,2.36,303.56,1.18E+05,1.35E+05,1,1.14,54,29,27,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),61337,Glutamate dehydrogenase 1  mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1
tr|Q6P1J1|Q6P1J1_MOUSE,2.62,303.27,2.72E+03,2.69E+03,1,0.99,6,29,3,TMT6plex,74221,Crmp1 protein OS=Mus musculus GN=Crmp1 PE=1 SV=1
P08551|NFL_MOUSE,1.76,303.09,8.80E+04,9.75E+04,1,1.11,42,30,25,Carbamidomethylation; TMT6plex; Oxidation (M),61509,Neurofilament light polypeptide OS=Mus musculus GN=Nefl PE=1 SV=5
P50396|GDIA_MOUSE,1.47,302.98,6.04E+04,5.78E+04,1,0.96,56,26,20,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),50522,Rab GDP dissociation inhibitor alpha OS=Mus musculus GN=Gdi1 PE=1 SV=3
tr|A1BN54|A1BN54_MOUSE,4.46,302.63,1.71E+04,1.32E+04,1,0.78,23,32,16,Carbamidomethylation; TMT6plex,102720,Alpha actinin 1a OS=Mus musculus GN=Actn1 PE=1 SV=1
P17426|AP2A1_MOUSE,0.39,301.27,3.61E+04,3.50E+04,1,0.97,30,39,24,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),107664,AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 PE=1 SV=1
Q6ZQ38|CAND1_MOUSE,1.82,300.77,3.88E+04,3.58E+04,1,0.92,31,41,33,Carbamidomethylation; TMT6plex; Deamidation (NQ),136331,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=1 SV=2
O55143|AT2A2_MOUSE,2.79,299.71,2.76E+04,2.46E+04,1,0.89,19,30,16,Carbamidomethylation; TMT6plex,114858,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2
P06745|G6PI_MOUSE,3.24,299.54,6.82E+04,6.59E+04,1,0.97,41,30,18,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),62767,Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4
P17156|HSP72_MOUSE,1.38,299.4,8.12E+03,7.40E+03,1,0.91,18,30,9,TMT6plex; Deamidation (NQ),69642,Heat shock-related 70 kDa protein 2 OS=Mus musculus GN=Hspa2 PE=1 SV=2
O88342|WDR1_MOUSE,1.63,298.3,6.45E+04,5.96E+04,1,0.92,51,29,29,Carbamidomethylation; TMT6plex; Deamidation (NQ),66407,WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3
P48722|HS74L_MOUSE,1.89,297.99,2.46E+04,2.22E+04,1,0.9,30,28,22,Carbamidomethylation; TMT6plex; Deamidation (NQ),94382,Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2
Q9Z1B3|PLCB1_MOUSE,2.01,297.55,2.39E+04,2.09E+04,1,0.87,23,33,25,Carbamidomethylation; TMT6plex,138396,1-phosphatidylinositol 4 5-bisphosphate phosphodiesterase beta-1 OS=Mus musculus GN=Plcb1 PE=1 SV=2
tr|K3W4T3|K3W4T3_MOUSE,2.93,296.55,6.61E+04,5.55E+04,1,0.84,30,27,23,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),96427,V-type proton ATPase subunit a OS=Mus musculus GN=Atp6v0a1 PE=1 SV=1
Q9Z1G4|VPP1_MOUSE,2.93,296.55,6.61E+04,5.55E+04,1,0.84,30,27,23,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),96467,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus GN=Atp6v0a1 PE=1 SV=3
Q60597|ODO1_MOUSE,1.51,296.54,1.76E+04,1.68E+04,1,0.96,22,28,20,Carbamidomethylation; TMT6plex; Deamidation (NQ),116449,2-oxoglutarate dehydrogenase  mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3
Q8VDD5|MYH9_MOUSE,1.79,296.39,3.57E+03,3.61E+03,1,1.01,3,21,7,TMT6plex,226370,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4
P18872|GNAO_MOUSE,5.18,296,1.41E+05,1.36E+05,1,0.96,50,22,19,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),40085,Guanine nucleotide-binding protein G(o) subunit alpha OS=Mus musculus GN=Gnao1 PE=1 SV=3
Q61598|GDIB_MOUSE,2.39,295.79,3.61E+04,3.55E+04,1,0.98,55,25,20,Carbamidomethylation; TMT6plex; Deamidation (NQ),50537,Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1
P38647|GRP75_MOUSE,0.99,294.9,4.15E+04,3.98E+04,1,0.96,39,30,25,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),73461,Stress-70 protein  mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3
tr|A0A0A6YY47|A0A0A6YY47_MOUSE,1.26,294.82,558,467.429,1,0.84,2,31,1,TMT6plex,93492,Neural cell adhesion molecule 1 OS=Mus musculus GN=Ncam1 PE=1 SV=1
P97807|FUMH_MOUSE,2.74,294.35,5.61E+04,6.04E+04,1,1.08,47,22,22,TMT6plex; Oxidation (M),54357,Fumarate hydratase  mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3
