Supplemental Table 1 - List and annotation of quantified proteins,,,,,,,,,,,,,,,,,
Gene names,Majority protein IDs,Protein names,t-test Difference_14vs96 (=log2 foldchange LFQ[14w/96w]),-Log t-test p value_14vs96,Significance,LFQ intensity 141031_1_0138-141022FaBrS01TQ,LFQ intensity 141031_1_0138-141022FaBrS02TQ,LFQ intensity 141031_1_0138-141022FaBrS03TQ,LFQ intensity 141031_1_0138-141022FaBrS04TQ,LFQ intensity 141031_1_0138-141022FaBrS05TQ,LFQ intensity 141031_1_0138-141022FaBrS06TQ,LFQ intensity 141031_1_0138-141022FaBrS07TQ,LFQ intensity 141031_1_0138-141022FaBrS08TQ,LFQ intensity 141031_1_0138-141022FaBrS09TQ,LFQ intensity 141031_1_0138-141022FaBrS10TQ,LFQ intensity 141031_1_0138-141022FaBrS11TQ,LFQ intensity 141031_1_0138-141022FaBrS12TQ
Fhl1,P97447;A2AEX8;A2AEX6;A2AEY1;A2AEY2;A2AEX7,Four and a half LIM domains protein 1,-0.632172,0.922119,nonsig,24.8516,25.2906,27.8065,25.1107,24.535,25.265,24.1975,25.3389,25.228,25.5768,26.0021,25.0583
Eif4a3,A2AFK7;Q91VC3,Eukaryotic initiation factor 4A-III,0.187224,0.531635,nonsig,25.6247,25.7104,23.9389,26.105,25.7381,25.5357,25.7863,25.434,25.5601,25.5007,25.0277,25.6567
Eftud2,G3UZ34;O08810;A2AH85,116 kDa U5 small nuclear ribonucleoprotein component,1.18915,1.08626,sig,24.4596,25.1879,24.0086,25.4865,25.4071,24.599,22.9341,24.9954,23.3583,22.9397,23.7535,23.1275
Pmpca,A2AIW9;Q9DC61,Mitochondrial-processing peptidase subunit alpha,-0.12689,0.15966,nonsig,25.8866,25.909,25.8669,26.6088,26.2735,26.8924,26.0041,26.7062,26.0245,26.8221,26.4578,27.0793
Fggy,A2AJL3;A2AJL4,FGGY carbohydrate kinase domain-containing protein,0.307627,0.936411,nonsig,28.1537,27.9865,28.5091,28.1348,29.1862,28.8477,28.6923,28.9676,28.7181,28.9271,28.4904,28.3276
Mup8;Mup7;Mup1;Mup6;Mup17;Mup15;Mup2;Mup9;Mup14;Mup13;Mup10;Mup11,P04938;Q58EV3;P11588;P02762;B5X0G2;A9R9W0;A2CEL1;A2AKN9;A2BIM8;B8JI96;L7MUC7;A2CEK6;P11589;A2CEK7;A2BIN1;A2AKN8;A9C497;E9QA79;A9C496;A2CEL0;A2BIN0;L7N222;E9PVW0,Major urinary proteins 11 and 8;Major urinary protein 1;Major urinary protein 6;Major urinary protein 17;Major urinary protein 2,0.403096,0.436629,nonsig,26.6862,27.6596,27.922,26.2178,28.4601,26.9247,28.2338,27.798,27.9599,27.7096,27.2097,26.9249
Agps,Q8C0I1;A2AL50;H3BKN2;A2AL49,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",0.920835,1.26706,nonsig,26.9979,27.8613,27.472,27.1056,27.4673,27.9667,28.8149,28.1617,26.859,26.8963,26.9969,27.9751
Ndufb6,A2AP32;Q3UIU2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,0.483448,0.888261,nonsig,26.7353,27.0605,25.9522,26.5255,26.294,26.0376,26.089,27.109,25.991,25.5462,26.0436,26.015
Slc12a1,A2AQ52;A2AQ51;A2AQ50;P55014,Solute carrier family 12 member 1,0.149264,0.171172,nonsig,26.2109,25.3518,25.8068,27.0747,26.5049,26.0206,26.7423,26.689,25.9372,25.9793,26.2401,27.2031
Cops2,A2AQE4;P61202,COP9 signalosome complex subunit 2,-0.422984,0.515114,nonsig,24.4789,23.8444,25.3288,24.1366,25.0461,23.6742,24.9578,24.605,24.6623,24.9659,24.7524,25.5946
Acss2,Q9QXG4;A2AQN5;A2AQN4,"Acetyl-coenzyme A synthetase, cytoplasmic",-0.0463862,0.0747489,nonsig,27.1129,27.177,27.0873,27.306,27.2466,27.8648,27.6061,26.9289,27.3726,27.7158,27.3333,27.4102
Lrp2,A2ARV4,Low-density lipoprotein receptor-related protein 2,0.44653,2.80254,nonsig,31.2309,31.1397,31.1104,30.9869,30.9616,30.9163,30.7998,31.0624,30.4754,30.3399,30.5008,30.638
Dhtkd1,A2ATU0,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",-0.146538,0.106456,nonsig,24.9423,24.3234,24.4788,24.5975,27.3332,25.5651,27.4793,27.3336,27.2867,26.4199,27.167,27.4237
Tpd52l2,Q3TUJ9;Q8BKP1;Q3TAI4;Q9CYZ2;A2AUD5;F6VQ81,Tumor protein D54,-0.164045,0.304735,nonsig,26.1368,26.8003,26.1003,26.0634,26.3246,25.565,25.8923,26.0804,26.0653,26.0335,25.8355,26.5842
Epb4.1l1;Epb41l1,A2AUK7;A2AUK8;Q9Z2H5;A2AUK5;A2AUK6;E9PV14,Band 4.1-like protein 1,-0.0496407,0.107458,nonsig,24.4294,24.3784,24.3371,24.3557,24.666,24.2874,24.302,24.1394,24.2602,24.5866,24.106,24.6405
Rrbp1,A2AVJ7;Q99PL5,Ribosome-binding protein 1,0.109149,0.111803,nonsig,26.4382,25.3122,25.947,26.6064,26.3719,26.3541,26.3948,25.4358,26.4864,26.5165,25.4584,25.6586
Set,A2BE93;Q9EQU5;A2BE92,Protein SET,0.113261,0.313258,nonsig,27.4445,27.2079,27.3897,28.183,27.2574,27.2775,27.6793,27.2135,26.9632,27.3512,27.4601,27.2002
Dync1i2,A2BFF8;O88487;Q3TPJ8;A2BFF5;A2BFF9,Cytoplasmic dynein 1 intermediate chain 2,-0.377153,0.91117,nonsig,25.8833,25.748,25.8799,25.9087,25.8044,25.7617,26.0641,25.9057,26.1873,25.9523,26.0644,26.8405
Arpc5l,Q9D898;A3KGQ6,Actin-related protein 2/3 complex subunit 5-like protein,-0.411777,0.492635,nonsig,25.1235,25.0835,25.3784,25.4886,25.5399,24.0415,25.5593,25.5912,25.5764,25.6614,25.5735,25.5678
Ttc38,A3KMP2,Tetratricopeptide repeat protein 38,-0.2856,0.618819,nonsig,26.3648,26.1051,26.3782,26.5588,26.389,26.2875,25.6919,25.5972,26.2044,26.2184,26.5282,26.157
Slc4a4,A7E1Z5;O88343;E9Q8N8,Electrogenic sodium bicarbonate cotransporter 1,0.296988,0.277086,nonsig,28.6723,28.6858,28.3505,27.793,28.3419,27.1069,28.4046,29.0381,27.8224,27.4733,28.0678,28.3399
Hbb-b1,A8DUK4;P02088,Hemoglobin subunit beta-1,-0.11055,0.0950619,nonsig,32.723,33.156,32.9701,31.9259,31.9292,32.1736,31.991,31.2034,32.3275,31.8594,32.6159,30.9367
Aspa,B0QZP3;V9GXG0;Q8R3P0,Aspartoacylase,0.325587,0.844512,nonsig,26.9174,26.3749,26.8701,26.7892,27.084,27.4031,27.2995,26.8469,26.6063,27.2312,26.8899,26.6036
Snap23,B0R030;O09044;Q9D3L3;B0R029;E9Q8A1,Synaptosomal-associated protein 23;Synaptosomal-associated protein,0.203568,0.29702,nonsig,24.8817,24.9696,24.2368,24.7853,24.9558,24.7487,24.8407,25.0046,24.8093,24.9104,23.868,25.1479
Ndufs5,B1ARW4;Q99LY9,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5, N-terminally processed",0.304437,0.451626,nonsig,28.1872,27.2626,27.9158,28.291,27.8326,28.252,27.4042,28.6801,27.732,27.6985,27.4475,28.0732
Aldh3a2,P47740;B1AV77;B1ATI0,Fatty aldehyde dehydrogenase,0.198572,0.361339,nonsig,28.7355,28.7712,28.5251,28.7947,29.0259,29.6686,29.3311,29.7286,29.0282,29.2539,28.9559,29.722
Gps1,Q99LD4;Q3MIA8;B1ATU4;G3UXW9,COP9 signalosome complex subunit 1,0.186846,0.688893,nonsig,24.1865,23.8731,23.7332,24.5676,24.4311,24.4931,24.5564,24.0001,24.1836,24.2875,24.1411,24.1212
Clta,B1AWE0;Q6PFA2;B1AWE1;O08585;B1AWD8;B1AWD9,Clathrin light chain A,-0.43357,0.585933,nonsig,27.6817,27.8684,26.8284,27.5595,26.8174,26.7848,27.2918,26.7919,27.8539,26.4315,27.3684,27.7664
Pls3,Q99K51;B1AX58,Plastin-3,-0.393318,1.47746,nonsig,27.6979,27.7475,27.9979,28.0603,27.9363,27.5633,27.6395,27.8544,28.1401,27.8674,28.1389,28.4203
Cobll1,B1AZ15;B1AZ14;Q3UMF0,Cordon-bleu protein-like 1,0.207982,0.536535,nonsig,25.592,25.7794,25.5357,26.1042,26.3612,25.9792,26.6373,26.0436,26.1497,26.09,25.7676,26.1819
Hspg2,Q05793;B1B0C7;E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,0.202784,0.157278,nonsig,26.1507,26.6023,26.5595,27.1573,27.1588,25.9155,27.1767,26.8747,25.5323,27.0455,26.4209,27.3158
Mylk,Q6PDN3;B1B1A8,"Myosin light chain kinase, smooth muscle;Myosin light chain kinase, smooth muscle, deglutamylated form",-0.456154,0.716989,nonsig,25.3151,25.2488,25.2587,25.727,26.1044,25.3051,25.8209,25.9204,25.7562,26.8234,25.8624,26.5335
Hnrnpk;Gm7964,B2M1R6;P61979;H3BKD0;H3BLL4;D3Z5X4;D3YWG1;H3BK96,Heterogeneous nuclear ribonucleoprotein K,-0.187012,0.588537,nonsig,30.5475,30.452,30.6504,30.6434,30.4332,30.3211,30.5634,30.4042,30.5041,30.2824,30.7622,30.9212
Chchd2;2410018M08Rik,Q9D1L0;D3Z5B1;B2RPU8,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial",-0.114017,0.116845,nonsig,25.5367,25.4982,25.0565,25.5193,24.9337,25.4818,24.5094,24.8752,25.3438,25.4802,24.166,25.2661
Cgnl1,B2RSU6;Q6AW69;D3Z3H4,Cingulin-like protein 1,-0.273869,0.55472,nonsig,25.6576,25.7963,25.5281,26.2327,26.0299,25.4387,26.0937,25.536,25.9766,26.1184,25.6698,26.429
Flna,B7FAV1;B7FAU9;Q8BTM8,Filamin-A,-0.63914,2.08747,nonsig,28.9018,29.0413,29.4826,29.545,29.226,28.6916,28.9515,29.1296,29.6209,29.8154,29.3184,29.8007
Ube2v1;Gm20431,Q9CZY3;B7ZBY7;E9PY39;B7ZBY6,Ubiquitin-conjugating enzyme E2 variant 1,-0.199094,0.754792,nonsig,26.8272,26.6862,26.8281,26.9453,26.9669,27.0269,27.1343,26.5427,27.1264,27.1213,27.1071,27.1123
Psmc3,O88685;B7ZCF1;A2AGN7,26S protease regulatory subunit 6A,-0.0977139,0.219277,nonsig,26.654,26.4986,26.8618,26.6788,26.6185,26.2822,26.6241,27.0937,26.7822,26.5939,26.8997,26.7335
Mpp1,B7ZCL8;P70290;A2AN84;B7ZCL9,55 kDa erythrocyte membrane protein,0.139842,0.251899,nonsig,28.7649,28.3438,28.5314,28.3459,28.5899,28.2841,28.202,28.0614,28.6096,28.2042,27.6486,28.1157
Tjp1,B9EHJ3;P39447,Tight junction protein ZO-1,-0.0443735,0.112713,nonsig,24.3717,24.3591,24.5519,24.9663,24.7568,24.5042,24.6733,24.7025,24.4302,24.5318,24.8347,25.0177
Gimap4,D3YTN4;Q99JY3,GTPase IMAP family member 4,0.452872,0.499286,nonsig,27.1753,26.8365,27.5745,26.1192,26.0581,25.3748,26.1258,27.0851,26.1139,25.701,25.9186,25.0988
Rps19,D3YUG3;Q9CZX8;D3Z5R8;D3Z722;S4R223,40S ribosomal protein S19,0.468571,0.619672,nonsig,28.7605,28.2169,28.7109,28.2942,28.561,29.0296,28.5276,27.7712,28.0065,28.6339,27.9513,27.4234
Ndufv1,D3YUM1;Q91YT0;D3Z1U9,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",-0.116357,0.168638,nonsig,30.7258,30.9099,30.8826,30.8923,30.4577,30.3319,29.9848,31.109,30.7567,30.2526,30.8078,30.5318
Cops4,D3Z1R9;D3YV99;F6QTS1;O88544,COP9 signalosome complex subunit 4,0.133611,0.190936,nonsig,24.1951,24.2732,25.2467,24.4566,24.3992,24.7651,24.3951,24.5003,24.5695,23.6065,24.7412,24.6081
Capns1,D3YW48;O88456,Calpain small subunit 1,0.167586,0.407417,nonsig,25.4539,26.5225,26.0696,24.6162,26.5647,26.9468,26.352,26.3825,26.4952,26.5158,26.5279,26.0366
A2m;Pzp,Q61838;D3YW52,Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit,-1.28886,1.64214,sig,25.3036,25.5565,25.1282,25.5908,25.1296,25.251,25.2787,25.0359,26.9761,25.6798,25.8208,27.3738
Otub1,D3YWF6;Q7TQI3;D3Z7K0,Ubiquitin thioesterase OTUB1,-0.213055,0.504473,nonsig,26.111,26.3112,26.2445,26.8713,26.6355,26.6048,26.3749,25.8974,26.4687,26.4454,26.6067,26.8441
Qdpr,D3YWR7;Q8BVI4,Dihydropteridine reductase,0.229243,1.81559,nonsig,29.6136,29.9435,29.8957,29.7398,29.4651,29.6422,29.5518,29.3339,29.3206,29.2314,29.2684,29.2555
Fuom,D3YWS7;Q8R2K1;F6SJM7;F6X9P4,Fucose mutarotase,0.75668,0.516824,nonsig,23.5698,25.7998,24.4978,23.7364,24.5538,25.7912,25.4703,23.6323,25.4847,23.7227,23.437,23.7763
Dctn1,D3YX34;E9Q586;E9Q3M3;O08788,Dynactin subunit 1,-0.272635,0.948908,nonsig,25.8351,25.2842,25.8927,26.2467,25.6795,25.4875,25.6653,25.1822,25.892,25.9672,25.6422,25.6035
Arpc2,D3YXG6;Q9CVB6,Actin-related protein 2/3 complex subunit 2,0.05125,0.259533,nonsig,26.6136,26.9608,27.0389,26.9006,27.0454,26.9863,26.968,26.9276,27.0908,26.8787,26.74,27.0129
Vps29,D3YYD5;D3Z645;Q9QZ88,Vacuolar protein sorting-associated protein 29,0.238153,0.702767,nonsig,27.1737,26.9519,27.022,27.3172,27.3457,27.174,27.2658,26.8042,27.0597,27.1059,26.6092,26.8622
Anp32a,D3YYE1;D3Z7M9;O35381;F6UFG6,Acidic leucine-rich nuclear phosphoprotein 32 family member A,-0.25302,0.325236,nonsig,28.0576,28.2812,27.8412,28.1411,27.6296,27.6694,27.6087,28.4199,27.5098,28.2544,28.7381,27.8372
Rps5,D3YYM6;Q91V55;P97461,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",-0.0170541,0.0228894,nonsig,27.6321,27.4118,27.6451,27.3485,27.6427,27.3701,27.4685,27.8578,27.2619,28.2651,27.3192,27.5611
Hacl1,D3YZ54;Q9QXE0;E9PWM4,2-hydroxyacyl-CoA lyase 1,0.126381,0.210238,nonsig,26.7354,26.5407,26.8598,27.1926,26.2426,26.0438,26.2903,26.0949,26.403,25.5839,25.7018,26.4774
Gsta2;Gm10639,D3YZV3;P10648;D3Z6A6;E9Q6L7,Glutathione S-transferase;Glutathione S-transferase A2,-0.547229,0.154337,nonsig,28.1073,26.7821,27.7419,27.8171,27.5251,26.4044,23.6001,27.3513,26.9737,27.6851,28.5216,23.8894
Tmed7,E9Q7G1;D3YZZ5,,-0.61365,1.00526,nonsig,24.7781,24.7947,24.8448,24.8639,23.6677,24.9481,23.7162,23.7488,24.6572,24.7425,24.4849,24.6509
Acsl1,P41216;D3Z041,Long-chain-fatty-acid--CoA ligase 1,0.246482,0.601058,nonsig,28.9154,29.2085,29.2418,29.0832,28.6223,28.7788,28.7619,28.6861,28.3014,28.081,28.9742,28.5066
Tpd52,D3Z637;D3Z125;E9PUA7;D3Z7X7;Q62393;F8WHQ1;D3Z2U2,Tumor protein D52,0.147906,0.27596,nonsig,25.8198,25.1595,25.2848,25.8969,26.0651,25.3096,25.3194,25.1251,25.1486,25.5005,25.3474,25.2311
Aspdh,D3Z253;Q9DCQ2,Putative L-aspartate dehydrogenase,0.804954,0.676909,nonsig,26.2723,24.3428,23.6004,24.0858,25.5215,23.9684,24.0185,25.46,22.8794,24.0254,24.6598,24.1839
Nfu1,D3Z285;Q9QZ23,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",-0.207111,0.224767,nonsig,23.9309,24.6175,23.9568,24.7742,24.0196,22.532,23.2792,24.0523,23.8694,23.7287,23.6498,23.4637
Ctnnd1,E9Q986;D3Z7H6;E9Q907;E9Q905;E9Q8Z4;E9Q8Z9;D3Z2H2;E9Q901;E9Q904;G3X9V2;P30999;E9Q8Z6;E9Q8Z8;E9Q906;E9Q903;E9Q8Z5;D3Z2H7,Catenin delta-1,-0.180432,0.473848,nonsig,26.9121,26.7259,26.3405,26.9033,26.7538,26.5933,26.2576,26.324,26.8272,26.606,26.3264,26.8909
Tpm3-rs7;Tpm3,D3Z2H9;Q8K0Z5;E9Q5J9;P21107,Tropomyosin alpha-3 chain,-0.373865,0.902405,nonsig,31.3423,30.8815,30.917,31.5658,31.6622,31.2605,31.4554,31.3465,31.9827,31.7903,31.28,32.1671
Gpx3,D3Z2Y7;P46412;D3Z7Y0,Glutathione peroxidase;Glutathione peroxidase 3,-1.43466,2.78228,sig,28.5727,28.9938,29.9962,28.8959,28.5558,28.4474,28.2059,28.7256,29.9097,29.8456,30.5478,29.3701
Cope,D3Z315;O89079,Coatomer subunit epsilon,-0.199502,0.172287,nonsig,25.5714,26.5252,25.6388,26.6469,26.2108,24.4127,26.3334,25.7978,25.8031,26.0826,25.6879,25.9791
Dlg1,D3Z3B8;H7BWY4;Q811D0;E9Q9H0,Disks large homolog 1,0.0610542,0.106433,nonsig,28.3386,27.7713,28.3043,28.2526,28.3181,27.6518,28.2602,28.4032,28.2153,27.7836,28.0316,28.3585
Rpl11;Gm10036;Gm10288;Gm5093;Gm7589,Q9CXW4;E9PYL9;D3Z3K1;E9PZB3;A2BH06;D3YW69,60S ribosomal protein L11,0.150818,0.572017,nonsig,28.333,28.1777,28.6834,28.436,28.3951,28.5901,28.4568,28.4023,28.2903,28.5809,28.3487,28.0213
Sorbs1,E9Q6A3;E9PYX6;E9QNA7;D3Z5J3;Q62417,Sorbin and SH3 domain-containing protein 1,0.657154,0.715005,nonsig,23.8918,25.5459,24.6051,24.8814,24.3554,25.4661,24.6076,24.3047,24.6217,23.2851,23.5404,24.6579
Rps3a;Rps3a2;Rps3a3,P97351;D3Z6C3;D3Z7W7,40S ribosomal protein S3a,0.467517,1.06267,nonsig,28.7727,28.3245,28.891,28.7456,28.5262,28.8045,28.7617,28.544,28.0956,28.8257,27.863,27.982
Tpm3,D3Z6I8;E9Q7Q3,,0.060905,0.188475,nonsig,27.9159,26.9408,26.7525,28.0065,27.9146,27.8441,28.1027,27.9068,27.9555,27.6876,27.7113,28.1703
Snx3,D3Z789;D3Z6Z0;Q78ZM0;O70492,Sorting nexin-3,0.0820298,0.219592,nonsig,27.8923,28.3494,28.2369,28.5077,28.316,28.0705,28.3055,28.4834,27.9522,28.0928,28.5208,28.2816
Sumo2,H7BWX9;D3Z794;P61957,Small ubiquitin-related modifier 2,-0.120519,0.232945,nonsig,26.0026,26.0003,25.7995,25.6929,25.6107,25.28,25.8401,25.5649,25.8794,25.8549,25.1717,25.8719
Ptges3,D3Z7C6;Q9R0Q7,Prostaglandin E synthase 3,-2.35712,2.13252,sig,26.4698,23.4287,26.7214,26.7398,25.6295,23.9876,25.5845,23.31,26.7017,27.2161,26.8866,27.1356
Gls,D3Z7P3;D3Z7P4,"Glutaminase kidney isoform, mitochondrial",0.0570989,0.0329761,nonsig,25.618,25.643,26.2532,25.7995,27.3235,26.0118,25.8122,26.9877,27.0595,25.3908,27.4368,26.0195
Pxmp2,D6REH1;Q5D073;P42925,Peroxisomal membrane protein 2,1.59505,1.22285,sig,24.883,25.5951,25.5116,25.3201,25.5931,26.112,28.4005,26.2207,24.8991,24.5269,25.8484,24.6718
Echdc1,E0CXS3;Q9D9V3,Ethylmalonyl-CoA decarboxylase,0.53459,0.713262,nonsig,24.8243,25.2517,24.659,24.0162,25.0268,25.4164,25.0438,24.5552,24.8229,25.1274,24.2796,23.6739
Pcmt1,P23506;F7D432;E9PWE0;E0CYV0;F6TXE3;F6V9F1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,0.230981,0.0539494,nonsig,24.6422,28.8467,23.8859,28.1617,28.4358,24.6505,28.3047,28.1575,28.4423,28.4012,28.2153,23.5658
H3f3a;H3f3c;Hist1h3a,E0CZ27;P84244;P02301;F8WI35;P68433,Histone H3;Histone H3.3;Histone H3.3C;Histone H3.1,-0.260002,0.252419,nonsig,29.4062,31.4737,30.9436,30.2949,30.8276,29.7647,31.3,30.2645,30.878,31.4879,30.4896,30.3414
Dnm1l,E9PUD2;Q8K1M6,Dynamin-1-like protein,0.0419898,0.079882,nonsig,27.1217,26.9322,27.1119,27.4554,27.5321,27.6312,27.2449,27.6167,26.9655,27.639,27.6612,27.5912
Cml1,G3UWY7;Q9JIZ0;E9PUL7,Probable N-acetyltransferase CML1,1.09396,0.771396,nonsig,25.4453,23.7917,26.9666,22.6497,25.425,26.6241,24.5194,23.5267,23.5441,23.5013,24.3779,24.2961
Tln2,E9PUM4;Q71LX4,Talin-2,-0.591481,1.02385,nonsig,23.8595,24.507,23.855,23.8766,23.624,22.9018,23.589,23.9423,24.6202,23.6663,23.9431,24.1933
Atpif1,E9PV44;O35143,"ATPase inhibitor, mitochondrial",-0.321488,0.169617,nonsig,28.4719,28.072,26.6557,27.6438,26.6551,26.6263,27.7546,25.9832,28.0117,27.5975,25.2003,27.4956
Eif4g1,E9PVC6;E9Q9E1;E9PVC5;Q6NZJ6;E9Q770,Eukaryotic translation initiation factor 4 gamma 1,-0.289523,0.200137,nonsig,23.859,23.7194,22.492,24.4246,24.713,23.0774,24.3735,23.4153,24.1035,23.3902,23.8773,25.3663
Gstm5,E9PVM7;P48774;E9PV63,Glutathione S-transferase Mu 5,-0.57895,2.12708,nonsig,28.5676,28.4616,28.2524,28.2999,27.8474,28.4632,28.033,28.0185,28.6395,28.7648,28.7747,28.4989
Myo6,E9Q175;E9PVU0;E9Q3L1;E9Q174;Q64331,Unconventional myosin-VI,0.0732274,0.167236,nonsig,28.1554,27.9487,27.9136,28.1997,27.7574,28.2344,28.1865,28.2415,28.0091,27.9319,27.8075,28.3784
Gm4204;Nap1l1,J3QP68;P28656;E9PW66,Nucleosome assembly protein 1-like 1,-0.41179,0.18563,nonsig,26.5752,27.5744,26.0647,27.0389,26.3867,23.9758,23.495,24.168,26.277,25.4036,23.5989,24.3932
Psma4,E9PW69;Q9R1P0;E9Q0X0,Proteasome subunit alpha type;Proteasome subunit alpha type-4,-0.141787,0.0376501,nonsig,22.447,22.2995,27.1984,24.439,23.9496,27.1461,23.3841,26.6756,23.66,24.1408,27.214,26.7077
Myl1;Myl3,E9PWG4;P05977;P09542,"Myosin light chain 1/3, skeletal muscle isoform;Myosin light chain 3",-0.0892262,0.115162,nonsig,24.2958,27.8359,27.6579,28.5808,28.259,27.2524,27.8228,27.6291,28.2083,27.9319,27.2742,27.9059
Gcat,E9PWY6;O88986,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",0.0735488,0.0358465,nonsig,26.7201,27.0419,26.0521,25.9612,26.3279,25.851,25.8354,24.2681,26.3934,25.7734,25.9226,23.8987
Farsa,E9PWY9;Q8C0C7,Phenylalanine--tRNA ligase alpha subunit,-0.293559,0.393779,nonsig,25.4216,26.3972,26.5945,27.0534,27.0714,26.5281,26.5157,27.6407,26.8706,27.2196,27.7542,27.0859
Dab2,E9PX84;Q3TRE6;E9QL31;P98078;F6TQN9;Q9DCE6;E0CXT5,Disabled homolog 2,-0.300086,0.96964,nonsig,30.0692,30.0005,29.6745,30.04,29.6324,29.8862,29.928,29.4966,30.1066,29.8502,29.8403,30.3465
Txndc5,E9PXX7;Q91W90,Thioredoxin domain-containing protein 5,-0.926052,0.754274,nonsig,25.9662,26.2545,26.2034,26.0886,25.36,23.4062,25.5517,25.8364,25.8065,26.6815,25.6012,25.7694
Hagh,E9PYA3;Q99KB8;G5E8T9;E9Q2H8,"Hydroxyacylglutathione hydrolase, mitochondrial",0.0971088,0.118457,nonsig,28.3018,27.8823,27.8646,28.4227,28.2045,27.8459,28.4715,27.6591,28.1851,28.2135,27.212,28.182
