UniProt Accession,Protein Name,5 month old mouse 1 H:L,5 month old mouse 2 H:L,5 month old mouse 3 H:L,12 month old mouse 1 H:L,12 month old mouse 2 H:L,12 month old mouse 3 H:L,P-value,Cum.PPDE (p),PPDE (p),BH (FDR)
Q922Q1,"MOSC domain-containing protein 2, mitochondrial OS=Mus musculus GN=Marc2 PE=1 SV=1",1.324,1.465,1.237,0.857,0.833,0.846,0.000,1.000,0.999,0.001
P03995,Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4,0.312,0.346,0.518,0.072,0.083,0.210,0.000,1.000,0.999,0.001
Q3UA17,Putative uncharacterized protein OS=Mus musculus GN=Mtch2 PE=2 SV=1,1.355,1.481,1.361,0.929,0.934,0.950,0.000,1.000,0.999,0.001
Q8C163,"Nuclease EXOG, mitochondrial OS=Mus musculus GN=Exog PE=2 SV=1",0.686,0.805,0.631,0.442,0.430,0.467,0.000,0.999,0.998,0.002
Q3TI65,Putative uncharacterized protein OS=Mus musculus GN=Mtfp1 PE=2 SV=1,0.445,0.548,0.452,0.223,0.140,0.262,0.000,0.999,0.998,0.002
Q9JKL4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 OS=Mus musculus GN=Ndufaf3 PE=2 SV=1,1.754,2.024,2.083,0.778,0.780,1.523,0.000,0.999,0.998,0.002
B2RUK5,Methylcrotonoyl-Coenzyme A carboxylase 2 (Beta) OS=Mus musculus GN=Mccc2 PE=2 SV=1,1.219,1.652,1.267,0.935,0.858,0.919,0.000,0.999,0.998,0.002
P21619,Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=2,1.218,0.852,1.140,0.367,0.589,0.734,0.000,0.999,0.997,0.003
E9Q7G1,Protein Tmed7 OS=Mus musculus GN=Tmed7 PE=3 SV=1,1.049,1.208,1.105,2.665,2.042,1.595,0.000,0.999,0.997,0.004
Q8K4Z3,NAD(P)H-hydrate epimerase OS=Mus musculus GN=Apoa1bp PE=1 SV=1,1.196,1.285,2.401,0.798,0.834,0.928,0.000,0.999,0.996,0.004
Q91WS0,CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1,1.151,1.330,1.165,0.864,0.835,0.856,0.000,0.999,0.996,0.004
Q3TXM3,Putative uncharacterized protein OS=Mus musculus GN=Slc1a6 PE=2 SV=1,0.196,0.318,0.298,0.080,0.128,0.079,0.000,0.999,0.996,0.005
Q3TG37,Putative uncharacterized protein OS=Mus musculus GN=Slc9a3r1 PE=2 SV=1,0.431,0.638,0.200,1.135,0.993,0.676,0.000,0.998,0.995,0.005
A8DUN2,Beta-globin OS=Mus musculus GN=Hbbt1 PE=3 SV=1,0.039,0.018,0.059,0.113,0.141,0.094,0.000,0.998,0.995,0.005
Q3THL7,Putative uncharacterized protein OS=Mus musculus GN=Vdac1 PE=2 SV=1,1.143,1.298,1.209,0.884,0.850,0.870,0.000,0.998,0.995,0.005
Q3UC51,Putative uncharacterized protein OS=Mus musculus GN=Ddost PE=2 SV=1,1.328,1.855,2.166,3.796,2.991,2.843,0.000,0.998,0.995,0.005
Q99JP7,Gamma-glutamyltransferase 7 OS=Mus musculus GN=Ggt7 PE=2 SV=2,1.419,1.567,1.779,4.022,2.535,2.379,0.000,0.998,0.995,0.005
Q4FK74,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit, isoform CRA_c OS=Mus musculus GN=Atp5d PE=2 SV=1",1.107,1.367,1.202,0.869,0.836,0.852,0.000,0.998,0.995,0.005
Q3URG1,"RIKEN cDNA 2900041A09, isoform CRA_a OS=Mus musculus GN=Tppp PE=2 SV=1",0.072,0.066,0.089,0.322,0.303,0.116,0.000,0.998,0.994,0.006
Q3UHJ0,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2,0.161,0.128,0.130,0.017,0.027,0.088,0.000,0.998,0.994,0.006
Q8BH95,"Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1",1.236,1.391,1.281,1.001,0.925,0.953,0.000,0.998,0.994,0.006
P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",1.073,1.251,1.146,0.843,0.812,0.827,0.000,0.998,0.994,0.006
Q5EBI8,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e OS=Mus musculus GN=Atp5k PE=4 SV=1",1.062,1.216,1.120,0.769,0.753,0.815,0.000,0.998,0.994,0.006
Q9Z2I0,"LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Mus musculus GN=Letm1 PE=2 SV=1",1.230,1.453,1.296,0.976,0.918,0.947,0.000,0.998,0.993,0.006
Q60597,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3",1.089,1.261,1.206,0.871,0.849,0.885,0.000,0.997,0.993,0.006
Q3TZZ7,Extended synaptotagmin-2 OS=Mus musculus GN=Esyt2 PE=1 SV=1,1.605,1.703,2.357,3.181,3.286,3.352,0.000,0.997,0.993,0.006
Q9EPE9,Probable cation-transporting ATPase 13A1 OS=Mus musculus GN=Atp13a1 PE=2 SV=2,3.795,3.110,2.672,2.045,1.229,2.051,0.000,0.997,0.993,0.006
P56135,"ATP synthase subunit f, mitochondrial OS=Mus musculus GN=Atp5j2 PE=1 SV=3",1.107,1.308,1.172,0.884,0.847,0.831,0.000,0.997,0.992,0.007
Q9CR68,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus GN=Uqcrfs1 PE=1 SV=1",0.729,0.837,0.753,0.542,0.505,0.526,0.001,0.997,0.991,0.008
Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Pccb PE=1 SV=2",0.237,0.330,0.279,0.420,0.469,0.597,0.001,0.997,0.991,0.008
B1AQX9,SRC kinase-signaling inhibitor 1 OS=Mus musculus GN=Srcin1 PE=4 SV=1,0.079,0.146,0.108,0.282,0.432,0.179,0.001,0.997,0.991,0.008
P54071,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3",3.617,4.294,3.795,2.625,2.468,2.466,0.001,0.997,0.991,0.008
P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2",1.811,2.091,1.993,1.313,1.182,1.360,0.001,0.997,0.991,0.008
Q8BKZ9,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=2 SV=1",0.634,0.706,0.593,0.415,0.430,0.466,0.001,0.997,0.990,0.009
Q4VBC9,Ndufb11 protein (Fragment) OS=Mus musculus GN=Ndufb11 PE=2 SV=1,0.480,0.558,0.513,0.338,0.345,0.359,0.001,0.996,0.990,0.009
Q9ESW4,"Acylglycerol kinase, mitochondrial OS=Mus musculus GN=Agk PE=1 SV=1",1.778,2.628,1.651,1.156,1.141,1.341,0.001,0.996,0.990,0.009
Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",1.061,1.234,1.118,0.843,0.813,0.824,0.001,0.996,0.990,0.009
Q545A2,MCG11560 OS=Mus musculus GN=Slc25a5 PE=2 SV=1,1.324,1.545,1.459,1.064,1.028,1.042,0.001,0.996,0.990,0.009
Q6DFW4,Nucleolar protein 58 OS=Mus musculus GN=Nop58 PE=1 SV=1,5.528,5.825,4.781,3.539,3.698,1.928,0.001,0.996,0.989,0.010
Q3UFJ3,Pyruvate dehydrogenase E1 alpha 1 OS=Mus musculus GN=Pdha1 PE=2 SV=1,0.541,0.652,0.587,0.403,0.395,0.418,0.001,0.996,0.987,0.011
Q8BFR5,"Elongation factor Tu, mitochondrial OS=Mus musculus GN=Tufm PE=1 SV=1",1.324,1.552,1.412,1.058,1.020,1.058,0.001,0.995,0.986,0.012
Q4FJX9,Superoxide dismutase OS=Mus musculus GN=Sod2 PE=2 SV=1,0.564,0.691,0.584,0.418,0.415,0.423,0.001,0.995,0.986,0.012
B1B1D8,"39S ribosomal protein L2, mitochondrial OS=Mus musculus GN=Mrpl2 PE=4 SV=1",1.747,1.805,4.170,8.251,9.427,3.135,0.001,0.995,0.986,0.012
Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1",1.030,1.207,1.138,0.806,0.797,0.808,0.001,0.995,0.985,0.013
Q9DB77,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1",0.662,0.779,0.706,0.512,0.499,0.517,0.001,0.994,0.984,0.015
P97450,"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus GN=Atp5j PE=1 SV=1",1.000,1.208,1.079,0.788,0.769,0.797,0.001,0.994,0.984,0.015
Q78IK2,Up-regulated during skeletal muscle growth protein 5 OS=Mus musculus GN=Usmg5 PE=1 SV=1,1.026,1.130,1.092,0.789,0.760,0.795,0.001,0.994,0.984,0.015
Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2",3.528,4.061,3.749,2.638,2.521,2.591,0.002,0.994,0.983,0.015
Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3",1.395,1.532,1.399,1.078,1.039,1.082,0.002,0.994,0.983,0.015
Q9CZU6,"Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1",1.056,1.245,1.123,0.826,0.777,0.838,0.002,0.994,0.983,0.015
Q9Z2Y3,Homer protein homolog 1 OS=Mus musculus GN=Homer1 PE=1 SV=2,1.218,1.151,0.632,0.093,0.281,0.897,0.002,0.994,0.983,0.015
Q9CQ92,Mitochondrial fission 1 protein OS=Mus musculus GN=Fis1 PE=1 SV=1,2.754,2.792,2.858,1.812,1.820,1.839,0.002,0.994,0.982,0.015
Q9JHI5,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1",0.943,1.140,1.149,0.703,0.713,0.773,0.002,0.994,0.982,0.015
Q8CAQ8,Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1,1.456,1.596,1.515,1.134,1.112,1.121,0.002,0.993,0.981,0.016
P97807,"Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3",1.056,1.174,1.123,0.828,0.784,0.809,0.002,0.993,0.981,0.016
Q3TGZ3,"Isocitrate dehydrogenase 3 (NAD+), gamma OS=Mus musculus GN=Idh3g PE=2 SV=1",0.603,0.683,0.718,0.476,0.466,0.499,0.002,0.993,0.981,0.016
Q9D0M3,"Cytochrome c1, heme protein, mitochondrial OS=Mus musculus GN=Cyc1 PE=1 SV=1",0.953,1.102,1.015,0.719,0.691,0.716,0.002,0.993,0.981,0.016
Q545Q2,"Surfeit gene 4, isoform CRA_a OS=Mus musculus GN=Surf4 PE=2 SV=1",3.314,2.489,3.011,5.239,4.597,4.683,0.002,0.993,0.981,0.016
Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2",0.621,0.747,0.647,0.490,0.475,0.486,0.002,0.993,0.981,0.016
Q9D0G0,"28S ribosomal protein S30, mitochondrial OS=Mus musculus GN=Mrps30 PE=2 SV=1",3.623,4.255,3.894,2.085,1.934,3.592,0.002,0.993,0.980,0.016
Q3TI40,Putative uncharacterized protein OS=Mus musculus GN=Mtx2 PE=2 SV=1,1.522,1.896,1.780,1.251,1.204,1.274,0.002,0.993,0.980,0.016
P00920,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4,0.127,0.173,0.094,0.028,0.040,0.094,0.002,0.993,0.980,0.016
E9PXB9,Mitochondrial import inner membrane translocase subunit Tim22 OS=Mus musculus GN=Timm22 PE=4 SV=1,2.372,1.978,2.503,1.050,1.219,1.898,0.002,0.993,0.980,0.016
Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1",1.457,1.751,1.519,1.181,1.142,1.108,0.002,0.993,0.979,0.017
Q9WTI7,Unconventional myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2,4.651,1.590,3.649,6.009,7.086,5.588,0.002,0.992,0.979,0.018
Q80X85,"28S ribosomal protein S7, mitochondrial OS=Mus musculus GN=Mrps7 PE=2 SV=1",2.638,3.173,2.154,4.266,4.118,4.605,0.002,0.992,0.978,0.018
Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Iars2 PE=1 SV=1",1.310,1.500,1.481,1.022,1.069,1.108,0.002,0.992,0.978,0.018
Q9Z2Q6,Septin-5 OS=Mus musculus GN=Sept5 PE=1 SV=2,0.060,0.129,0.080,0.027,0.035,0.038,0.003,0.992,0.977,0.018
B2RXT3,Ogdhl protein OS=Mus musculus GN=Ogdhl PE=2 SV=1,0.821,0.925,0.847,0.626,0.604,0.610,0.003,0.992,0.977,0.018
Q641N3,Rps16 protein (Fragment) OS=Mus musculus GN=Rps16 PE=2 SV=1,10.503,7.982,8.972,5.726,5.549,3.472,0.003,0.992,0.977,0.019
Q99KK9,"Probable histidine--tRNA ligase, mitochondrial OS=Mus musculus GN=Hars2 PE=2 SV=1",1.216,2.103,1.132,0.811,0.537,1.289,0.003,0.991,0.975,0.020
K3W4M4,ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Mus musculus GN=Carkd PE=3 SV=1,1.270,1.409,1.348,1.019,1.103,0.981,0.003,0.991,0.975,0.021
Q9CZD3,Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1,3.620,3.118,3.784,2.100,2.122,2.567,0.003,0.991,0.974,0.022
Q91X76,5'-nucleotidase domain containing 2 OS=Mus musculus GN=Nt5dc2 PE=2 SV=1,7.269,5.868,6.128,3.832,3.779,4.308,0.003,0.991,0.974,0.022
Q8BG51,Mitochondrial Rho GTPase 1 OS=Mus musculus GN=Rhot1 PE=2 SV=1,1.805,1.928,1.856,1.319,1.213,1.513,0.003,0.991,0.974,0.022
Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1",0.585,0.696,0.624,0.464,0.443,0.462,0.003,0.991,0.973,0.022
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2",0.809,0.946,0.870,0.648,0.619,0.629,0.003,0.991,0.973,0.022
Q9CQJ8,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Mus musculus GN=Ndufb9 PE=1 SV=3,0.370,0.433,0.379,0.246,0.216,0.239,0.003,0.990,0.973,0.022
P48962,ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4,0.839,0.979,0.846,0.640,0.619,0.646,0.003,0.990,0.973,0.022
Q9D6J6,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus GN=Ndufv2 PE=1 SV=2",0.446,0.488,0.499,0.303,0.303,0.332,0.003,0.990,0.973,0.022
Q9DC69,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus GN=Ndufa9 PE=1 SV=2",0.434,0.510,0.448,0.321,0.314,0.325,0.004,0.990,0.970,0.024
Q5SX53,"Solute carrier family 25 (Mitochondrial carrier oxoglutarate carrier), member 11, isoform CRA_b OS=Mus musculus GN=Slc25a11 PE=2 SV=1",0.676,0.737,0.720,0.503,0.455,0.584,0.004,0.989,0.970,0.024
P48771,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus GN=Cox7a2 PE=1 SV=2",0.455,0.529,0.483,0.351,0.338,0.340,0.004,0.989,0.969,0.024
P05202,"Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1",1.015,1.187,1.093,0.844,0.826,0.827,0.004,0.989,0.969,0.024
Q99JY0,"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1",2.084,2.488,2.022,1.464,1.398,1.392,0.004,0.989,0.969,0.024
P14733,Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3,2.637,2.548,2.160,1.415,1.813,1.470,0.004,0.989,0.969,0.024
Q91WD5,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Mus musculus GN=Ndufs2 PE=1 SV=1",0.455,0.546,0.515,0.347,0.352,0.405,0.004,0.989,0.968,0.026
Q9D6R2,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1",0.602,0.669,0.629,0.467,0.447,0.478,0.005,0.988,0.967,0.027
A2RSV8,Cytochrome c oxidase subunit IV isoform 1 OS=Mus musculus GN=Cox4i1 PE=2 SV=1,0.488,0.568,0.511,0.385,0.375,0.382,0.005,0.988,0.966,0.027
Q9WVA2,Mitochondrial import inner membrane translocase subunit Tim8 A OS=Mus musculus GN=Timm8a1 PE=1 SV=1,1.918,2.175,1.881,1.315,1.362,1.512,0.005,0.988,0.966,0.027
Q9DCS3,"Trans-2-enoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Mecr PE=1 SV=2",1.732,1.677,1.886,1.387,1.398,1.191,0.005,0.988,0.966,0.027
P12787,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus GN=Cox5a PE=1 SV=2",0.495,0.578,0.548,0.401,0.389,0.391,0.005,0.988,0.965,0.028
B9EKS7,"MCG19305, isoform CRA_b OS=Mus musculus GN=Pgs1 PE=2 SV=1",1.901,1.910,2.079,1.095,1.639,1.430,0.005,0.987,0.964,0.029
P68368,Tubulin alpha-4A chain OS=Mus musculus GN=Tuba4a PE=1 SV=1,0.133,0.088,0.066,0.031,0.061,0.038,0.005,0.987,0.964,0.029
Q9CPP6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Mus musculus GN=Ndufa5 PE=1 SV=3,0.427,0.514,0.487,0.311,0.310,0.315,0.006,0.987,0.962,0.031
Q8VCW8,"Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1",0.951,1.115,1.018,0.800,0.742,0.686,0.006,0.986,0.961,0.032
P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1",1.796,2.076,1.894,1.431,1.366,1.377,0.006,0.986,0.960,0.032
Q80SW1,Putative adenosylhomocysteinase 2 OS=Mus musculus GN=Ahcyl1 PE=1 SV=1,0.086,0.075,0.040,0.136,0.123,0.129,0.006,0.986,0.960,0.033
Q8QZS1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus GN=Hibch PE=1 SV=1",1.027,1.231,1.170,0.954,0.898,0.837,0.006,0.986,0.959,0.033
Q9CPQ1,Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3,0.447,0.528,0.481,0.346,0.338,0.355,0.006,0.986,0.959,0.033
P08249,"Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3",0.777,0.891,0.816,0.616,0.597,0.616,0.006,0.986,0.959,0.033
Q9CQ75,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Mus musculus GN=Ndufa2 PE=1 SV=3,0.441,0.505,0.459,0.316,0.287,0.331,0.006,0.985,0.959,0.033
P60904,DnaJ homolog subfamily C member 5 OS=Mus musculus GN=Dnajc5 PE=1 SV=1,0.237,0.355,0.354,0.179,0.196,0.183,0.007,0.985,0.958,0.034
Q9CZP5,Mitochondrial chaperone BCS1 OS=Mus musculus GN=Bcs1l PE=1 SV=1,2.100,2.606,2.104,1.626,1.444,1.478,0.007,0.985,0.957,0.034
Q3V235,Prohibitin 2 OS=Mus musculus GN=Phb2 PE=2 SV=1,3.431,4.007,3.666,2.659,2.579,2.655,0.007,0.985,0.957,0.034
Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1,0.444,0.510,0.466,0.344,0.340,0.329,0.007,0.984,0.956,0.035
Q4W4C9,Neural visinin-like type 1 protein OS=Mus musculus GN=Vsnl1 PE=2 SV=1,0.032,0.017,0.043,0.051,0.066,0.076,0.007,0.984,0.955,0.036
Q9WV98,Mitochondrial import inner membrane translocase subunit Tim9 OS=Mus musculus GN=Timm9 PE=1 SV=1,1.373,1.408,1.566,1.091,1.032,1.250,0.008,0.984,0.954,0.036
Q7TND9,Dihydrolipoamide branched chain transacylase E2 OS=Mus musculus GN=Dbt PE=2 SV=1,1.543,1.448,1.652,1.082,1.025,1.389,0.008,0.984,0.954,0.036
Q8BIG7,Catechol O-methyltransferase domain-containing protein 1 OS=Mus musculus GN=Comtd1 PE=2 SV=1,2.879,3.049,2.865,2.019,1.977,1.958,0.008,0.984,0.954,0.036
Q14C51,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial OS=Mus musculus GN=Ptcd3 PE=2 SV=2",4.447,4.911,4.986,3.082,3.177,3.651,0.008,0.984,0.954,0.036
A2AP32,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Mus musculus GN=Ndufb6 PE=4 SV=1,0.415,0.552,0.441,0.332,0.340,0.332,0.008,0.984,0.953,0.036
Q4VAE3,Transmembrane protein 65 OS=Mus musculus GN=Tmem65 PE=2 SV=1,1.241,0.631,0.363,0.519,0.328,0.285,0.008,0.984,0.953,0.036
Q9CQX2,Cytochrome b5 type B OS=Mus musculus GN=Cyb5b PE=1 SV=1,2.877,3.305,3.181,2.130,2.054,2.328,0.008,0.983,0.952,0.037
Q9DCS9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Mus musculus GN=Ndufb10 PE=1 SV=3,0.443,0.509,0.470,0.349,0.341,0.330,0.008,0.983,0.952,0.037
G5E881,Mitochondrial translocator assembly and maintenance protein 41 homolog OS=Mus musculus GN=Tamm41 PE=4 SV=1,3.785,2.868,3.429,2.619,2.533,1.194,0.008,0.983,0.952,0.038
Q3UMP2,Putative uncharacterized protein OS=Mus musculus GN=Hmgcl PE=2 SV=1,1.655,1.857,1.664,1.320,1.302,1.317,0.009,0.982,0.949,0.040
Q62425,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2,0.432,0.504,0.442,0.325,0.320,0.318,0.009,0.982,0.948,0.041
Q99N15,17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase OS=Mus musculus GN=Hsd17b10 PE=2 SV=1,1.813,2.187,1.943,1.466,1.388,1.478,0.009,0.981,0.947,0.042
Q9DCW4,Electron transfer flavoprotein subunit beta OS=Mus musculus GN=Etfb PE=1 SV=3,3.580,3.967,3.715,2.836,2.653,2.834,0.010,0.981,0.946,0.043
Q9D8Y1,Transmembrane protein 126A OS=Mus musculus GN=Tmem126a PE=2 SV=1,3.359,3.827,3.675,2.784,2.597,2.607,0.010,0.980,0.945,0.044
P67778,Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1,3.490,3.904,3.717,2.804,2.642,2.685,0.010,0.980,0.945,0.044
Q925I1,ATPase family AAA domain-containing protein 3 OS=Mus musculus GN=Atad3 PE=1 SV=1,3.898,3.899,4.057,2.954,2.758,2.959,0.010,0.980,0.944,0.044
Q80Y14,"Glutaredoxin-related protein 5, mitochondrial OS=Mus musculus GN=Glrx5 PE=2 SV=2",3.081,3.819,3.321,2.303,2.411,2.560,0.010,0.980,0.944,0.044
Q921G7,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1",1.694,2.283,2.149,1.356,1.315,1.656,0.010,0.980,0.944,0.044
Q5SVF7,"4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans), isoform CRA_f OS=Mus musculus GN=Nipsnap1 PE=2 SV=1",0.868,0.996,0.954,0.708,0.688,0.717,0.011,0.980,0.943,0.045
Q8VCX5,"Calcium uptake protein 1, mitochondrial OS=Mus musculus GN=Micu1 PE=1 SV=1",1.351,1.695,1.300,1.165,1.068,1.132,0.011,0.980,0.942,0.045
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",2.371,2.882,2.564,1.874,1.757,1.856,0.011,0.980,0.942,0.045
Q3UHB1,5'-nucleotidase domain-containing protein 3 OS=Mus musculus GN=Nt5dc3 PE=2 SV=1,0.672,0.778,0.847,0.531,0.574,0.622,0.011,0.979,0.941,0.045
O88967,ATP-dependent zinc metalloprotease YME1L1 OS=Mus musculus GN=Yme1l1 PE=2 SV=1,3.964,4.740,3.124,3.054,2.686,2.552,0.011,0.979,0.941,0.045
