Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00187338;IPI00857810;IPI00858239,0.11,0.12,0.11,0.14,-0.01,-0.02,0.04,-0.03,,2.27,-0.13,4,4,4,3.8,3.72E-61,171.34,1,-,25124396,Bai3,Q80ZF8;Q499E3;Q68FL1;Q80UD1;Q8K0A3;Q8BIW2;Q8BJ13,Brain-specific angiogenesis inhibitor 3;Bai3 protein;Putative uncharacterized protein
IPI00121038;IPI00230441;IPI00875672;IPI00469565;IPI00469172;IPI00473932;IPI00656277;IPI00918177;IPI00918257,-0.49,-0.69,-0.55,-0.62,0.2,-0.04,-0.16,0.05,,2.18,0.6,8,8,8,2.9,1.87E-56,366.78,13,-,89794915,Vcan;Cspg2;pgM,Q62059-1;Q62059;Q62059-2;Q62059-3;Q05CR7;Q3TNR6;Q3TQ47;Q3UXS4;Q62059-4;P70267;Q3TTS3;Q8BS97;Q8C9U7;Q4VA91,Versican core protein;Large fibroblast proteoglycan;Chondroitin sulfate proteoglycan core protein 2;PG-M;Vcan protein;Putative uncharacterized protein;PG-M core protein;Versican
IPI00133284;IPI00853761,-0.17,-0.15,-0.13,-0.11,-0.06,-0.04,-0.02,-0.04,,2.15,0.1,12,12,12,55.6,0.00E+00,28.09,10,-,77624827,D10Jhu81e,Q9D172,"ES1 protein homolog, mitochondrial"
IPI00119152;IPI00849398;IPI00750192,0.05,0.02,0.04,0,-0.14,-0.26,-0.15,-0.14,,2.13,-0.2,8,8,8,17.6,6.43E-34,53.255,8,-,67071355,Cpe,Q00493;Q543R4,Carboxypeptidase E;Carboxypeptidase H;Enkephalin convertase;Prohormone-processing carboxypeptidase;Putative uncharacterized protein
IPI00123219;IPI00649730;IPI00649441;IPI00341299;IPI00648822;IPI00551370;IPI00649833;IPI00551184;IPI00309089,-0.6,-0.76,-0.63,-0.57,-0.3,-0.26,-0.31,-0.4,,2.1,0.32,14,13,5,38.9,3.88E-74,54.935,11,+,87380155,Sept4;Pnutl2;OTTMUSG00000001265;RP23-168C20.2-011;RP23-168C20.2-013,P28661-1;P28661;P28661-2;P28661-3;P28661-4;P28661-5;P28661-6;Q5ND18;Q5ND13,Septin-4;Peanut-like protein 2;Brain protein H5;Septin 4
IPI00308162,0.04,-0.02,0.01,0.05,0.11,0.17,0.16,0.14,,2.07,0.12,16,13,13,37.4,2.13E-298,74.569,2,-,71112803,Slc25a12;Aralar1,Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1;Mitochondrial aspartate glutamate carrier 1;Solute carrier family 25 member 12
IPI00137409,-0.12,-0.15,-0.07,-0.11,0.04,-0.01,-0.01,0.05,,1.99,0.13,25,25,25,56.2,0.00E+00,67.63,14,+,31362365,Tkt,P40142;O55021;Q9Z2L5,Transketolase;P68
IPI00230715,0.05,0.1,0.12,0.15,0.31,0.3,0.24,0.23,,1.96,0.16,5,5,5,52.8,2.33E-170,16.859,8,-,72418087,Ndufa13;Grim19,Q9ERS2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13;NADH-ubiquinone oxidoreductase B16.6 subunit;Complex I-B16.6;Gene associated with retinoic-interferon-induced mortality 19 protein;Cell death regulatory protein GRIM-19
IPI00672924;IPI00857723;IPI00757250;IPI00857309,0.07,0.08,0.02,0.02,-0.05,-0.12,-0.11,-0.06,,1.95,-0.13,13,13,13,8.1,1.26E-76,178.95,6,-,18316477,Cttnbp2;mKIAA1758,B9EJA2;Q69ZB2,Cttnbp2 protein;MKIAA1758 protein
IPI00458001;IPI00169500;IPI00458002,0.2,0.3,0.24,0.18,0.04,0.07,0.06,0.1,,1.92,-0.16,12,12,11,13.7,1.86E-106,113.04,7,-,133635224,Atxn2l;A2lp,Q7TQH0-2;Q7TQH0;Q7TQH0-1;Q3TGG2;Q3TYH7;Q7TQH0-3,Ataxin-2-like protein;Putative uncharacterized protein
IPI00274407;IPI00625588;IPI00460132,0.01,0.03,0.05,0.05,0.08,0.13,0.13,0.13,,1.87,0.08,24,24,24,79.2,0.00E+00,49.508,7,+,133630892,Tufm,Q8BFR5-1;Q8BFR5;Q8BFR5-2,"Elongation factor Tu, mitochondrial"
IPI00122312,0.26,-0.45,-0.77,-0.47,0.94,0.64,1.39,1.22,,1.84,1.4,17,17,17,55.5,8.18E-293,50.349,3,+,82811818,Fgg,Q8VCM7;Q3UEM7;Q3UER8,Fibrinogen gamma chain;Putative uncharacterized protein
IPI00127556;IPI00322617;IPI00652418,0.27,0.24,0.18,0.1,0.04,-0.1,-0.05,-0.09,,1.84,-0.25,22,22,21,33,9.32E-157,93.203,16,+,81200942,Ncam2;Ocam;Rncam;RNCAM,O35136-1;O35136;Q71VC5;O35136-2,Neural cell adhesion molecule 2;RB-8 neural cell adhesion molecule;R4B12;Rb-8 neural cell adhesion molecule long form
IPI00406624;IPI00655175;IPI00788404,-0.07,-0.07,-0.03,-0.07,-0.13,-0.14,-0.11,-0.13,,1.83,-0.06,15,15,15,17.4,3.38E-100,107.39,19,-,45824751,Mgea5;Hexc;Kiaa0679,Q9EQQ9-3;Q9EQQ9;Q9EQQ9-1;Q05CX1;Q9CU60,Bifunctional protein NCOAT;Nuclear cytoplasmic O-GlcNAcase and acetyltransferase;Meningioma-expressed antigen 5;Beta-hexosaminidase;N-acetyl-beta-glucosaminidase;Beta-N-acetylhexosaminidase;Hexosaminidase C;N-acetyl-beta-D-glucosaminidase;O-GlcNAcase;Histone acetyltransferase;Mgea5 protein;Putative uncharacterized protein
IPI00311147;IPI00653596,-0.09,0.15,-0.17,-0.02,0.74,0.3,0.52,0.61,,1.82,0.57,3,3,3,20.6,3.85E-17,26.816,4,-,136436048,C1qb;RP23-357K18.2-001,P14106;Q3U6I5;Q3U793;Q3US82,"Complement C1q subcomponent subunit B;Putative uncharacterized protein;Complement component 1, q subcomponent, beta polypeptide"
IPI00317599,0.19,0.29,0.2,0.11,-0.11,0.01,-0.02,-0.01,,1.81,-0.23,15,15,15,42.2,1.82E-230,41.349,X,-,159294784,Syap1;RP23-31A20.3-001;mCG_48638,Q9D5V6;A2AMX4;Q3TTE4;Q3U3B9,Synapse-associated protein 1;Synapse associated protein 1;Putative uncharacterized protein
IPI00649135;IPI00230212;IPI00649450;IPI00338855,-0.36,-0.22,-0.3,-0.34,-0.18,-0.12,-0.11,-0.14,,1.8,0.17,11,8,6,56.6,7.03E-199,28.556,3,-,107815181,Gstm1;RP23-214E3.6-003;Gstm3,A2AE89;P10649;P19639,"Glutathione S-transferase, mu 1;Glutathione S-transferase Mu 1;GST class-mu 1;Glutathione S-transferase GT8.7;pmGT10;GST 1-1;Glutathione S-transferase Mu 3;GST class-mu 3;Glutathione S-transferase GT9.3"
IPI00126248;IPI00762047,-0.22,-0.22,-0.16,-0.16,-0.1,-0.08,-0.09,-0.1,,1.79,0.1,31,31,18,36,1.69E-270,120.79,11,-,100337667,Acly;RP23-392I3.9-005;RP23-392I3.9-001;mCG_20527,Q3TED3;Q3UEA1;Q3V117;Q91V92;A2A4H2;Q3UVY4;Q6P063;Q8VDM8;Q99K05,"Putative uncharacterized protein;ATP citrate lyase;ATP-citrate synthase;ATP-citrate (pro-S-)-lyase;Citrate cleavage enzyme;ATP citrate lyase, isoform CRA_b;Acly protein"
IPI00170093,0.05,0.07,0.12,0.05,0.15,0.23,0.18,0.2,,1.78,0.12,4,4,4,24.1,8.03E-24,24.038,19,-,3908870,Ndufs8;mCG_3885,Q8K3J1;Q3UY05;Q5M9P5;Q8VC72,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH-ubiquinone oxidoreductase 23 kDa subunit;Complex I-23kD;Putative uncharacterized protein;NADH dehydrogenase (Ubiquinone) Fe-S protein 8;NADH dehydrogenase (Ubiquinone) Fe-S protein 8, isoform CRA_a"
IPI00229796,-0.28,-0.35,-0.34,-0.29,-0.07,0.04,0.01,-0.19,,1.78,0.26,22,19,18,38.3,0.00E+00,96.729,2,+,150612523,Pygb;RP23-241M12.1-001;mCG_16317,Q8CI94;A2AWQ5;Q3TFQ8;Q3UGT5;Q3UYH9;Q3UZL2;Q3V3U0,"Glycogen phosphorylase, brain form;Phosphorylase"
IPI00134398,0.14,0.04,0,0.13,-0.08,-0.14,-0.11,-0.19,,1.78,-0.2,5,5,5,20.4,1.26E-15,45.58,3,+,30692249,Sec62;Tloc1,Q8BU14;Q05DA2;Q8BK88;Q8CIK3;Q9CRY0,Translocation protein SEC62;Translocation protein 1;Sec62 protein;Putative uncharacterized protein
IPI00123374,,-0.14,-0.15,-0.19,0.27,0.43,0.24,0.04,,1.77,0.41,1,1,1,2.9,1.51E-23,45.965,13,+,64263188,Habp4,Q9JKS5;A7MAY6;Q3UJC1,Intracellular hyaluro-binding protein 4;Habp4 protein;Putative uncharacterized protein
IPI00890322,0.11,0.17,0.26,0.19,-0.06,-0.07,-0.02,0.06,,1.77,-0.21,13,13,1,51.3,0.00E+00,38.299,16,+,31422366,Bdh1;Bdh,A1E283;Q3UL45,3-hydroxybutyrate dehydrogenase;Putative uncharacterized protein
IPI00228820;IPI00648336;IPI00619992;IPI00750485;IPI00458306,-0.27,-0.18,-0.26,-0.29,-0.14,-0.03,-0.07,-0.12,,1.76,0.16,16,16,11,63.8,1.86E-152,25.716,3,-,107784623,Gstm2,P15626,Glutathione S-transferase Mu 2;GST class-mu 2;Glutathione S-transferase pmGT2;GST 5-5
IPI00785314;IPI00126405,-1.21,-1.09,-0.83,-1.1,-0.21,-0.58,-0.63,-0.43,,1.75,0.59,1,1,1,7.3,5.47E-05,28.374,17,-,37147691,Mog;RP23-98F21.1-001;mCG_22615,Q29ZQ5;Q3UY21;Q66JM2;Q80YU5;Q61885,"MOG-alpha-2;Myelin oligodendrocyte glycoprotein;Putative uncharacterized protein;Myelin oligodendrocyte glycoprotein, isoform CRA_b;Myelin-oligodendrocyte glycoprotein"
IPI00129903;IPI00719919,-1.05,-0.95,-1.11,-1.28,-0.43,,-0.13,-0.48,,1.73,0.75,2,2,2,1.8,3.04E-35,154.25,14,+,20570479,Nid2;mCG_10006;NID-2,O88322;Q3TPN0;Q3US45;Q7TQF0;Q8C6Z2;Q8CFA3;Q8R5G0,"Nidogen-2;Entactin-2;Putative uncharacterized protein;Nidogen 2;Nidogen 2, isoform CRA_c;Nidogen 2 protein"
IPI00420601;IPI00858314,0.15,0.17,0.17,0.23,0.1,0.09,0.09,0.05,,1.72,-0.1,5,5,5,9,7.76E-14,87.055,8,+,122434752,Usp10;Ode-1;Uchrp;mCG_11401;mKIAA0190,P52479;Q3T9L4;Q3TNN5;Q3TZB8;Q3U5E0;Q6ZQG9,Ubiquitin carboxyl-terminal hydrolase 10;Ubiquitin thioesterase 10;Ubiquitin-specific-processing protease 10;Deubiquitinating enzyme 10;Ubiquitin carboxyl-terminal hydrolase
IPI00123190;IPI00229690,-0.29,-0.12,-0.04,-0.04,0.26,0.26,0.08,0.24,,1.68,0.33,10,9,9,38.7,2.42E-97,50.254,12,+,113858256,Adssl1;Adss1;mCG_15400,P28650-1;P28650;Q3UBP0;P28650-2,"Adenylosuccinate synthetase isozyme 1;Adenylosuccinate synthetase, muscle isozyme;IMP--aspartate ligase 1;Adenylosuccinate synthetase"
IPI00132958,0.07,-0.04,-0.06,0.06,0.22,0.34,0.36,0.16,,1.67,0.26,6,6,6,42.9,2.00E-138,15.183,13,-,24909824,Acot13;Them2;mCG_3144,Q9CQR4;Q4VA32,"Acyl-coenzyme A thioesterase 13;Thioesterase superfamily member 2;Putative uncharacterized protein;Thioesterase superfamily member 2, isoform CRA_a"
IPI00798550;IPI00122577;IPI00381563,-0.17,-0.18,-0.23,-0.16,0.1,-0.08,-0.04,0.01,,1.65,0.18,12,12,12,14.5,6.51E-69,118.1,11,+,61770265,Specc1;Kiaa4061,Q5SXY1-1;Q5SXY1;Q5SXY1-2;Q3UPB2;Q5SXY1-3,Sperm antigen with calponin homology and coiled-coil domains 1;Putative uncharacterized protein
IPI00555069,-0.07,-0.05,-0.04,-0.02,0,-0.01,0.01,0,,1.65,0.04,29,29,25,86.3,0.00E+00,44.55,X,+,103382546,Pgk1;Pgk-1,P09411;B0LAA9,Phosphoglycerate kinase 1;Phosphoglycerate kinase
IPI00331411;IPI00318901;IPI00648431;IPI00880607,0.02,0.01,0.04,0.01,0,-0.02,-0.03,-0.02,,1.63,-0.04,11,11,11,74.6,7.50E-273,21.159,11,+,104411977,Myl4;Mlc1a;Myla;RP23-380H19.3-001;RP23-380H19.3-007,P09541;Q9CZ19;A2A6Q8,"Myosin light chain 4;Myosin light chain 1, atrial/fetal isoform;MLC1EMB;Myosin, light polypeptide 4;Putative uncharacterized protein"
IPI00387430,0.06,0.11,0.12,0.2,0.22,0.27,0.27,0.31,,1.62,0.14,5,5,5,25.3,2.61E-43,21.876,19,-,44624742,Ndufb8,Q9D6J5;Q3V406,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial;NADH-ubiquinone oxidoreductase ASHI subunit;Complex I-ASHI;Putative uncharacterized protein"
IPI00117281;IPI00660262;IPI00227783;IPI00463220,-0.17,-0.16,-0.15,-0.18,-0.12,-0.04,-0.09,-0.04,,1.62,0.09,7,7,7,36.5,2.19E-62,22.182,10,+,79516233,Gpx4;GPx4;Hnrpll;PHGPx,O70325-1;O70325;Q3TIF2;Q5XJZ8;O70325-2;Q3TI34;Q76LV0;Q91XR9;Q8K4U7,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;GPX-4;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, nuclear"
IPI00115620;IPI00849478;IPI00918511;IPI00848485;IPI00918735,-0.12,-0.2,-0.1,-0.08,0.18,0.07,0,0.05,,1.62,0.2,16,16,16,57,2.99E-215,40.472,19,-,15979622,Psat1;Psa;Psat;mCG_5377,Q99K85;Q3ULZ3;Q543K5;Q8BTJ1;Q3U6K9;Q99JU9,Phosphoserine aminotransferase;Phosphohydroxythreonine aminotransferase;Endometrial progesterone-induced protein;Psat1 protein
IPI00120984,0.02,0.1,0.09,0.12,0.16,0.25,0.22,0.2,,1.62,0.12,12,12,12,89,2.83E-175,19.992,2,-,35891863,Ndufa8,Q9DCJ5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8;NADH-ubiquinone oxidoreductase 19 kDa subunit;Complex I-19kD;Complex I-PGIV
IPI00123501;IPI00742433;IPI00269280,0.19,0.4,0.21,0.1,0.01,-0.13,-0.14,-0.07,,1.61,-0.31,9,9,9,13.7,1.82E-27,96.001,7,-,26506517,Hnrnpul1;Hnrpul1,Q8VDM6-1;Q8VDM6;Q8VDM6-2,Heterogeneous nuclear ribonucleoprotein U-like protein 1
IPI00177214;IPI00468055;IPI00853881,-0.79,-0.92,,-0.78,-0.23,1.34,1.28,0.54,,1.59,1.56,12,12,12,38.5,0.00E+00,52.526,12,-,114657161,Igh-6,P01873;P01872,Ig mu chain C region membrane-bound form;Ig mu chain C region secreted form
IPI00114246,0.11,0.07,0.12,0.17,0.22,0.22,0.23,0.19,,1.58,0.1,4,4,4,33.1,4.46E-59,17.444,X,-,20192452,Ndufb11;Np15;RP23-333P16.5-001;mCG_126516,O09111;B1AV40;Q4VBC9,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial;NADH-ubiquinone oxidoreductase ESSS subunit;Complex I-ESSS;Neuronal protein 15.6;NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 11;Ndufb11 protein"
IPI00135651,0.08,0.02,0.07,0,0.12,0.13,0.14,0.2,,1.57,0.11,24,24,21,44.2,3.73E-166,74.466,6,-,5991218,Slc25a13;Aralar2,Q9QXX4;Q8C140;Q91YK1,Calcium-binding mitochondrial carrier protein Aralar2;Mitochondrial aspartate glutamate carrier 2;Solute carrier family 25 member 13;Citrin;Putative uncharacterized protein;Slc25a13 protein
IPI00123878;IPI00856805;IPI00849059;IPI00553461,-0.1,0.01,-0.04,-0.07,0.23,,0.14,0.11,,1.57,0.21,3,1,1,6.6,2.84E-32,49.067,8,+,86239167,Ddx39,Q8VDW0-1;Q8VDW0;Q3T9L0;Q3TIE4;Q3TPL7;Q3U837;Q3UAF1;Q3UVN0,ATP-dependent RNA helicase DDX39;DEAD box protein 39;Putative uncharacterized protein
IPI00131995,-0.36,-0.1,-0.19,-0.07,0.19,0.14,0.01,0.23,,1.57,0.32,8,8,8,36.2,4.61E-223,40.477,13,+,89680394,Hapln1;Crtl1,Q9QUP5,Hyaluro and proteoglycan link protein 1;Cartilage link protein
IPI00338785;IPI00828978,0.08,0.08,0,-0.01,-0.07,-0.06,-0.06,-0.11,,1.56,-0.11,34,34,34,25.1,2.58E-260,202.44,12,+,31950159,Lamb1-1;Lamb-1,P02469;B9EKB0;Q0V927;Q3TNZ8;Q3UHL7;Q3UR38;Q8K271;Q9CRX6,Laminin subunit beta-1;Laminin B1 subunit 1;Lamb1-1 protein;Putative uncharacterized protein
IPI00317710;IPI00317711;IPI00857988;IPI00856715;IPI00856856,-0.13,-0.13,-0.17,-0.14,-0.12,-0.07,-0.09,-0.07,,1.56,0.06,38,37,37,55.8,0.00E+00,94.381,3,+,40549515,Hspa4l;Apg1;Hsp4l;Osp94,P48722-1;P48722;P48722-2;Q3TTD4,Heat shock 70 kDa protein 4L;Osmotic stress protein 94;Heat shock 70-related protein APG-1;Putative uncharacterized protein
IPI00881709;IPI00880742;IPI00130389;IPI00762083,-0.03,-0.01,-0.06,-0.02,-0.12,-0.13,-0.11,-0.22,,1.56,-0.11,25,25,25,39,8.88E-291,91.131,5,+,27144599,Dpp6;Dpp-6,Q5U4C2;Q3TY19;Q9Z218;Q80VM5,Dpp6 protein;Putative uncharacterized protein;Dipeptidyl aminopeptidase-like protein 6;Dipeptidylpeptidase VI;Dipeptidylpeptidase 6;Dipeptidyl peptidase IV-like protein;Dipeptidyl aminopeptidase-related protein;DPPX
IPI00132762,-0.17,-0.14,-0.21,-0.13,-0.09,-0.04,0,-0.07,,1.55,0.11,21,21,21,42.9,0.00E+00,80.208,16,-,4039981,Trap1;Hsp75,Q9CQN1;Q3TK29;Q3TSG8;Q3UPJ8;Q922R9;Q922Z3,"Heat shock protein 75 kDa, mitochondrial;Tumor necrosis factor type 1 receptor-associated protein;TNFR-associated protein 1;Putative uncharacterized protein;Trap1 protein"
IPI00877345;IPI00128484,0.48,-0.21,-0.29,0.23,1.15,0.97,2.28,2.4,,1.55,1.65,10,10,10,32.4,2.91E-261,51.317,7,-,112740127,Hpx;Hpxn;mCG_19728,Q3UKP2;Q8K1U6;Q91X72,"Putative uncharacterized protein;Hemopexin, isoform CRA_f;Hemopexin"
IPI00845761,-0.03,-0.17,0.1,-0.26,0.45,0.5,0.6,0.13,,1.54,0.51,5,5,5,3.2,2.19E-08,210.8,7,-,80596715,Chd2,Q3V0V7,Putative uncharacterized protein
IPI00114667,0.16,0.14,0.2,0.17,0.06,-0.04,0.04,0.1,,1.53,-0.13,9,9,9,42.1,2.42E-46,36.539,8,-,110104281,Psmd7;Mov-34;Mov34;mCG_9335,P26516;A1L3B8,"26S proteasome non-ATPase regulatory subunit 7;26S proteasome regulatory subunit rpn8;26S proteasome regulatory subunit S12;Proteasome subunit p40;Mov34 protein;Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 7"
IPI00229534,0.16,0.4,0.3,0.16,-0.06,-0.33,-0.37,0.02,,1.52,-0.44,14,14,14,52.1,0.00E+00,29.661,10,-,36854627,Marcks;Macs,P26645;Q05BL6,Myristoylated alanine-rich C-kinase substrate;Marcks protein
IPI00463186;IPI00761541,-0.21,-0.84,-0.99,-0.57,0.3,0.75,0.69,-0.15,,1.52,1.05,3,3,3,3.2,7.68E-09,144.95,9,+,27106813,Igsf9b;Gm508;mKIAA1030,Q5DU06,MKIAA1030 protein
IPI00132050,0.03,0.08,0.11,0.12,0.16,0.24,0.21,0.16,,1.52,0.11,6,6,1,54.2,2.47E-124,14.164,7,+,104548606,Ndufc2,Q9CQ54,NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH-ubiquinone oxidoreductase subunit B14.5b;Complex I-B14.5b
IPI00112597;IPI00890844;IPI00895239;IPI00620551;IPI00894722,-0.12,-0.08,-0.09,-0.11,-0.01,-0.06,0.07,0.02,,1.52,0.11,8,8,8,10.1,1.41E-30,133.3,4,-,148702526,Ube4b;Ufd2;RP23-173D8.1-001;mKIAA0684,Q9ES00;B2KFK2;Q6NWW1;Q80TU3;Q6DID4,"Ubiquitin conjugation factor E4 B;Ubiquitin fusion degradation protein 2;Ufd2a;Ubiquitination factor E4B, UFD2 homolog (S. cerevisiae);MKIAA0684 protein"
IPI00349020;IPI00754509,0.07,0.07,0.04,-0.02,-0.04,-0.15,-0.08,-0.06,,1.51,-0.12,12,12,12,13,5.34E-25,124.51,10,+,126515963,Agap2;Centg1;Kiaa0167,Q3UHD9-1;Q3UHD9;Q3UHD9-2,"Arf-GAP, GTPase, ANK repeat and PH domain-containing protein 2;Centaurin-gamma-1;Phosphatidylinositol-3-kinase enhancer"
IPI00115530,-0.05,-0.23,-0.19,-0.11,0.21,0.17,0.16,-0.05,,1.49,0.27,9,9,9,16.2,7.09E-66,61.115,13,-,97946292,Hexb,P20060;Q3TXR9,Beta-hexosaminidase subunit beta;N-acetyl-beta-glucosaminidase subunit beta;Beta-N-acetylhexosaminidase subunit beta;Putative uncharacterized protein
IPI00222578,-0.05,-0.28,-0.14,-0.08,0.22,0.32,0.3,-0.01,,1.49,0.35,2,2,2,19.3,7.77E-06,9.6402,7,-,16502559,Sepw1;Selw,P63300,Selenoprotein W
IPI00341322;IPI00648743,-0.01,0.01,0,0.07,0.18,0.22,0.12,0.08,,1.48,0.13,3,3,3,34.4,2.69E-13,15.515,4,-,40217696,Ndufb6;Gm137;RP23-9F23.5-001;mCG_9810;RP23-9F23.5-002,Q3UIU2;A2AP31;A2AP32,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6;NADH-ubiquinone oxidoreductase B17 subunit;Complex I-B17;NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 6;MCG9810"
IPI00313151;IPI00895996;IPI00845581;IPI00880533,0.02,0.1,0.11,-0.01,-0.17,-0.43,-0.37,-0.09,,1.48,-0.32,17,17,17,50.3,8.76E-174,61.961,7,+,146271927,Dpysl4;Crmp3;Ulip4,O35098-1;O35098;Q3TMU8;O35098-2,Dihydropyrimidinase-related protein 4;Collapsin response mediator protein 3;UNC33-like phosphoprotein 4;Putative uncharacterized protein;Dihydropyrimidinase-like 4
