,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
sp|Q80UM7|MOGS_MOUSE,Mogs,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,4,9.4,10.0,10.9,9.3,11.4,9.5,9.6,7.7,10.8,11.4,0.59423,0.86602
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,2,7.7,10.4,9.4,9.3,8.6,10.5,11.0,10.3,10.8,12.0,0.01269,0.38667
sp|Q6P549|SHIP2_MOUSE,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1",8,10.1,10.2,10.1,10.2,10.9,10.1,9.3,10.2,9.2,9.8,0.06527,0.63284
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,1,9.0,9.7,11.7,8.6,8.4,10.4,10.5,8.8,10.8,12.1,0.21833,0.76316
tr|A0A1B0GSX6|A0A1B0GSX6_MOUSE,Pdlim3,"PDZ and LIM domain 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1",2,8.3,18.2,10.2,8.7,8.5,7.7,6.9,9.0,8.4,14.3,0.51911,0.84955
sp|O70209|PDLI3_MOUSE,Pdlim3,PDZ and LIM domain protein 3 OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1,1,7.6,17.0,11.9,9.3,7.6,8.6,7.0,9.4,8.5,13.2,0.54179,0.85493
sp|O35226|PSMD4_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,10,9.7,9.5,10.6,9.5,9.9,9.8,10.2,9.7,10.4,10.7,0.31108,0.80245
tr|F7AI87|F7AI87_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,3,9.2,10.5,11.0,9.3,9.7,9.3,9.3,10.0,10.4,11.5,0.78442,0.89510
sp|Q80X85|RT07_MOUSE,Mrps7,"28S ribosomal protein S7, mitochondrial OS=Mus musculus OX=10090 GN=Mrps7 PE=1 SV=1",5,10.2,10.5,10.3,9.6,9.8,10.2,9.4,10.1,9.9,10.0,0.48532,0.84074
sp|P58404|STRN4_MOUSE,Strn4,Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2,1,9.1,10.1,10.4,11.5,9.9,7.2,11.7,10.5,9.8,9.9,0.67366,0.87992
sp|O55106|STRN_MOUSE,Strn,Striatin OS=Mus musculus OX=10090 GN=Strn PE=1 SV=2,2,11.1,10.0,10.6,9.8,9.7,8.6,9.0,9.8,11.7,9.7,0.46223,0.83556
sp|Q9ERG2|STRN3_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,11,9.3,10.3,10.0,10.8,9.8,9.3,10.2,10.2,9.9,10.3,0.79605,0.89647
tr|B2RQS1|B2RQS1_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,1,9.7,10.6,10.2,9.6,8.8,9.9,9.4,10.0,10.8,11.1,0.34230,0.81142
sp|Q6ZQ73|CAND2_MOUSE,Cand2,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus OX=10090 GN=Cand2 PE=1 SV=2,40,10.3,9.4,10.8,10.3,11.2,9.9,9.3,9.3,9.3,10.3,0.06217,0.62622
sp|Q6ZQ38|CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,28,10.0,10.5,10.3,10.4,10.0,10.2,9.4,9.3,9.5,10.4,0.12200,0.70520
sp|P28352|APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,5,11.3,10.3,8.1,10.9,11.2,9.7,10.3,10.5,9.4,8.4,0.33267,0.80881
sp|A2ASS6|TITIN_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,72,11.3,10.2,9.8,10.5,11.7,10.1,9.2,10.0,9.1,8.2,0.02194,0.46248
tr|E9Q8K5|E9Q8K5_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,6,9.0,10.7,10.5,10.6,11.0,9.9,9.4,10.2,9.5,9.2,0.12597,0.70828
sp|Q6PGC1|DHX29_MOUSE,Dhx29,ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1,1,10.1,10.3,10.1,9.5,9.5,9.2,9.5,10.6,12.6,8.7,0.76154,0.89229
tr|A2AT68|A2AT68_MOUSE,Ttn,Titin (Fragment) OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,1,9.2,11.5,8.8,9.9,10.2,9.6,9.5,11.8,10.3,9.1,0.83708,0.90104
sp|O54988|SLK_MOUSE,Slk,STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2,17,8.5,11.5,10.4,10.7,8.8,9.4,10.0,10.5,9.8,10.4,0.96323,0.91287
sp|Q5SXY1|CYTSB_MOUSE,Specc1,Cytospin-B OS=Mus musculus OX=10090 GN=Specc1 PE=1 SV=2,1,9.3,11.5,10.2,10.1,10.0,11.4,8.9,8.7,7.9,11.8,0.57948,0.86308
sp|O55098|STK10_MOUSE,Stk10,Serine/threonine-protein kinase 10 OS=Mus musculus OX=10090 GN=Stk10 PE=1 SV=2,2,9.2,11.3,10.5,9.7,9.3,8.7,10.0,9.3,11.5,10.4,0.97988,0.91423
sp|Q6P9Q6|FKB15_MOUSE,Fkbp15,FK506-binding protein 15 OS=Mus musculus OX=10090 GN=Fkbp15 PE=1 SV=2,1,9.2,12.1,9.8,10.0,9.0,10.2,8.6,8.9,11.4,10.8,0.97230,0.91362
sp|Q60936|COQ8A_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2",21,9.9,9.0,10.0,10.7,10.6,10.7,9.8,11.1,8.8,9.5,0.90331,0.90763
sp|Q3UJB9|EDC4_MOUSE,Edc4,Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=2,7,10.6,9.9,9.8,10.2,11.0,9.6,9.8,9.2,9.5,10.3,0.07332,0.64794
tr|Q3UWL8|Q3UWL8_MOUSE,Pfdn4,Prefoldin subunit 4 OS=Mus musculus OX=10090 GN=Pfdn4 PE=1 SV=1,3,9.0,10.9,10.7,10.5,9.4,8.9,9.4,10.5,9.9,10.8,0.71799,0.88649
sp|Q91YE6|IPO9_MOUSE,Ipo9,Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3,2,8.1,11.7,11.6,9.0,9.6,9.4,10.2,8.9,9.3,12.2,0.99973,0.91579
sp|Q64511|TOP2B_MOUSE,Top2b,DNA topoisomerase 2-beta OS=Mus musculus OX=10090 GN=Top2b PE=1 SV=2,12,10.0,10.8,11.0,10.3,10.3,9.4,9.6,9.0,9.6,10.1,0.00698,0.30746
sp|P97807|FUMH_MOUSE,Fh,"Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",55,10.3,9.5,9.0,10.8,9.7,10.7,9.6,11.6,9.1,9.8,0.53740,0.85392
tr|Q14BI5|Q14BI5_MOUSE,Myom2,Myomesin 2 OS=Mus musculus OX=10090 GN=Myom2 PE=1 SV=1,57,10.6,10.0,10.4,11.3,11.8,8.8,8.8,10.7,9.0,8.5,0.01241,0.38394
sp|Q9CZW5|TOM70_MOUSE,Tomm70,Mitochondrial import receptor subunit TOM70 OS=Mus musculus OX=10090 GN=Tomm70 PE=1 SV=2,23,10.1,10.6,10.3,9.8,9.7,10.0,9.2,10.1,10.8,9.5,0.55786,0.85852
tr|B1B1A8|B1B1A8_MOUSE,Mylk,"Myosin light chain kinase, smooth muscle OS=Mus musculus OX=10090 GN=Mylk PE=1 SV=1",12,7.5,17.9,10.7,9.1,7.3,10.2,8.4,8.6,8.1,12.3,0.65393,0.87674
sp|Q3UIZ8|MYLK3_MOUSE,Mylk3,Myosin light chain kinase 3 OS=Mus musculus OX=10090 GN=Mylk3 PE=1 SV=1,33,9.6,10.4,11.4,10.2,11.7,9.1,8.3,10.4,9.8,9.1,0.03529,0.54187
sp|Q9WTU6|MK09_MOUSE,Mapk9,Mitogen-activated protein kinase 9 OS=Mus musculus OX=10090 GN=Mapk9 PE=1 SV=2,3,9.7,11.2,11.2,9.9,10.2,9.5,8.5,9.8,10.5,9.5,0.08846,0.67013
tr|Q80W82|Q80W82_MOUSE,Mapk10,Mitogen-activated protein kinase OS=Mus musculus OX=10090 GN=Mapk10 PE=1 SV=1,1,7.5,9.9,10.2,9.8,13.5,9.6,8.5,9.1,11.3,10.6,0.74434,0.89007
sp|Q91Y86|MK08_MOUSE,Mapk8,Mitogen-activated protein kinase 8 OS=Mus musculus OX=10090 GN=Mapk8 PE=1 SV=1,1,11.4,9.1,10.0,9.9,12.4,10.7,9.8,8.5,10.1,8.1,0.17966,0.73789
sp|O08911|MK12_MOUSE,Mapk12,Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1,4,10.5,10.5,11.5,8.9,10.8,9.7,9.7,9.4,9.2,9.8,0.10664,0.69145
sp|P47811|MK14_MOUSE,Mapk14,Mitogen-activated protein kinase 14 OS=Mus musculus OX=10090 GN=Mapk14 PE=1 SV=3,7,11.6,8.2,9.9,10.2,10.6,10.4,9.6,10.6,9.4,9.5,0.77047,0.89340
sp|Q99PL5|RRBP1_MOUSE,Rrbp1,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,36,9.3,13.1,10.1,9.9,10.3,8.4,8.6,9.4,12.2,8.6,0.29846,0.79836
tr|Q8C845|Q8C845_MOUSE,Efhd2,EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1,8,8.8,14.0,11.3,8.5,7.6,8.2,9.0,8.8,11.5,12.2,0.94319,0.91119
sp|Q9D4J1|EFHD1_MOUSE,Efhd1,EF-hand domain-containing protein D1 OS=Mus musculus OX=10090 GN=Efhd1 PE=1 SV=1,1,7.0,16.9,9.1,8.9,7.3,9.9,8.6,10.5,10.0,11.7,0.87820,0.90524
sp|Q9CQF0|RM11_MOUSE,Mrpl11,"39S ribosomal protein L11, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl11 PE=1 SV=1",8,10.2,10.6,10.8,9.8,10.3,9.3,9.5,9.9,9.9,9.6,0.01220,0.38175
sp|Q8BIJ7|RUFY1_MOUSE,Rufy1,RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1,5,8.2,11.2,11.2,10.1,9.7,9.3,9.9,9.2,11.4,9.9,0.81987,0.89918
tr|A0A0G2JFT8|A0A0G2JFT8_MOUSE,Rufy3,Protein RUFY3 OS=Mus musculus OX=10090 GN=Rufy3 PE=1 SV=1,1,8.5,11.1,10.3,11.1,9.0,9.6,10.0,10.3,10.9,9.2,0.97645,0.91395
tr|E9QAQ7|E9QAQ7_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,2,8.5,17.3,9.9,9.3,7.3,8.9,8.8,9.5,9.2,11.4,0.65333,0.87665
sp|P10107|ANXA1_MOUSE,Anxa1,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,10,8.7,15.3,10.3,8.7,7.3,8.8,9.6,8.6,10.6,12.2,0.95079,0.91184
sp|P23116|EIF3A_MOUSE,Eif3a,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5,25,10.0,10.6,10.0,10.4,9.3,9.6,9.6,10.2,10.9,9.5,0.81507,0.89864
tr|A0A0G2JEX1|A0A0G2JEX1_MOUSE,Nexn,Nexilin OS=Mus musculus OX=10090 GN=Nexn PE=1 SV=1,21,9.2,11.4,10.3,10.1,9.3,9.1,9.4,10.7,10.4,10.2,0.85026,0.90243
sp|Q9Z1E4|GYS1_MOUSE,Gys1,"Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2",22,10.5,8.8,10.6,9.3,10.5,10.5,9.5,10.0,10.5,9.8,0.80874,0.89793
sp|Q8BLY2|SYTC2_MOUSE,Tarsl2,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tarsl2 PE=1 SV=1",7,10.3,8.4,10.5,10.1,11.4,10.6,9.2,9.5,8.9,11.1,0.70264,0.88430
sp|Q9D0R2|SYTC_MOUSE,Tars,"Threonine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Tars PE=1 SV=2",9,9.7,10.2,10.6,9.5,10.6,9.9,9.3,9.0,10.3,10.9,0.56379,0.85980
sp|Q9DCJ5|NDUA8_MOUSE,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=1 SV=3,15,11.5,9.0,9.6,10.3,10.3,10.2,9.5,10.5,10.3,8.7,0.58207,0.86360
sp|Q9QUR8|SEM7A_MOUSE,Sema7a,Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1,1,3.9,5.2,3.7,6.7,48.3,5.0,12.3,6.0,4.4,4.6,0.46394,0.83582
sp|Q62009|POSTN_MOUSE,Postn,Periostin OS=Mus musculus OX=10090 GN=Postn PE=1 SV=2,13,9.1,19.7,9.4,8.9,5.1,7.1,8.8,7.7,9.1,15.1,0.76055,0.89216
sp|O70423|AOC3_MOUSE,Aoc3,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3,3,9.0,15.5,11.5,9.0,8.7,10.2,8.9,7.7,8.3,11.2,0.34504,0.81214
sp|A3KG59|P20D2_MOUSE,Pm20d2,Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1,9,9.1,8.0,9.6,8.8,9.2,11.4,11.3,10.3,10.1,12.2,0.00229,0.20283
tr|K3W4R5|K3W4R5_MOUSE,Ckap5,Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,12,10.0,10.0,10.2,9.9,10.1,9.8,9.7,10.0,10.1,10.1,0.27124,0.78842
sp|B2RXC1|TPC11_MOUSE,Trappc11,Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1,1,10.9,10.0,10.4,9.0,8.8,11.9,10.4,9.6,8.8,10.2,0.60380,0.86786
sp|Q60864|STIP1_MOUSE,Stip1,Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1,24,11.0,12.3,10.2,9.7,9.3,8.1,8.9,9.3,11.8,9.2,0.24892,0.77888
sp|Q64345|IFIT3_MOUSE,Ifit3,Interferon-induced protein with tetratricopeptide repeats 3 OS=Mus musculus OX=10090 GN=Ifit3 PE=1 SV=1,2,7.2,9.5,11.0,6.9,8.0,8.6,11.6,6.6,21.4,9.0,0.33402,0.80918
tr|D3Z7X0|D3Z7X0_MOUSE,Acad12,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus OX=10090 GN=Acad12 PE=1 SV=1",7,9.4,9.0,9.4,9.8,9.3,10.9,10.2,11.1,9.6,11.2,0.01556,0.41094
sp|Q8K370|ACD10_MOUSE,Acad10,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus OX=10090 GN=Acad10 PE=1 SV=1,11,10.0,8.7,9.7,9.5,9.9,10.3,10.2,11.3,10.0,10.3,0.02326,0.47134
tr|A0A0R4J078|A0A0R4J078_MOUSE,Ubxn4,"UBX domain containing 2, isoform CRA_a OS=Mus musculus OX=10090 GN=Ubxn4 PE=1 SV=1",3,10.5,10.1,10.7,10.5,9.6,9.3,10.5,9.8,9.3,9.8,0.11032,0.69504
sp|P30999|CTND1_MOUSE,Ctnnd1,Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2,8,8.7,10.3,11.0,10.2,10.0,10.0,9.9,9.6,10.0,10.3,0.81876,0.89905
sp|Q8VH51|RBM39_MOUSE,Rbm39,RNA-binding protein 39 OS=Mus musculus OX=10090 GN=Rbm39 PE=1 SV=2,3,10.6,9.5,11.4,9.8,10.6,10.0,9.4,8.2,9.6,10.9,0.23470,0.77200
sp|Q9CRB9|MIC19_MOUSE,Chchd3,MICOS complex subunit Mic19 OS=Mus musculus OX=10090 GN=Chchd3 PE=1 SV=1,21,10.6,9.6,9.8,10.1,10.0,10.0,9.7,11.0,10.0,9.2,0.88311,0.90571
sp|Q6ZQ08|CNOT1_MOUSE,Cnot1,CCR4-NOT transcription complex subunit 1 OS=Mus musculus OX=10090 GN=Cnot1 PE=1 SV=2,2,9.2,10.7,11.6,9.3,11.0,10.8,10.0,8.3,9.7,9.6,0.30848,0.80163
sp|Q9D8N0|EF1G_MOUSE,Eef1g,Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3,20,10.8,10.0,11.3,9.9,9.9,9.5,9.8,8.7,9.9,10.3,0.09366,0.67692
sp|Q99LC9|PEX6_MOUSE,Pex6,Peroxisome assembly factor 2 OS=Mus musculus OX=10090 GN=Pex6 PE=1 SV=1,1,6.8,11.1,8.3,11.8,10.3,9.8,10.0,8.6,10.1,13.1,0.59743,0.86664
tr|E9PVZ8|E9PVZ8_MOUSE,Golgb1,"Golgi autoantigen, golgin subfamily b, macrogolgin 1 OS=Mus musculus OX=10090 GN=Golgb1 PE=1 SV=1",7,8.4,12.5,10.1,10.6,8.9,8.7,10.0,9.6,11.2,10.2,0.84985,0.90239
sp|Q9JIF7|COPB_MOUSE,Copb1,Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1,14,9.9,10.8,10.9,10.0,9.7,10.2,9.1,9.1,9.7,10.7,0.24683,0.77791
tr|Q543K9|Q543K9_MOUSE,Pnp,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=1,5,9.5,11.3,9.6,10.6,9.8,10.2,10.0,8.9,10.5,9.7,0.50852,0.84690
tr|Q9D8C9|Q9D8C9_MOUSE,Pnp2,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp2 PE=1 SV=1,6,9.1,10.2,9.6,9.9,11.3,11.1,10.2,8.5,9.2,10.8,0.94623,0.91145
sp|Q68FH0|PKP4_MOUSE,Pkp4,Plakophilin-4 OS=Mus musculus OX=10090 GN=Pkp4 PE=1 SV=1,1,9.0,7.2,11.1,10.2,14.2,10.0,7.9,11.3,7.1,12.2,0.69078,0.88255
sp|O35927|CTND2_MOUSE,Ctnnd2,Catenin delta-2 OS=Mus musculus OX=10090 GN=Ctnnd2 PE=1 SV=1,1,10.2,7.0,8.7,9.0,9.7,13.7,11.2,9.1,9.9,11.4,0.05984,0.62119
tr|Q9CQ73|Q9CQ73_MOUSE,Pkp2,Plakophilin 2 OS=Mus musculus OX=10090 GN=Pkp2 PE=1 SV=1,42,10.3,7.4,9.4,9.7,9.9,11.2,11.5,9.3,10.5,10.7,0.07899,0.65706
tr|H3BL37|H3BL37_MOUSE,Tcof1,Treacle protein OS=Mus musculus OX=10090 GN=Tcof1 PE=1 SV=1,5,8.3,12.4,10.9,10.8,9.2,8.3,9.6,9.5,10.5,10.4,0.44574,0.83294
tr|Q3UID0|Q3UID0_MOUSE,Smarcc2,SWI/SNF complex subunit SMARCC2 OS=Mus musculus OX=10090 GN=Smarcc2 PE=1 SV=1,2,8.7,12.6,9.9,10.2,9.3,9.2,9.6,10.2,10.6,9.6,0.71642,0.88627
sp|Q9Z2D6|MECP2_MOUSE,Mecp2,Methyl-CpG-binding protein 2 OS=Mus musculus OX=10090 GN=Mecp2 PE=1 SV=1,4,8.1,12.0,9.8,10.1,10.4,10.1,8.8,11.1,8.8,10.8,0.85231,0.90264
sp|Q3U0S6|RAIN_MOUSE,Rasip1,Ras-interacting protein 1 OS=Mus musculus OX=10090 GN=Rasip1 PE=1 SV=3,6,9.7,9.6,10.4,9.7,9.1,10.5,9.6,10.2,11.5,9.7,0.17580,0.73630
tr|E9QKE4|E9QKE4_MOUSE,Rab3gap2,Rab3 GTPase-activating protein non-catalytic subunit OS=Mus musculus OX=10090 GN=Rab3gap2 PE=1 SV=1,2,9.6,10.1,11.0,10.0,10.0,9.3,10.6,8.9,9.1,11.3,0.58819,0.86483
sp|Q4LDD4|ARAP1_MOUSE,Arap1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Arap1 PE=1 SV=2",1,11.2,12.9,9.6,9.6,7.5,10.2,9.9,8.5,9.7,10.8,0.73628,0.88900
sp|Q9Z1W9|STK39_MOUSE,Stk39,STE20/SPS1-related proline-alanine-rich protein kinase OS=Mus musculus OX=10090 GN=Stk39 PE=1 SV=1,4,9.6,9.3,12.3,9.5,10.4,9.7,9.5,8.9,10.7,10.1,0.49505,0.84338
sp|Q6P9R2|OXSR1_MOUSE,Oxsr1,Serine/threonine-protein kinase OSR1 OS=Mus musculus OX=10090 GN=Oxsr1 PE=1 SV=1,7,9.6,9.4,9.8,10.1,10.3,10.2,9.8,10.9,9.8,10.0,0.25602,0.78207
sp|Q3UMF0|COBL1_MOUSE,Cobll1,Cordon-bleu protein-like 1 OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=2,11,9.9,10.6,9.9,10.0,9.8,9.1,9.9,10.4,11.2,9.1,0.82906,0.90018
sp|P35486|ODPA_MOUSE,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1",31,14.0,8.2,9.0,10.7,9.8,9.3,10.0,10.3,9.6,9.0,0.52682,0.85143
sp|Q505D7|OPA3_MOUSE,Opa3,Optic atrophy 3 protein homolog OS=Mus musculus OX=10090 GN=Opa3 PE=1 SV=1,3,9.5,8.5,10.4,10.5,9.7,11.4,10.6,9.5,9.1,10.7,0.36654,0.81744
sp|Q8BWR2|PITH1_MOUSE,Pithd1,PITH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pithd1 PE=1 SV=1,3,9.2,9.2,11.2,10.4,10.0,10.9,9.2,10.1,8.7,11.1,0.98246,0.91443
sp|Q8VHK1|CSKI2_MOUSE,Caskin2,Caskin-2 OS=Mus musculus OX=10090 GN=Caskin2 PE=1 SV=3,4,9.4,10.5,11.0,11.2,9.7,9.3,9.4,9.2,10.0,10.2,0.11446,0.69884
sp|Q9CQQ8|LSM7_MOUSE,Lsm7,U6 snRNA-associated Sm-like protein LSm7 OS=Mus musculus OX=10090 GN=Lsm7 PE=1 SV=1,1,9.9,11.0,9.6,8.7,9.3,8.7,9.9,10.2,10.2,12.3,0.46075,0.83533
sp|P14685|PSMD3_MOUSE,Psmd3,26S proteasome non-ATPase regulatory subunit 3 OS=Mus musculus OX=10090 GN=Psmd3 PE=1 SV=3,20,10.9,9.6,10.1,10.1,9.7,9.9,10.3,10.0,9.9,9.4,0.50750,0.84663
sp|P70670|NACAM_MOUSE,Naca,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2",57,9.2,10.2,10.0,10.5,9.8,9.3,9.5,11.2,10.9,9.4,0.76019,0.89211
sp|Q9R0H0|ACOX1_MOUSE,Acox1,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus OX=10090 GN=Acox1 PE=1 SV=5,30,10.7,8.0,8.8,10.1,10.7,13.3,8.1,11.8,8.9,9.5,0.56219,0.85946
