Protein Group,Protein ID,Accession,Significance -10logP,Coverage (%),#Peptides,#Unique,PTM,Young 1 Area,Young 2 Area,Young 3 Area,Young 4 Area,Young 5 Area,Young 6 Area,Old 1 Area,Old 2 Area,Old 3 Area,Old 4 Area,Old 5 Area,Old 6 Area,Sample Profile (Ratio),Young Area,Old Area,Group Profile (Ratio),Avg. Mass,FoldChange (FC),Log2(FC),Description
991,757,Q60866|PTER_MOUSE,34.66,12,3,3,,3.90E+05,2.71E+05,2.95E+05,3.96E+05,3.20E+05,3.51E+05,1.94E+05,1.14E+05,2.00E+05,1.25E+05,2.41E+05,2.15E+05,1.00:0.70:0.76:1.02:0.82:0.90:0.50:0.29:0.51:0.32:0.62:0.55,3.37E+05,1.81E+05,1.00:0.54,0.54,-0.90,39218,Phosphotriesterase-related protein OS=Mus musculus GN=Pter PE=2 SV=1
343,2721,P26350|PTMA_MOUSE,33.97,23,6,6,,4.26E+06,2.53E+06,2.03E+06,2.01E+06,2.06E+06,2.06E+06,5.24E+06,4.84E+06,5.76E+06,4.63E+06,3.96E+06,6.45E+06,1.00:0.59:0.48:0.47:0.48:0.48:1.23:1.14:1.35:1.09:0.93:1.51,2.49E+06,5.15E+06,1.00:2.07,2.07,1.05,12254,Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2
59,334,P17183|ENOG_MOUSE,33.3,26,14,1,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,1.09E+07,9.80E+06,8.20E+06,8.85E+06,8.54E+06,8.45E+06,5.80E+06,6.08E+06,5.13E+06,6.74E+06,7.37E+06,6.94E+06,1.00:0.90:0.76:0.82:0.79:0.78:0.53:0.56:0.47:0.62:0.68:0.64,9.12E+06,6.34E+06,1.00:0.70,0.70,-0.52,47297,Gamma-enolase OS=Mus musculus GN=Eno2 PE=1 SV=2
498,528,Q9DCZ1|GMPR1_MOUSE,32.39,13,4,4,N-ethylmaleimide on cysteines,4.27E+05,8.22E+05,7.18E+05,6.41E+05,7.81E+05,7.63E+05,3.70E+05,4.09E+05,3.62E+05,5.03E+04,4.47E+04,6.73E+04,1.00:1.93:1.68:1.50:1.83:1.79:0.87:0.96:0.85:0.12:0.10:0.16,6.92E+05,2.17E+05,1.00:0.31,0.31,-1.67,37482,GMP reductase 1 OS=Mus musculus GN=Gmpr PE=2 SV=1
158,191,Q9CQV8|1433B_MOUSE,32.03,57,14,5,Oxidation (M); N-ethylmaleimide on cysteines,2.05E+06,1.90E+06,2.13E+06,2.02E+06,2.10E+06,2.15E+06,3.10E+06,2.84E+06,3.16E+06,2.79E+06,2.40E+06,3.20E+06,1.00:0.93:1.04:0.99:1.03:1.05:1.51:1.39:1.54:1.36:1.17:1.56,2.06E+06,2.91E+06,1.00:1.41,1.41,0.50,28086,14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3
1,1,P07310|KCRM_MOUSE,31.93,91,45,39,Oxidation (M); N-ethylmaleimide on cysteines,1.55E+09,1.24E+09,1.20E+09,1.10E+09,1.07E+09,1.35E+09,6.59E+08,9.06E+08,5.77E+08,8.51E+08,8.80E+08,8.90E+08,1.00:0.80:0.77:0.71:0.69:0.87:0.42:0.58:0.37:0.55:0.57:0.57,1.25E+09,7.94E+08,1.00:0.63,0.64,-0.65,43045,Creatine kinase M-type OS=Mus musculus GN=Ckm PE=1 SV=1
323,123,P27546|MAP4_MOUSE,31.18,22,15,15,,1.38E+06,9.08E+05,1.13E+06,1.20E+06,1.24E+06,1.15E+06,1.63E+06,1.46E+06,1.68E+06,1.47E+06,1.61E+06,1.48E+06,1.00:0.66:0.81:0.86:0.90:0.83:1.18:1.06:1.21:1.06:1.17:1.07,1.17E+06,1.56E+06,1.00:1.34,1.33,0.42,117429,Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3
51,204,O70250|PGAM2_MOUSE,31.04,61,18,11,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,1.31E+08,1.21E+08,1.16E+08,1.09E+08,1.15E+08,1.36E+08,7.87E+07,8.54E+07,5.05E+07,8.38E+07,9.91E+07,8.83E+07,1.00:0.93:0.88:0.83:0.88:1.04:0.60:0.65:0.39:0.64:0.76:0.68,1.21E+08,8.10E+07,1.00:0.67,0.67,-0.58,28827,Phosphoglycerate mutase 2 OS=Mus musculus GN=Pgam2 PE=1 SV=3
1252,4186,Q9D4B2|TTC25_MOUSE,30.96,2,1,1,,0,4.36E+05,5.97E+05,5.00E+05,4.98E+05,6.04E+05,2.78E+05,3.18E+05,2.15E+05,3.56E+05,3.20E+05,3.95E+05,0:1.00:1.37:1.15:1.14:1.39:0.64:0.73:0.49:0.82:0.73:0.91,4.39E+05,3.14E+05,1.00:0.71,0.72,-0.48,71530,Tetratricopeptide repeat protein 25 OS=Mus musculus GN=Ttc25 PE=2 SV=3
781,2274,Q9DD03|RAB13_MOUSE,30.11,8,2,1,N-ethylmaleimide on cysteines,2.65E+06,2.23E+06,3.26E+06,3.26E+06,2.79E+06,2.69E+06,2.29E+06,2.24E+06,1.48E+06,1.40E+06,1.58E+06,1.44E+06,1.00:0.84:1.23:1.23:1.05:1.02:0.86:0.84:0.56:0.53:0.60:0.54,2.81E+06,1.74E+06,1.00:0.62,0.62,-0.69,22770,Ras-related protein Rab-13 OS=Mus musculus GN=Rab13 PE=1 SV=1
235,426,P63028|TCTP_MOUSE,29.97,67,9,8,N-ethylmaleimide on cysteines,1.34E+07,1.15E+07,1.20E+07,1.09E+07,1.12E+07,1.05E+07,1.62E+07,1.35E+07,1.49E+07,1.42E+07,1.32E+07,1.41E+07,1.00:0.86:0.90:0.81:0.84:0.79:1.22:1.01:1.12:1.07:0.99:1.06,1.16E+07,1.44E+07,1.00:1.24,1.24,0.31,19462,Translationally-controlled tumor protein OS=Mus musculus GN=Tpt1 PE=1 SV=1
900,841,Q9WTX5|SKP1_MOUSE,29.72,33,3,3,,1.01E+06,1.13E+06,1.28E+06,1.16E+06,1.30E+06,1.15E+06,1.34E+06,1.70E+06,1.49E+06,1.55E+06,1.68E+06,1.88E+06,1.00:1.12:1.27:1.15:1.29:1.14:1.33:1.69:1.49:1.54:1.67:1.86,1.17E+06,1.61E+06,1.00:1.38,1.38,0.46,18672,S-phase kinase-associated protein 1 OS=Mus musculus GN=Skp1 PE=1 SV=3
46,642,P32848|PRVA_MOUSE,29.55,79,18,18,Oxidation (M),2.69E+08,4.27E+08,3.14E+08,5.21E+08,4.42E+08,3.26E+08,1.66E+08,1.45E+08,1.11E+08,1.09E+08,1.83E+08,2.15E+08,1.00:1.58:1.17:1.93:1.64:1.21:0.62:0.54:0.41:0.41:0.68:0.80,3.83E+08,1.55E+08,1.00:0.40,0.40,-1.31,11931,Parvalbumin alpha OS=Mus musculus GN=Pvalb PE=1 SV=3
585,2074,Q9D1H9|MFAP4_MOUSE,29.44,9,2,2,,1.76E+06,1.77E+06,2.27E+06,1.52E+06,2.08E+06,2.17E+06,4.32E+06,3.88E+06,5.30E+06,3.58E+06,2.84E+06,3.76E+06,1.00:1.01:1.29:0.86:1.18:1.23:2.46:2.21:3.02:2.03:1.62:2.14,1.93E+06,3.95E+06,1.00:2.05,2.05,1.03,28938,Microfibril-associated glycoprotein 4 OS=Mus musculus GN=Mfap4 PE=1 SV=1
431,430,Q9R0P5|DEST_MOUSE,29.38,47,6,5,Oxidation (M),9.95E+05,8.04E+05,1.16E+06,9.07E+05,1.12E+06,1.70E+06,2.48E+06,2.44E+06,3.23E+06,2.23E+06,1.62E+06,2.09E+06,1.00:0.81:1.17:0.91:1.12:1.71:2.50:2.45:3.25:2.24:1.63:2.10,1.11E+06,2.35E+06,1.00:2.11,2.12,1.08,18522,Destrin OS=Mus musculus GN=Dstn PE=1 SV=3
1293,1034,Q62418|DBNL_MOUSE,28.9,7,2,2,,8.28E+04,1.40E+05,2.85E+05,5.26E+04,6.03E+04,1.44E+05,2.68E+05,2.86E+05,3.20E+05,3.73E+05,4.48E+05,5.31E+05,1.00:1.69:3.45:0.64:0.73:1.74:3.24:3.46:3.87:4.50:5.41:6.41,1.13E+05,3.71E+05,1.00:3.28,3.28,1.72,48700,Drebrin-like protein OS=Mus musculus GN=Dbnl PE=1 SV=2
222,327,P68254|1433T_MOUSE,28.88,41,12,5,Oxidation (M); N-ethylmaleimide on cysteines,1.19E+06,1.24E+06,1.44E+06,1.21E+06,1.38E+06,1.36E+06,2.22E+06,2.10E+06,2.38E+06,1.65E+06,1.85E+06,2.57E+06,1.00:1.04:1.21:1.02:1.16:1.14:1.86:1.77:1.99:1.39:1.55:2.16,1.30E+06,2.13E+06,1.00:1.63,1.64,0.71,27778,14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1
74,280,Q9R0Y5|KAD1_MOUSE,28.66,80,20,20,Oxidation (M); N-ethylmaleimide on cysteines,8.83E+07,9.71E+07,9.42E+07,8.41E+07,8.91E+07,1.20E+08,4.69E+07,7.03E+07,4.04E+07,6.37E+07,7.01E+07,7.51E+07,1.00:1.10:1.07:0.95:1.01:1.36:0.53:0.80:0.46:0.72:0.79:0.85,9.55E+07,6.11E+07,1.00:0.64,0.64,-0.64,21540,Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1
429,177,Q00519|XDH_MOUSE,28.07,11,13,12,N-ethylmaleimide on cysteines,6.89E+05,6.05E+05,5.66E+05,5.22E+05,6.05E+05,5.62E+05,1.01E+06,9.88E+05,1.62E+06,1.15E+06,1.05E+06,1.15E+06,1.00:0.88:0.82:0.76:0.88:0.81:1.47:1.43:2.36:1.67:1.52:1.67,5.91E+05,1.16E+06,1.00:1.97,1.96,0.97,146518,Xanthine dehydrogenase/oxidase OS=Mus musculus GN=Xdh PE=1 SV=4
582,574,Q8K411|PREP_MOUSE,28.03,4,4,3,,7.17E+05,5.48E+05,3.79E+05,2.00E+05,2.05E+05,5.61E+05,1.12E+06,9.08E+05,1.21E+06,8.04E+05,1.04E+06,6.47E+05,1.00:0.76:0.53:0.28:0.29:0.78:1.56:1.27:1.69:1.12:1.44:0.90,4.35E+05,9.49E+05,1.00:2.18,2.18,1.13,117372,Presequence protease  mitochondrial OS=Mus musculus GN=Pitrm1 PE=2 SV=1
1472,2714,Q00915|RET1_MOUSE,28.02,9,1,1,,0,2.29E+05,0,2.10E+05,2.80E+05,4.71E+05,5.95E+05,1.17E+06,6.43E+05,7.06E+05,7.50E+05,8.71E+05,0:1.00:0:0.92:1.22:2.06:2.60:5.13:2.81:3.08:3.28:3.81,1.98E+05,7.90E+05,1.00:3.98,3.99,2.00,15846,Retinol-binding protein 1 OS=Mus musculus GN=Rbp1 PE=2 SV=2
639,885,Q9CQ89|CUTA_MOUSE,27.65,25,3,3,N-ethylmaleimide on cysteines,1.58E+06,1.58E+06,1.64E+06,1.34E+06,1.42E+06,1.47E+06,1.80E+06,1.68E+06,1.65E+06,1.86E+06,1.82E+06,1.74E+06,1.00:1.00:1.04:0.85:0.90:0.93:1.14:1.06:1.04:1.18:1.15:1.11,1.50E+06,1.76E+06,1.00:1.17,1.17,0.23,18865,Protein CutA OS=Mus musculus GN=Cuta PE=2 SV=3
776,597,Q8C0M9|ASGL1_MOUSE,27.54,21,4,4,N-ethylmaleimide on cysteines,8.60E+05,6.18E+05,6.91E+05,7.26E+05,1.19E+06,1.21E+06,2.00E+06,2.22E+06,2.52E+06,3.32E+06,2.08E+06,1.45E+06,1.00:0.72:0.80:0.84:1.39:1.41:2.32:2.58:2.93:3.86:2.42:1.69,8.84E+05,2.26E+06,1.00:2.56,2.56,1.35,33950,L-asparaginase OS=Mus musculus GN=Asrgl1 PE=1 SV=1
452,3557,Q99JP0|M4K3_MOUSE,27.02,1,1,1,,3.37E+07,3.74E+07,3.02E+07,5.21E+07,5.57E+07,3.32E+07,1.07E+07,1.71E+07,1.32E+07,1.36E+07,2.21E+07,2.82E+07,1.00:1.11:0.90:1.55:1.65:0.98:0.32:0.51:0.39:0.40:0.66:0.84,4.04E+07,1.75E+07,1.00:0.43,0.43,-1.21,101178,Mitogen-activated protein kinase kinase kinase kinase 3 OS=Mus musculus GN=Map4k3 PE=2 SV=3
84,47,Q9D0F9|PGM1_MOUSE,26.91,61,27,26,Oxidation (M); N-ethylmaleimide on cysteines,2.55E+07,1.98E+07,2.03E+07,1.95E+07,2.15E+07,2.49E+07,1.46E+07,1.59E+07,1.15E+07,1.46E+07,1.83E+07,1.86E+07,1.00:0.78:0.80:0.77:0.84:0.98:0.57:0.63:0.45:0.57:0.72:0.73,2.19E+07,1.56E+07,1.00:0.71,0.71,-0.49,61517,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=3
1094,1666,Q8BKE9|IFT74_MOUSE,26.87,2,1,1,,8.31E+06,7.91E+06,6.62E+06,6.56E+06,6.07E+06,6.73E+06,1.04E+07,9.52E+06,9.84E+06,7.79E+06,1.14E+07,9.01E+06,1.00:0.95:0.80:0.79:0.73:0.81:1.25:1.15:1.18:0.94:1.37:1.08,7.03E+06,9.66E+06,1.00:1.37,1.37,0.46,69302,Intraflagellar transport protein 74 homolog OS=Mus musculus GN=Ift74 PE=1 SV=2
23,4,P05064|ALDOA_MOUSE,26.87,83,33,32,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,2.42E+08,2.95E+08,1.93E+08,2.06E+08,2.35E+08,3.08E+08,1.20E+08,1.64E+08,7.57E+07,1.66E+08,1.67E+08,1.72E+08,1.00:1.22:0.80:0.85:0.97:1.27:0.49:0.68:0.31:0.68:0.69:0.71,2.47E+08,1.44E+08,1.00:0.58,0.58,-0.78,39356,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2
1586,4329,Q99JI1|MSTN1_MOUSE,26.82,18,1,1,,2.37E+05,2.99E+05,2.16E+05,1.66E+05,1.37E+05,0,4.72E+05,4.21E+05,5.03E+05,4.12E+05,3.69E+05,2.56E+05,1.00:1.26:0.91:0.70:0.58:0:1.99:1.77:2.12:1.74:1.56:1.08,1.76E+05,4.06E+05,1.00:2.31,2.31,1.21,8941,Musculoskeletal embryonic nuclear protein 1 OS=Mus musculus GN=Mustn1 PE=2 SV=1
1166,696,Q99MR9|PPR3A_MOUSE,26.63,5,4,4,,3.10E+05,1.75E+05,2.09E+05,2.98E+05,3.74E+05,4.24E+05,1.04E+05,1.25E+05,0,2.66E+04,1.43E+05,9.03E+04,1.00:0.56:0.67:0.96:1.21:1.37:0.33:0.40:0:0.09:0.46:0.29,2.98E+05,8.15E+04,1.00:0.27,0.27,-1.87,121465,Protein phosphatase 1 regulatory subunit 3A OS=Mus musculus GN=Ppp1r3a PE=1 SV=1
128,205,P61982|1433G_MOUSE,26.31,60,17,10,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,9.95E+06,1.01E+07,1.05E+07,1.03E+07,1.02E+07,9.51E+06,1.14E+07,1.19E+07,1.08E+07,1.28E+07,1.32E+07,1.30E+07,1.00:1.02:1.06:1.04:1.02:0.96:1.15:1.19:1.08:1.28:1.32:1.30,1.01E+07,1.21E+07,1.00:1.20,1.20,0.26,28303,14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2
153,258,P45591|COF2_MOUSE,26.23,73,12,9,Oxidation (M); N-ethylmaleimide on cysteines,1.97E+07,2.00E+07,1.65E+07,1.57E+07,1.49E+07,1.78E+07,8.69E+06,9.91E+06,1.23E+07,1.49E+07,8.68E+06,1.46E+07,1.00:1.02:0.84:0.80:0.76:0.90:0.44:0.50:0.63:0.75:0.44:0.74,1.74E+07,1.15E+07,1.00:0.66,0.66,-0.60,18710,Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1
144,106,P09103|PDIA1_MOUSE,26.17,49,22,22,N-ethylmaleimide on cysteines,2.70E+06,2.21E+06,2.75E+06,2.66E+06,2.75E+06,2.68E+06,3.53E+06,2.99E+06,3.78E+06,2.89E+06,3.46E+06,3.71E+06,1.00:0.82:1.02:0.99:1.02:0.99:1.31:1.11:1.40:1.07:1.28:1.37,2.62E+06,3.39E+06,1.00:1.29,1.29,0.37,57144,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=1
255,326,Q8BG05|ROA3_MOUSE,25.91,28,9,7,N-ethylmaleimide on cysteines,4.15E+06,2.57E+06,2.08E+06,1.19E+06,1.22E+06,1.95E+06,4.82E+06,4.67E+06,5.70E+06,4.28E+06,3.16E+06,6.79E+06,1.00:0.62:0.50:0.29:0.30:0.47:1.16:1.13:1.37:1.03:0.76:1.64,2.19E+06,4.90E+06,1.00:2.23,2.24,1.16,39652,Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1
