Accession,Significance,-10lgP,Intensity Young,Intensity Aged,Ratio Young,Ratio Aged,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
tr|A6ZI44|A6ZI44_MOUSE,1.67,364.87,1.35E+03,1.34E+03,1,0.99,20,36,4,TMT6plex; Oxidation (M); Deamidation (NQ),45120,Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=1 SV=1
P14873|MAP1B_MOUSE,1.36,363.69,3.03E+03,2.84E+03,1,0.94,38,75,68,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),270252,Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2
Q9ERD7|TBB3_MOUSE,2.63,363.63,2.54E+03,2.71E+03,1,1.07,34,56,10,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),50419,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1
P16858|G3P_MOUSE,144.49,359.85,119.27,760.578,1,6.38,8,49,4,Carbamidomethylation; TMT6plex,35810,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2
tr|A0A0A0MQF6|A0A0A0MQF6_MOUSE,144.49,359.85,119.27,760.578,1,6.38,7,49,4,Carbamidomethylation; TMT6plex,38653,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=1
Q99KI0|ACON_MOUSE,2.85,359.07,8.31E+03,7.97E+03,1,0.96,58,49,45,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),85464,Aconitate hydratase  mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1
P63260|ACTG_MOUSE,0.7,356.71,3.30E+03,3.21E+03,1,0.97,25,41,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1
P50516|VATA_MOUSE,2.84,355.88,6.90E+03,6.71E+03,1,0.97,72,45,42,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),68326,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2
O88935|SYN1_MOUSE,5.32,355.7,7.41E+03,6.52E+03,1,0.88,43,24,20,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),74097,Synapsin-1 OS=Mus musculus GN=Syn1 PE=1 SV=2
Q9R0K7|AT2B2_MOUSE,5.7,354.45,117.962,125.054,1,1.06,4,42,3,TMT6plex,132587,Plasma membrane calcium-transporting ATPase 2 OS=Mus musculus GN=Atp2b2 PE=1 SV=2
tr|Q3UHH0|Q3UHH0_MOUSE,5.7,354.45,117.962,125.054,1,1.06,4,42,3,TMT6plex,132106,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1
tr|F8WHB1|F8WHB1_MOUSE,5.7,354.45,117.962,125.054,1,1.06,4,42,3,TMT6plex,136783,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1
Q04447|KCRB_MOUSE,3.08,351.84,1.58E+04,1.66E+04,1,1.05,70,34,28,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),42713,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1
tr|G3UVV4|G3UVV4_MOUSE,0.93,351.21,5.40E+03,5.45E+03,1,1.01,43,52,41,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),101873,Hexokinase 1  isoform CRA_f OS=Mus musculus GN=Hk1 PE=1 SV=1
P17710|HXK1_MOUSE,0.93,351.21,5.40E+03,5.45E+03,1,1.01,41,52,41,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),108303,Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3
P17182|ENOA_MOUSE,1.79,350.23,1.32E+04,1.35E+04,1,1.02,65,42,29,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47141,Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3
tr|S4R1W1|S4R1W1_MOUSE,1.25,350.08,449.819,453.783,1,1.01,5,42,1,Carbamidomethylation; TMT6plex; Deamidation (NQ),35812,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gm3839 PE=1 SV=1
Q61879|MYH10_MOUSE,2.08,348.52,1.01E+03,919.419,1,0.91,24,57,42,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),228994,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2
tr|Q3UH59|Q3UH59_MOUSE,2.08,348.52,1.01E+03,919.419,1,0.91,24,57,42,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),233447,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=1
Q7TSJ2|MAP6_MOUSE,0.31,348.07,2.77E+03,2.75E+03,1,0.99,65,52,51,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),96450,Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2
tr|A0A0J9YUN4|A0A0J9YUN4_MOUSE,1.03,347.41,455.88,475.409,1,1.04,4,55,3,TMT6plex,97295,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=1
tr|S4R1C4|S4R1C4_MOUSE,1.67,346.36,26.416,24.527,1,0.93,2,40,3,TMT6plex,127302,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1
P46460|NSF_MOUSE,0.97,345.71,7.16E+03,7.18E+03,1,1.00,62,57,54,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),82613,Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2
P52480|KPYM_MOUSE,1.2,344.47,1.20E+04,1.19E+04,1,0.99,63,38,34,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),57845,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4
P11499|HS90B_MOUSE,3.71,342.74,3.15E+03,2.76E+03,1,0.88,29,47,19,Carbamidomethylation; TMT6plex; Oxidation (M),83281,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3
P39053|DYN1_MOUSE,3.98,341.18,89.504,115.339,1,1.29,2,53,2,TMT6plex,97803,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2
Q9JJZ2|TBA8_MOUSE,4.15,339.05,41.985,44.893,1,1.07,8,31,3,TMT6plex,50052,Tubulin alpha-8 chain OS=Mus musculus GN=Tuba8 PE=1 SV=1
P07901|HS90A_MOUSE,3.49,339.01,5.05E+03,4.42E+03,1,0.88,35,52,26,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),84788,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4
P62814|VATB2_MOUSE,0.34,338.89,4.00E+03,4.06E+03,1,1.02,60,25,25,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),56551,V-type proton ATPase subunit B  brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1
tr|A0A0U1RNJ1|A0A0U1RNJ1_MOUSE,1.65,337.54,1.18E+03,1.15E+03,1,0.97,26,57,52,Carbamidomethylation; TMT6plex; Deamidation (NQ),272226,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=1
P19096|FAS_MOUSE,1.65,337.54,1.18E+03,1.15E+03,1,0.97,26,57,52,Carbamidomethylation; TMT6plex; Deamidation (NQ),272426,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2
P12960|CNTN1_MOUSE,0.31,335.52,2.62E+03,2.62E+03,1,1.00,50,43,40,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),113388,Contactin-1 OS=Mus musculus GN=Cntn1 PE=1 SV=1
tr|A1BN54|A1BN54_MOUSE,4.47,334.87,1.40E+03,1.22E+03,1,0.87,38,43,26,Carbamidomethylation; TMT6plex; Oxidation (M),102720,Alpha actinin 1a OS=Mus musculus GN=Actn1 PE=1 SV=1
tr|A0A0R4J036|A0A0R4J036_MOUSE,7.85,333.13,3.90E+03,4.03E+03,1,1.03,45,44,37,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),95941,Neurofilament 3  medium OS=Mus musculus GN=Nefm PE=1 SV=1
Q8BYI9|TENR_MOUSE,1.2,332.83,1.84E+03,1.88E+03,1,1.02,35,37,35,Carbamidomethylation; TMT6plex; Deamidation (NQ),149589,Tenascin-R OS=Mus musculus GN=Tnr PE=1 SV=2
P17183|ENOG_MOUSE,2.55,331.01,4.11E+03,4.37E+03,1,1.06,55,29,18,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47297,Gamma-enolase OS=Mus musculus GN=Eno2 PE=1 SV=2
G5E829|AT2B1_MOUSE,1.46,330.67,859.599,821.237,1,0.96,15,40,15,Carbamidomethylation; TMT6plex; Deamidation (NQ),134747,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus GN=Atp2b1 PE=1 SV=1
Q9QYX7|PCLO_MOUSE,1.6,330.59,560.602,516.214,1,0.92,8,39,31,TMT6plex; Deamidation (NQ),550842,Protein piccolo OS=Mus musculus GN=Pclo PE=1 SV=4
Q9Z1B3|PLCB1_MOUSE,0.93,330.59,1.72E+03,1.68E+03,1,0.98,43,50,45,Carbamidomethylation; TMT6plex,138396,1-phosphatidylinositol 4 5-bisphosphate phosphodiesterase beta-1 OS=Mus musculus GN=Plcb1 PE=1 SV=2
P50396|GDIA_MOUSE,2.41,329.61,2.38E+03,2.44E+03,1,1.03,57,29,20,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),50522,Rab GDP dissociation inhibitor alpha OS=Mus musculus GN=Gdi1 PE=1 SV=3
Q02053|UBA1_MOUSE,1.77,329.42,1.49E+03,1.45E+03,1,0.97,34,34,24,Carbamidomethylation; TMT6plex; Oxidation (M),117809,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1
Q91VD9|NDUS1_MOUSE,0.29,328.66,2.57E+03,2.57E+03,1,1.00,50,37,33,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),79777,NADH-ubiquinone oxidoreductase 75 kDa subunit  mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2
Q922F4|TBB6_MOUSE,0.67,328.35,314.996,330.502,1,1.05,18,51,6,TMT6plex; Oxidation (M); Deamidation (NQ),50090,Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1
P47857|PFKAM_MOUSE,0.72,326.95,1.32E+03,1.32E+03,1,1.00,41,32,26,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),85269,ATP-dependent 6-phosphofructokinase  muscle type OS=Mus musculus GN=Pfkm PE=1 SV=3
Q8CAQ8|MIC60_MOUSE,2.06,326.76,8.454,7.941,1,0.94,1,45,1,TMT6plex,83900,MICOS complex subunit Mic60 OS=Mus musculus GN=Immt PE=1 SV=1
P09411|PGK1_MOUSE,3.46,326.68,6.55E+03,6.78E+03,1,1.04,65,34,23,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),44550,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4
tr|E9Q7S0|E9Q7S0_MOUSE,1.1,326.67,1.37E+03,1.37E+03,1,1.00,34,47,40,Carbamidomethylation; TMT6plex,144595,Synaptojanin-1 OS=Mus musculus GN=Synj1 PE=1 SV=1
tr|F7BQW7|F7BQW7_MOUSE,1.1,326.67,1.37E+03,1.37E+03,1,1.00,34,47,40,Carbamidomethylation; TMT6plex,146509,Synaptojanin-1 (Fragment) OS=Mus musculus GN=Synj1 PE=1 SV=1
Q8CHC4|SYNJ1_MOUSE,1.1,326.67,1.37E+03,1.37E+03,1,1.00,28,47,40,Carbamidomethylation; TMT6plex,172616,Synaptojanin-1 OS=Mus musculus GN=Synj1 PE=1 SV=3
tr|E9Q800|E9Q800_MOUSE,14.7,325.24,11.326,18.989,1,1.68,2,45,1,TMT6plex,75601,MICOS complex subunit MIC60 OS=Mus musculus GN=Immt PE=1 SV=1
P05063|ALDOC_MOUSE,0.97,324.33,2.92E+03,3.00E+03,1,1.03,71,34,25,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),39395,Fructose-bisphosphate aldolase C OS=Mus musculus GN=Aldoc PE=1 SV=4
P07724|ALBU_MOUSE,7.48,323.64,3.87E+03,4.18E+03,1,1.08,54,33,29,Carbamidomethylation; TMT6plex; Oxidation (M),68693,Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3
Q8BH59|CMC1_MOUSE,1.18,323.48,1.53E+03,1.55E+03,1,1.01,46,34,26,Carbamidomethylation; TMT6plex; Deamidation (NQ),74570,Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1
P05201|AATC_MOUSE,2.35,323.28,4.15E+03,4.51E+03,1,1.09,78,32,30,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),46248,Aspartate aminotransferase  cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3
Q01853|TERA_MOUSE,1.68,322.49,2.62E+03,2.43E+03,1,0.93,49,47,37,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4
tr|Q3U2G2|Q3U2G2_MOUSE,2.47,321.91,2.13E+03,1.92E+03,1,0.90,64,49,44,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),94209,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1
Q8CI94|PYGB_MOUSE,0.79,320.74,1.90E+03,1.98E+03,1,1.04,42,44,33,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),96730,Glycogen phosphorylase  brain form OS=Mus musculus GN=Pygb PE=1 SV=3
P05202|AATM_MOUSE,2.08,320.14,8.48E+03,8.85E+03,1,1.04,71,33,32,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),47411,Aspartate aminotransferase  mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1
Q64332|SYN2_MOUSE,2.81,319.35,2.25E+03,2.34E+03,1,1.04,53,27,22,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),63373,Synapsin-2 OS=Mus musculus GN=Syn2 PE=1 SV=2
Q61598|GDIB_MOUSE,5.08,318.74,1.64E+03,1.43E+03,1,0.87,64,33,25,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),50537,Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1
Q60597|ODO1_MOUSE,0.65,318.68,925.383,918.188,1,0.99,38,40,30,Carbamidomethylation; TMT6plex; Deamidation (NQ),116449,2-oxoglutarate dehydrogenase  mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3
tr|A0A0A6YY91|A0A0A6YY91_MOUSE,5.62,318.58,244.155,180.511,1,0.74,2,41,2,TMT6plex,116375,Neural cell adhesion molecule 1 (Fragment) OS=Mus musculus GN=Ncam1 PE=1 SV=1
tr|A6ZI46|A6ZI46_MOUSE,1.57,317.5,16.526,18.051,1,1.09,7,28,1,TMT6plex; Deamidation (NQ),45344,Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoart1 PE=1 SV=1
tr|D3YZ62|D3YZ62_MOUSE,1.97,317.31,1.22E+03,1.16E+03,1,0.95,24,53,40,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),212334,Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=1
tr|D3Z4J3|D3Z4J3_MOUSE,1.97,317.31,1.22E+03,1.16E+03,1,0.95,24,53,40,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),215523,Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=1
Q9DBG3|AP2B1_MOUSE,0.87,317.18,2.04E+03,2.05E+03,1,1.00,29,41,22,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),104583,AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=1 SV=1
P46660|AINX_MOUSE,10.6,317.14,3.17E+03,3.65E+03,1,1.15,52,34,25,Carbamidomethylation; TMT6plex,55383,Alpha-internexin OS=Mus musculus GN=Ina PE=1 SV=3
Q80TJ1|CAPS1_MOUSE,0.62,317.05,1.05E+03,1.04E+03,1,0.99,26,40,29,Carbamidomethylation; TMT6plex; Deamidation (NQ),153112,Calcium-dependent secretion activator 1 OS=Mus musculus GN=Cadps PE=1 SV=3
P08249|MDHM_MOUSE,1.69,316.67,1.19E+04,1.24E+04,1,1.04,72,22,21,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),35611,Malate dehydrogenase  mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3
tr|Q6P1J1|Q6P1J1_MOUSE,1.04,316.59,86.154,85.538,1,0.99,4,33,3,TMT6plex,74221,Crmp1 protein OS=Mus musculus GN=Crmp1 PE=1 SV=1
P58252|EF2_MOUSE,1.33,316.5,1.63E+03,1.53E+03,1,0.94,43,32,32,Carbamidomethylation; TMT6plex; Deamidation (NQ),95314,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2
tr|E9Q1G8|E9Q1G8_MOUSE,0.8,316.02,123.066,130.973,1,1.06,3,28,1,Carbamidomethylation; TMT6plex; Deamidation (NQ),50649,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=2
tr|B1AQX9|B1AQX9_MOUSE,1.81,316,114.484,103.53,1,0.90,5,36,4,TMT6plex,130609,SRC kinase-signaling inhibitor 1 OS=Mus musculus GN=Srcin1 PE=1 SV=1
P26443|DHE3_MOUSE,2.19,315.22,5.56E+03,6.06E+03,1,1.09,60,35,33,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),61337,Glutamate dehydrogenase 1  mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1
P63038|CH60_MOUSE,2.57,314.94,3.85E+03,3.50E+03,1,0.91,55,34,29,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),60956,60 kDa heat shock protein  mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1
P17427|AP2A2_MOUSE,0.75,314.77,1.07E+03,1.04E+03,1,0.97,30,39,23,Carbamidomethylation; TMT6plex; Oxidation (M),104016,AP-2 complex subunit alpha-2 OS=Mus musculus GN=Ap2a2 PE=1 SV=2
Q11011|PSA_MOUSE,1.87,313.78,669.919,705.985,1,1.05,16,35,13,Carbamidomethylation; TMT6plex,103325,Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2
P18872|GNAO_MOUSE,10.2,312.68,8.24E+03,8.56E+03,1,1.04,53,24,21,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),40085,Guanine nucleotide-binding protein G(o) subunit alpha OS=Mus musculus GN=Gnao1 PE=1 SV=3
P17426|AP2A1_MOUSE,0.2,312.44,1.96E+03,1.97E+03,1,1.01,37,45,31,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),107664,AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 PE=1 SV=1
F6SEU4|SYGP1_MOUSE,1.55,312.39,7.593,9.465,1,1.25,1,41,1,TMT6plex; Deamidation (NQ),148238,Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus GN=Syngap1 PE=1 SV=2
