Supplemental Table 2:  Old vs young brain and muscle nuclei proteins,,,,
Uniprot ID,Gene name,Protein name,log2 fold change,-log 10 t.test
O08553,Dpysl2,Dihydropyrimidinase-related protein 2,-0.380303976,0.307896354
Q91ZZ3,Sncb,Beta-synuclein,-0.378608493,0.511419768
O54724,Ptrf,Polymerase I and transcript release factor,-0.37279952,0.161718399
P68372,Tubb4b,Tubulin beta-4B chain,-0.369676493,0.238393071
E9Q1G8,7-Sep,"Isoform of O55131, Septin-7",-0.368328524,0.170065527
P70288,Hdac2,Histone deacetylase 2,-0.361572537,0.451096848
P56480,Atp5b,"ATP synthase subunit beta, mitochondrial",-0.361213599,0.352916666
Q6NZF1,Zc3h11a,Zinc finger CCCH domain-containing protein 11A,-0.361051293,0.215046185
E9PZB4,Tnnt1,"Isoform of O88346, Troponin T, slow skeletal muscle",-0.356401633,0.325164016
P60202,Plp1,Myelin proteolipid protein,-0.355983564,0.145238469
Q8BFZ9,Erlin2,Erlin-2,-0.355201618,0.436100945
Q03265,Atp5a1,"ATP synthase subunit alpha, mitochondrial",-0.355176898,0.128281537
P62874,Gnb1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,-0.355025098,0.443457118
A2A6I3,Tnnt3,"Isoform of Q9QZ47, Troponin T, fast skeletal muscle",-0.353225209,0.093221426
Q9JLV1,Bag3,BAG family molecular chaperone regulator 3,-0.345207072,0.509013429
A0A0A6YVU8,Gm9774,MCG119397,-0.340689877,0.208295138
P83917,Cbx1,Chromobox protein homolog 1,-0.339697495,0.253945316
Q9Z1X4,Ilf3,Interleukin enhancer-binding factor 3,-0.334250836,0.111395282
A2AUM6,Srp14,"Isoform of P16254, Signal recognition particle 14 kDa protein",-0.333294155,0.211318292
Q6A068,Cdc5l,Cell division cycle 5-like protein,-0.332812548,0.224286533
B1ASE2,Atp5h,"Isoform of Q9DCX2, ATP synthase subunit d, mitochondrial",-0.33009832,0.151270042
Q68FD5,Cltc,Clathrin heavy chain 1,-0.328100449,0.453031889
P62751,Rpl23a,60S ribosomal protein L23a,-0.326841602,0.139934743
P06837,Gap43,Neuromodulin,-0.325989942,0.827287573
P11798,Camk2a,Calcium/calmodulin-dependent protein kinase type II subunit alpha,-0.323413934,0.160064335
Q3U4F0,Sfxn3,"Isoform of Q91V61, Sideroflexin-3",-0.32236725,0.363849289
P97450,Atp5j,"ATP synthase-coupling factor 6, mitochondrial",-0.317874562,0.210494259
Q9CQS8,Sec61b,Protein transport protein Sec61 subunit beta,-0.31460469,0.154571504
Q7TQD2,Tppp,Tubulin polymerization-promoting protein,-0.311129047,0.117989749
D3Z0M9,Ddx23,"MCG18410, isoform CRA_a",-0.310063463,0.207843739
Q8C570,Rae1,mRNA export factor,-0.307489271,0.13849895
G3UXF3,Cct4,"Isoform of P80315, T-complex protein 1 subunit delta",-0.303260714,0.780403549
Q91VR8,Brk1,Protein BRICK1,-0.300263196,0.269192116
O88935,Syn1,Synapsin-1,-0.294607474,0.265622222
P52480,Pkm,Pyruvate kinase PKM,-0.288750881,0.215872904
S4R2L4,Rsrc2,"Isoform of A2RTL5, Arginine/serine-rich coiled-coil protein 2",-0.28836293,0.245527862
Q3UEB3,Puf60,Poly(U)-binding-splicing factor PUF60,-0.287939818,0.237247149
A2A9S2,Elavl4,"Isoform of Q61701, ELAV-like protein",-0.287319339,0.38117785
J3QQ16,Col6a3,"Isoform of E9PWQ3, Protein Col6a3",-0.28627695,0.281385018
Q06185,Atp5i,"ATP synthase subunit e, mitochondrial",-0.284382595,0.278735815
Q922F4,Tubb6,Tubulin beta-6 chain,-0.281309769,0.318857111
Q91VA7,Idh3b,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",-0.279415213,0.293787249
P27773,Pdia3,Protein disulfide-isomerase A3,-0.278132177,0.176189002
Z4YKF8,Tnnt3,"Isoform of Q9QZ47, Troponin T, fast skeletal muscle",-0.276513699,0.230950945
G5E8G0,Hnrnpd,"Isoform of Q60668, Heterogeneous nuclear ribonucleoprotein D, isoform CRA_b",-0.264215417,0.41407731
Q3UJB0,Sf3b2,Protein Sf3b2,-0.261829988,0.118580936
B0V2N8,Anxa2,"Isoform of P07356, Annexin",-0.255578916,0.263367531
Q9JMD0,Znf207,BUB3-interacting and GLEBS motif-containing protein ZNF207,-0.253478802,0.231197355
A2AJ72,Fubp3,"Isoform of Q3TIX6, MCG130458",-0.253115498,0.309317206
I7HIF3,Atp1b2,"Isoform of P14231, ATPase, Na+/K+ transporting, beta 2 polypeptide",-0.252084911,0.230457432
P11531,Dmd,Dystrophin,-0.248937459,0.434212518
P50518,Atp6v1e1,V-type proton ATPase subunit E 1,-0.247631996,0.149671434
O08599,Stxbp1,Syntaxin-binding protein 1,-0.246857834,0.193805629
O54962,Banf1,Barrier-to-autointegration factor,-0.243933408,0.110714032
Q7TMF3,Ndufa12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,-0.241982828,0.190335304
A0A087WQF8,Ktn1,"Isoform of Q61595, Kinectin",-0.241021056,0.208926769
Q8VC60,Glb1l,Beta-galactosidase-1-like protein,-0.24093034,0.073669972
Q9CPP6,Ndufa5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,-0.239988535,0.239665709
E9Q805,Farp1,"Isoform of F8VPU2, FERM, RhoGEF and pleckstrin domain-containing protein 1",-0.239835476,0.165042326
P38647,Hspa9,"Stress-70 protein, mitochondrial",-0.238665225,0.251604821
P31001,Des,Desmin,-0.236858825,0.283310239
Q8BW22,Ss18l1,Calcium-responsive transactivator,-0.234978834,0.126837824
P04370,Mbp,Myelin basic protein,-0.234950394,0.166561935
P56379,Mp68,6.8 kDa mitochondrial proteolipid,-0.234067186,0.10689378
Q8BJ71,Nup93,Nuclear pore complex protein Nup93,-0.230544089,0.173977148
E9Q507,Gon4l,"Isoform of Q9DB00, GON-4-like protein",-0.229968756,0.218022941
Q9CY58,Serbp1,Plasminogen activator inhibitor 1 RNA-binding protein,-0.227767459,0.159748191
Q61495,Dsg1a,Desmoglein-1-alpha,-0.22680255,0.214456579
P16546,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",-0.225335722,0.252465474
Q3UKJ7,Smu1,WD40 repeat-containing protein SMU1,-0.224643317,0.184514645
Q91XU0,Wrnip1,ATPase WRNIP1,-0.221208516,0.175000132
P18760,Cfl1,Cofilin-1,-0.219575785,0.055129517
Q9DAW6,Prpf4,U4/U6 small nuclear ribonucleoprotein Prp4,-0.216011924,0.1393261
Q61361,Bcan,Brevican core protein,-0.214238354,0.097124186
D3YU50,Mybpc1,Protein Mybpc1,-0.212537467,0.205621561
Q3UB74,Tbrg1,Transforming growth factor beta regulator 1,-0.211346881,0.227276851
E9Q8K5,Ttn,"Isoform of A2ASS6, Titin",-0.210306158,0.070845423
P62137,Ppp1ca,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,-0.208075673,0.21259643
P12970,Rpl7a,60S ribosomal protein L7a,-0.206550435,0.16123874
G5E8J6,Hrc,"Histidine rich calcium binding protein, isoform CRA_a",-0.204283692,0.059220583
P20065,Tmsb4x,Thymosin beta-4,-0.203377582,0.217442596
P43024,Cox6a1,"Cytochrome c oxidase subunit 6A1, mitochondrial",-0.200850387,0.076187153
P60867,Rps20,40S ribosomal protein S20,-0.195672124,0.094335542
Q60597,Ogdh,"2-oxoglutarate dehydrogenase, mitochondrial",-0.192626809,0.146118151
Q61164,Ctcf,Transcriptional repressor CTCF,-0.19199467,0.252786517
Q8CI43,Myl6b,Myosin light chain 6B,-0.191267529,0.156877151
P17182,Eno1,Alpha-enolase,-0.19112757,0.078134993
G3UXT7,Fus,"Isoform of P56959, RNA-binding protein FUS",-0.190811763,0.199276275
P63017,Hspa8,Heat shock cognate 71 kDa protein,-0.188596266,0.123666693
D3Z1T4,Gnb2,"Isoform of P62880, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",-0.185599302,0.072188164
A0A0A6YXQ7,Prdx6,"Isoform of O08709, Peroxiredoxin-6",-0.182066962,0.11877301
E9Q317,Gm10094,"Isoform of O55128, Histone deacetylase complex subunit SAP18",-0.175593932,0.071375722
O55022,Pgrmc1,Membrane-associated progesterone receptor component 1,-0.172391774,0.18228705
Q8CC35,Synpo,Synaptopodin,-0.171238918,0.143561574
Q8BL66,Eea1,Early endosome antigen 1,-0.170970772,0.147762036
Q99JF8,Psip1,PC4 and SFRS1-interacting protein,-0.16991976,0.149659629
Q0P678,Zc3h18,Zinc finger CCCH domain-containing protein 18,-0.16915175,0.202477033
Q62347,Creb1,"Isoform of Q01147, Cyclic AMP-responsive element-binding protein 1",-0.167826648,0.094777429
Q9CPQ1,Cox6c,Cytochrome c oxidase subunit 6C,-0.167684033,0.102509607
Q5RL57,Akap8l,"Isoform of Q9R0L7, A kinase (PRKA) anchor protein 8-like",-0.165762789,0.121723406
Q91Z31,Ptbp2,Polypyrimidine tract-binding protein 2,-0.163547038,0.071184641
Q9JJZ2,Tuba8,Tubulin alpha-8 chain,-0.159848107,0.185780562
Q99M28,Rnps1,RNA-binding protein with serine-rich domain 1,-0.157094222,0.043903656
O89104,Sypl2,Synaptophysin-like protein 2,-0.155527342,0.097198032
Q99KP6,Prpf19,Pre-mRNA-processing factor 19,-0.149390199,0.025711072
P63260,Actg1,"Actin, cytoplasmic 2",-0.148276823,0.060761182
G3UVV4,Hk1,"Isoform of P17710, Hexokinase",-0.148090794,0.156956115
Q9CQX8,Mrps36,"28S ribosomal protein S36, mitochondrial",-0.148002383,0.107060777
P39053,Dnm1,Dynamin-1,-0.146628469,0.07830736
Q01853,Vcp,Transitional endoplasmic reticulum ATPase,-0.144324952,0.19866574
Q00547,Hmmr,Hyaluronan mediated motility receptor,-0.143129484,0.112605299
E9QAY6,Immt,"Isoform of Q8CAQ8, MICOS complex subunit Mic60",-0.142992205,0.132041819
G5E8R0,Tpm1,"Isoform of P58771, Tropomyosin 1, alpha, isoform CRA_i",-0.141583189,0.094570401
Q9JLC6,Tef,Thyrotroph embryonic factor,-0.137252247,0.120848471
P61264,Stx1b,Syntaxin-1B,-0.135779185,0.123641858
Q91XL9,Osbpl1a,Oxysterol-binding protein-related protein 1,-0.129037218,0.117109827
Q8CIE6,Copa,Coatomer subunit alpha,-0.127769338,0.171460277
P14152,Mdh1,"Malate dehydrogenase, cytoplasmic",-0.127226934,0.07779603
B1AR28,Acadvl,"Isoform of P50544, Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial",-0.12414057,0.138770007
Q9DCC5,Cbx3,"Isoform of P23198, Cbx3 protein",-0.121822965,0.069975741
Q7TN99,Cpeb3,Cytoplasmic polyadenylation element-binding protein 3,-0.120835903,0.130090395
Q8CBW3,Abi1,Abl interactor 1,-0.118697578,0.11105345
O88737,Bsn,Protein bassoon,-0.116918478,0.123418166
Q9D824,Fip1l1,Pre-mRNA 3'-end-processing factor FIP1,-0.113086292,0.066555977
P43275,Hist1h1a,Histone H1.1,-0.112405122,0.049625874
P62889,Rpl30,60S ribosomal protein L30,-0.110961416,0.058230012
Q6NZN0,Rbm26,RNA-binding protein 26,-0.105211924,0.072049393
A2A6H1,Lasp1,"Isoform of Q61792, LIM and SH3 domain protein 1",-0.104312783,0.103642967
Q29ZQ5,Mog,"Isoform of Q61885, Myelin-oligodendrocyte glycoprotein",-0.104094305,0.081287302
Q8K2B3,Sdha,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",-0.103399278,0.098512804
E9Q7G0,Numa1,Protein Numa1,-0.101370592,0.01591049
P63044,Vamp2,Vesicle-associated membrane protein 2,-0.09662005,0.05508759
P05063,Aldoc,Fructose-bisphosphate aldolase C,-0.095205425,0.072537481
F6V9F1,Pcmt1,"Isoform of P23506, Protein-L-isoaspartate O-methyltransferase",-0.094728181,0.136798575
P26883,Fkbp1a,Peptidyl-prolyl cis-trans isomerase FKBP1A,-0.093475569,0.144892716
E9PXC0,Srp54c,"Isoform of P14576, Protein Srp54b",-0.093082377,0.119310301
P14115,Rpl27a,60S ribosomal protein L27a,-0.093072743,0.076086751
Q5SU73,Coil,Coilin,-0.085891009,0.08371605
Q9D1M4,Eef1e1,Eukaryotic translation elongation factor 1 epsilon-1,-0.085665504,0.100423853
P97351,Rps3a,40S ribosomal protein S3a,-0.08544816,0.051542971
Q61142,Spin1,Spindlin-1,-0.084189259,0.113206649
B1ARA3,Rpl26,"Isoform of P61255, 60S ribosomal protein L26",-0.083915384,0.015961001
Q9CQ75,Ndufa2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,-0.079320238,0.069713074
Q8JZX4,Rbm17,Splicing factor 45,-0.079313678,0.022689839
Q8CCK0,H2afy2,Core histone macro-H2A.2,-0.076519755,0.028851488
P07310,Ckm,Creatine kinase M-type,-0.075662396,0.037132559
Q9Z130,Hnrnpdl,Heterogeneous nuclear ribonucleoprotein D-like,-0.071195255,0.031481286
Q9JIF9,Myot,Myotilin,-0.070968503,0.031946185
Q8BL97,Srsf7,Serine/arginine-rich splicing factor 7,-0.070817362,0.016518794
P68033,Actc1,"Actin, alpha cardiac muscle 1",-0.070364369,0.062266801
G5E883,Snrpa1,"Isoform of P57784, Small nuclear ribonucleoprotein polypeptide A', isoform CRA_a",-0.063728574,0.038681962
A0A087WSI9,Snap91,"Isoform of Q61548, Clathrin coat assembly protein AP180",-0.062784609,0.039289477
Q9D8N0,Eef1g,Elongation factor 1-gamma,-0.060792007,0.099355592
Q9CWZ7,Napg,Gamma-soluble NSF attachment protein,-0.060782037,0.006368161
Q04857,Col6a1,Collagen alpha-1(VI) chain,-0.060539246,0.043219891
Q61686,Cbx5,Chromobox protein homolog 5,-0.059555364,0.062261834
