Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00108189;IPI00880795,-0.03,,-0.02,-0.02,0,5,5,5,48.4,3.83E-141,13.8,11,+,54679956,Hint1;Hint;Pkci;Pkci1;Prkcnh1;RP24-84L18.1-001;mCG_1442,P70349;B1AZK3,"Histidine triad nucleotide-binding protein 1;Adenosine 5'-monophosphoramidase;Protein kinase C inhibitor 1;Protein kinase C-interacting protein 1;Histidine triad nucleotide binding protein;MCG1442, isoform CRA_b"
IPI00108190,-1.17,,,-0.01,-4.36,6,6,6,15,7.42E-19,53.9,9,-,71352154,Gcom1;mCG_7631,Q3UIJ9;B2RT00,"GRINL1A complex locus protein 1;GRINL1A complex locus;MCG7631, isoform CRA_a"
IPI00108206;IPI00224370,,-0.76,,,,4,4,4,3.1,9.83E-08,193.9,,,,Mela;gag-pol;gag;pol;1300007C21Rik,P70355;Q1KYL8;Q1KYL9;Q1KYM1;Q1KYM2;Q60588;Q61918;Q6T3U6;Q8BFR9;Q8C1W7;Q6YIY0,Gag-Pol polyprotein;Gag polyprotein pr65;Gag-pro-pol polyprotein;Gag protein;Pol protein;Reverse transcriptase;Putative uncharacterized protein
IPI00108330;IPI00648948,-0.08,-0.18,-0.04,,-0.98,8,8,8,65.2,2.29E-108,18.6,11,+,16951888,Cnrip1;RP23-348N2.3-002;1500041B16Rik;mCG_7643,Q5M8N0;Q5F272;Q9CW19,"CB1 cannabinoid receptor-interacting protein 1;Cannabinoid receptor interacting protein 1;Putative uncharacterized protein;RIKEN cDNA 1500041B16, isoform CRA_b"
IPI00108337,,,,,,3,1,1,34,4.22E-07,17.8,,,,,,
IPI00108372;IPI00928019;IPI00761376;IPI00928160,0.04,0.1,0.78,,-0.07,15,15,15,16.4,6.93E-110,135.7,13,-,92023923,Rasgrf2;Grf2,P70392,Ras-specific guanine nucleotide-releasing factor 2;Ras guanine nucleotide exchange factor 2
IPI00108388;IPI00798468,0.03,0,-0.05,0.07,0.1,34,34,25,16.7,0.00E+00,290.5,X,+,12648624,Usp9x;Fafl;Fam;RP23-216M21.1-001,P70398;A2AD18;Q4FE56;Q8BR77;Q8BS89;Q8C7T5,"Probable ubiquitin carboxyl-terminal hydrolase FAF-X;Ubiquitin thioesterase FAF-X;Ubiquitin-specific-processing protease FAF-X;Deubiquitinating enzyme FAF-X;Fat facets protein-related, X-linked;Ubiquitin-specific protease 9, X chromosome;Ubiquitin carboxyl-terminal hydrolase FAM;Fat facets homolog;Ubiquitin carboxyl-terminal hydrolase;Putative uncharacterized protein"
IPI00108410,-0.09,-0.02,-0.17,0.02,-0.09,7,7,7,28,1.05E-55,40.7,19,-,32747050,Atad1,Q9D5T0;Q9D9C1,ATPase family AAA domain-containing protein 1;Putative uncharacterized protein
IPI00108650;IPI00886061,,,,,,1,1,1,3,2.34E-03,83.8,14,-,50301343,,Q8BT18,Uncharacterized protein C14orf37 homolog
IPI00108676;IPI00409166;IPI00881649,,,,,,1,1,1,3.9,3.85E-04,71.4,13,-,73817195,Slc6a19;B0at1;mCG_20945;NT2,Q9D687;Q3KN89;Q80Z27,Sodium-dependent neutral amino acid transporter B(0);System B(0) neutral amino acid transporter;B(0)AT1;Solute carrier family 6 member 19;Transporter
IPI00108685;IPI00336550;IPI00405703,-0.05,-0.07,0.22,,,7,7,6,14.2,4.65E-131,93.7,2,+,130276014,Ptpra;Lrp;Ptpa;RP23-100C5.1-002;mCG_18495;RP23-100C5.1-001,P18052-1;P18052;P18052-2;A2AHF2;Q3TRY9;Q91V35,"Receptor-type tyrosine-protein phosphatase alpha;LCA-related phosphatase;PTPTY-28;Protein tyrosine phosphatase, receptor type, A;Protein tyrosine phosphatase, receptor type, A, isoform CRA_a;Putative uncharacterized protein;Protein tyrosin phosphatase receptor type alpha;Protein-tyrosine phosphatase alpha;Ptpra protein;Ptpra"
IPI00108774;IPI00890867;IPI00475041,0,0.01,-0.08,-0.29,0.07,9,9,6,20,3.74E-125,43.5,4,+,55362937,Rad23b;Mhr23b;RP23-120N11.1-001,P54728;Q3TJ52;Q3TUA4;Q3U041;Q3UQN3;Q6NVC3,UV excision repair protein RAD23 homolog B;XP-C repair-complementing complex 58 kDa protein;Putative uncharacterized protein;RAD23b homolog (S. cerevisiae);Rad23b protein
IPI00108780;IPI00622911,0.05,-0.04,-0.12,0.02,0.11,23,18,18,34.8,0.00E+00,107.7,7,-,52155755,Ap2a1;Adtaa;Clapa1,P17426-1;P17426;P17426-2,AP-2 complex subunit alpha-1;Adapter-related protein complex 2 alpha-1 subunit;Adaptor protein complex AP-2 subunit alpha-1;Alpha1-adaptin;Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit;Alpha-adaptin A;Clathrin assembly protein complex 2 alpha-A large chain;100 kDa coated vesicle protein A
IPI00108783;IPI00223398;IPI00223399;IPI00223400;IPI00649393,0.01,0.07,0.08,,-0.19,30,30,30,12.4,3.02E-148,319.6,11,+,79153394,Nf1;RP23-188A3.1-001;RP23-188A3.1-003,Q04690-1;Q04690;B1AQE7;Q04690-2;B1AQE8;Q3TYD2;Q8CCE8;Q04690-3;Q04690-4,Neurofibromin;Neurofibromatosis-related protein NF-1;Neurofibromatosis 1;Putative uncharacterized protein
IPI00108791;IPI00420245,,-0.32,,,,2,2,2,3.7,3.96E-07,73.8,4,+,109349299,Faf1;RP23-113G7.1-001;mCG_141641,P54731;Q6P1F8,FAS-associated factor 1;Fas-associated factor 1
IPI00108844;IPI00828820,,,-0.06,,0.1,2,2,2,14.4,3.86E-05,31.2,6,+,122258738,M6pr;46mpr;mCG_132197;M6pr-ps;ORF 2,P24668;Q3UF03;Q3UKQ5;A2NWD6,"Cation-dependent mannose-6-phosphate receptor;46 kDa mannose 6-phosphate receptor;MPR 46;Putative uncharacterized protein;Mannose-6-phosphate receptor, cation dependent, isoform CRA_a;ORF 2 protein"
IPI00108937;IPI00944181;IPI00856668,,,,0.02,,2,2,2,13.4,3.40E-15,30.9,16,-,18300920,T10;D16H22S680E;mCG_131843,P54797;Q8BTN3;Q99K56,"Ser/Thr-rich protein T10 in DGCR region;Putative uncharacterized protein;DNA segment, Chr 16, human D22S680E, expressed, isoform CRA_c;D16H22S680E protein"
IPI00108960,0.03,-0.23,,,,4,4,4,11.1,1.60E-57,51.9,17,+,25953360,Fbxl16;mCG_17674,A2RT62;B2RPY3,F-box/LRR-repeat protein 16;F-box and leucine-rich repeat protein 16;MCG17674
IPI00108980;IPI00407137,-0.32,-0.14,,-0.13,0.07,9,9,9,23.7,7.29E-192,62.4,9,+,104449616,Cpne4,Q8BLR2;Q9D6C8,Copine-4;Copine IV;Putative uncharacterized protein
IPI00109033;IPI00648686;IPI00648443;IPI00881233,0.03,0.02,-0.01,-0.13,-0.22,6,6,6,27.7,2.78E-55,31.7,4,-,134081465,Fam54b,Q9CWE0-1;Q9CWE0,Protein FAM54B
IPI00109073,0.21,0.28,0.08,,-1.01,11,4,4,53.2,0.00E+00,49.6,17,-,57219489,Tubb4,Q9D6F9,Tubulin beta-4 chain
IPI00109102;IPI00119105,-0.41,0.34,,,,2,2,2,14.7,2.49E-54,17.4,14,+,55555307,Cmtm5;Cklfsf5,Q9D6G9-1;Q9D6G9;Q9D6G9-2;Q45TP8,CKLF-like MARVEL transmembrane domain-containing protein 5;Chemokine-like factor superfamily member 5;Chemokine-like factor super family five variant 4
IPI00109109,0.01,0.1,-0.09,-0.09,-0.19,12,12,12,84.2,0.00E+00,24.6,17,+,13200848,Sod2;Sod-2;mCG_16695,P09671;Q3TJA2;Q3U8W4;Q4FJX9,"Superoxide dismutase [Mn], mitochondrial;Superoxide dismutase"
IPI00109142,-0.02,0.07,0,-0.05,0.1,12,12,10,69.1,0.00E+00,31.3,14,+,75132179,Esd;Es10;Sid478,Q9R0P3,S-formylglutathione hydrolase;Esterase D;Esterase 10;Sid 478
IPI00109153,0,-0.16,-0.26,,-0.02,3,3,3,5.9,1.86E-28,61.7,7,+,52419319,Slc17a7;Bnpi;Vglut1,Q3TXX4;Q7TQH3;Q8JZR7,"Vesicular glutamate transporter 1;Solute carrier family 17 member 7;Brain-specific Na(+)-dependent inorganic phosphate cotransporter;Solute carrier family 17 (Sodium-dependent inorganic phosphate cotransporter), member 7;Slc17a7 protein"
IPI00109169,0.06,0.03,-0.14,-0.01,-0.07,12,12,12,44.3,6.27E-70,42.8,X,-,71024306,Idh3g;RP23-373N8.5-001;mCG_8096,P70404;Q3TGZ3;Q3TKM5;Q684I8;Q9CW65,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial;Isocitric dehydrogenase;NAD(+)-specific ICDH;Isocitrate dehydrogenase 3 (NAD+), gamma;Isocitrate dehydrogenase 3 NAD+, gamma;Putative uncharacterized protein;Isocitrate dehydrogenase 3 (NAD+), gamma, isoform CRA_c"
IPI00109177,,,,,,2,1,1,3,6.48E-16,88.5,15,+,16707856,Cdh9,P70407,Cadherin-9;T1-cadherin
IPI00109178;IPI00756571;IPI00754969;IPI00943454;IPI00895026;IPI00894971,0.05,0.16,0.16,,,3,3,3,3.6,1.77E-25,128.7,2,+,28496757,Tsc1;Kiaa0243,Q9EP53-1;Q9EP53;Q9EP53-2;Q9EP53-3;Q8BQP0;Q9EP53-4,Hamartin;Tuberous sclerosis 1;Putative uncharacterized protein
IPI00109208;IPI00880464;IPI00880336;IPI00129327,0.09,-0.18,0.06,,-0.26,4,4,4,22.1,2.15E-59,29.4,15,+,5135525,Ttc33,Q9D6K7-1;Q9D6K7;Q9D6K7-2,Tetratricopeptide repeat protein 33
IPI00109212,-0.03,0.05,0.05,0.36,0.07,15,15,14,41,1.48E-76,58.5,18,+,53335970,Snx2,Q9CWK8;Q3U5L3;Q91VZ1,Sorting nexin-2;Putative uncharacterized protein;Snx2 protein;Sorting nexin 2
IPI00109213;IPI00268433,-0.11,-0.22,-0.13,0.13,-0.97,11,11,2,18.5,2.65E-197,108,17,-,81772445,Slc8a1;Ncx;NCX1,P70414;Q27PY9;Q8R505;Q91ZJ7;Q9ET73;Q9ET74,Sodium/calcium exchanger 1;Na(+)/Ca(2+)-exchange protein 1;Solute carrier family 8 sodium/calcium exchanger member 1 splicing variant 1.41;Na+/Ca2+ exchanger NCX1 isoform;Sodium-calcium exchanger;Na/Ca exchanger
IPI00109221,0,0.11,-0.13,0.16,0,11,11,11,24.2,1.36E-40,66.9,9,+,123438900,Sacm1l;Kiaa0851;Sac1;SAC1,Q9EP69;B0LAE6,Phosphatidylinositide phosphatase SAC1;Suppressor of actin mutations 1-like protein
IPI00109275;IPI00756073;IPI00754329;IPI00754831;IPI00856458,-0.02,-0.16,-0.1,0,-0.29,5,5,5,31.6,1.34E-19,34.7,7,-,148615643,Slc25a22;Gc1,Q9D6M3,Mitochondrial glutamate carrier 1;Glutamate/H(+) symporter 1;Solute carrier family 25 member 22
IPI00109293;IPI00890317,0.05,0.14,-0.08,-0.02,-0.04,18,18,18,36.3,1.63E-190,60.7,9,-,66803195,Lactb;Lact1;mCG_1228,Q9EP89;B2RWI2;Q80UJ8;A0PJ65;A1A4A8;Q3UEQ3,"Serine beta-lactamase-like protein LACTB, mitochondrial;Lactamase, beta;Lactb protein;Putative uncharacterized protein"
IPI00109311;IPI00857737,-0.01,0.04,0.1,0.43,0.19,21,21,21,84.8,1.43E-302,38.6,11,+,115024656,Slc9a3r1;Nherf;Nherf1;RP23-342L24.4-001,P70441-1;P70441;Q3TG37;Q9R1A1,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1;Ezrin-radixin-moesin-binding phosphoprotein 50;Regulatory cofactor of Na(+)/H(+) exchanger;Sodium-hydrogen exchanger regulatory factor 1;Solute carrier family 9 isoform A3 regulatory factor 1;Putative uncharacterized protein;Solute carrier family 9 (Sodium/hydrogen exchanger), isoform 3 regulator 1;Sodium-hydrogen exchanger regulatory factor"
IPI00109368,0.07,,,,,4,1,1,29.5,2.17E-12,16.7,13,-,3803000,Calml3,Q9D6P8,Calmodulin-like protein 3
IPI00109389,-0.06,,0.1,,0.1,5,5,5,20.7,3.67E-67,39.5,8,-,112195229,Ist1;Kiaa0174;2400003C14Rik,Q9CX00;Q8BHC2,IST1 homolog;2400003C14Rik protein;Putative uncharacterized protein
IPI00109401,0.02,0.14,-0.17,,0.42,6,6,6,9.2,5.57E-25,74.1,15,-,97505529,Rpap3;D15Ertd682e,Q9D706,RNA polymerase II-associated protein 3
IPI00109420,-0.16,-0.02,0.11,,-0.16,20,11,11,24.7,1.25E-207,117,10,-,126662752,Kif5a;Kiaa4086;Kif5;Nkhc1,P33175;O70402;Q05CD7;Q3US62,Kinesin heavy chain isoform 5A;Neuronal kinesin heavy chain;Kinesin heavy chain neuron-specific 1;Kinesin heavy chain;Kif5a protein;Putative uncharacterized protein
IPI00109441;IPI00776409,0.12,-0.29,0.31,0.15,0.13,1,1,1,3,1.41E-03,49.1,1,-,180885177,Smyd3;Zmynd1,Q9CWR2;Q3TIF7;Q3TR55,SET and MYND domain-containing protein 3;Zinc finger MYND domain-containing protein 1;Putative uncharacterized protein
IPI00109482;IPI00880463,-0.1,0.1,-0.04,,0.02,11,11,11,71.6,3.49E-247,31.4,3,+,145421705,Ddah1,Q9CWS0;Q3UF01,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;DDAHI;Dimethylargininase-1;Putative uncharacterized protein"
IPI00109501,0.12,0.32,-0.12,-0.04,-0.03,6,6,6,42,1.58E-149,29.1,2,+,35992174,Mrrf,Q9D6S7,"Ribosome-recycling factor, mitochondrial;Ribosome-releasing factor, mitochondrial"
IPI00109505;IPI00875247,,,,0.06,,4,4,4,8.8,3.86E-07,41,4,+,48676429,Murc,A2AMM0,Muscle-related coiled-coil protein;Muscle-restricted coiled-coil protein
IPI00109506;IPI00123104,-0.04,-0.14,0.03,,,2,2,2,10.6,2.67E-07,29.2,1,+,157005879,Stx6,Q9JKK1-2;Q9JKK1;Q9JKK1-1;Q3TX70;Q3UA21;Q4W8V2,Syntaxin-6;Putative uncharacterized protein
IPI00109588,,0.12,,0.06,1.75,4,4,4,4.9,3.26E-07,160.7,8,-,11198433,Col4a1,P02463,Collagen alpha-1(IV) chain
IPI00109603;IPI00857580;IPI00858246;IPI00857713;IPI00858043;IPI00749564;IPI00857602;IPI00230305;IPI00919103,-0.1,-0.07,-0.09,-0.29,0.02,5,5,5,20,2.10E-30,34.3,2,-,155672632,Uqcc;Bfzb;RP23-380B10.2-012;RP23-380B10.2-009;RP23-380B10.2-010;RP23-380B10.2-013;RP23-380B10.2-011,Q9CWU6-1;Q9CWU6;A6PWX9;A6PWX8;A6PWX7;A6PWX5;A6PWX6;Q9CWU6-2,"Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog;Basic FGF-repressed Zic-binding protein;Ubiquinol-cytochrome c reductase complex chaperone, CBP3 homolog (Yeast)"
IPI00109611,0.03,-0.02,-0.01,0.22,-0.09,7,7,7,54.2,2.55E-85,17.7,16,-,36043930,Fam162a;E2ig5,Q9D6U8,UPF0389 protein FAM162A;E2-induced gene 5 protein homolog
IPI00109615;IPI00112222,,,,,,1,1,1,5.2,3.93E-04,36.7,10,+,87609793,Nup37;mCG_16783,Q9CWU9;Q9CZ80,"Nucleoporin Nup37;Nucleoporin 37;Putative uncharacterized protein;MCG16783, isoform CRA_a"
IPI00109655,0.09,-0.13,-0.27,0.04,0.05,4,4,4,32,1.11E-108,19.2,2,+,19293273,Msrb2,Q78J03,"Methionine-R-sulfoxide reductase B2, mitochondrial"
IPI00109656;IPI00120571;IPI00889200,,0.1,-0.1,,,4,4,4,11,9.73E-08,58.1,2,+,91105463,Arfgap2;Zfp289;Znf289,Q99K28-2;Q99K28;Q99K28-1;Q3UR67,ADP-ribosylation factor GTPase-activating protein 2;GTPase-activating protein ZNF289;Zinc finger protein 289;Putative uncharacterized protein
IPI00109670;IPI00228556,-0.04,-0.09,0.14,,-0.03,11,11,7,38.1,1.70E-24,55.9,X,+,20265080,Pctk1;Crk5;RP23-394F6.3-001;mCG_126520;RP23-394F6.3-002,Q04735-1;Q04735;Q3UPI3;Q543G3;Q91WP4;Q04735-2;Q3TM24,Serine/threonine-protein kinase PCTAIRE-1;PCTAIRE-motif protein kinase 1;CRK5;Putative uncharacterized protein
IPI00109672,-0.06,0.13,-0.2,,-0.15,7,6,3,22.6,8.96E-24,60.6,5,+,32913606,Yes1;Yes;mCG_121794,Q04736;Q3TJI7;Q8C6U9;Q8C762;Q8CBP1,"Proto-oncogene tyrosine-protein kinase Yes;p61-Yes;c-Yes;Putative uncharacterized protein;Yamaguchi sarcoma viral (V-yes) oncogene homolog 1, isoform CRA_a"
IPI00109709,,,,0.17,0.33,2,2,2,10.9,3.78E-10,21.5,7,-,135136148,Pycard;Asc;ASC;mCG_22536,Q9EPB4;Q54AA2,Apoptosis-associated speck-like protein containing a CARD;PYD and CARD domain-containing protein;Putative uncharacterized protein;Apoptosis-associated speck-like protein containing CARD;PYD and CARD domain containing
IPI00109714,,,,,,2,2,2,9.3,4.82E-12,28.2,6,+,85137925,Emx1;Emx-1,Q04742,Homeobox protein EMX1;Empty spiracles homolog 1;Empty spiracles-like protein 1
IPI00109727,0.08,-0.1,-0.15,,,3,3,3,30.2,7.41E-54,18.1,9,+,43851467,Thy1;Thy-1,P01831;Q53YX2,Thy-1 membrane glycoprotein;Thy-1 antigen;CD90.1
IPI00109764;IPI00874810;IPI00454114,-0.16,-0.06,0.09,-0.21,-0.02,13,13,13,18.8,1.81E-63,90.9,2,+,160471633,Top1;Top-1;TOP,Q04750;Q3TPX7;Q3TUS4;Q3ULF5;Q569Q5;Q6LBJ0;Q3TSR2;Q6LBJ1,DNA topoisomerase 1;DNA topoisomerase I;Putative uncharacterized protein;Top1 protein;Topoisomerase I
IPI00109813,-0.28,0.06,0.11,0.07,0.01,7,7,7,37,6.14E-66,30.5,13,-,58228757,Hnrnpa0;Hnrpa0;Klhl3,Q9CX86,Putative uncharacterized protein
IPI00109823;IPI00458769,-0.06,-0.02,0.14,0.15,-0.21,8,8,8,13.7,5.38E-55,80.4,16,+,70314332,Gbe1,Q9D6Y9;Q8C7E6;Q8BT78,"1,4-alpha-glucan-branching enzyme;Glycogen-branching enzyme;Brancher enzyme;Putative uncharacterized protein"
IPI00109870,0.07,-0.1,-0.12,0.2,0.01,15,15,2,67.9,1.54E-172,34.7,18,+,63137551,Napg;Snapg,Q9CWZ7;Q8C1T5,Gamma-soluble NSF attachment protein;N-ethylmaleimide-sensitive factor attachment protein gamma;Putative uncharacterized protein
IPI00109891;IPI00623842,,-0.02,0.14,,,5,5,5,4.2,4.58E-14,132.4,8,+,72315149,Atp13a1;Atp13a;mCG_23321;mKIAA1825,Q9EPE9;B2RS54;Q69Z96,Probable cation-transporting ATPase 13A1;ATPase type 13A1;MKIAA1825 protein
IPI00109932,-0.06,0.02,-0.06,0.08,0.13,12,12,12,32.9,3.96E-181,54.2,9,+,44412979,Ddx6;Hlr2;Rck,P54823,Probable ATP-dependent RNA helicase DDX6;DEAD box protein 6;ATP-dependent RNA helicase p54;Oncogene RCK homolog
IPI00110100,0.04,0.07,,,,3,3,3,18.4,2.17E-43,31.2,3,-,19033441,Armc1,Q9D7A8,Armadillo repeat-containing protein 1
IPI00110108;IPI00402935,-0.06,0.18,-0.05,,,4,4,1,15.1,3.53E-26,24,10,+,25079604,Epb4.1l2,Q9EPM8;Q9EPM7,4.1G protein
IPI00110180;IPI00854928;IPI00854953,,,,,-2.19,4,4,4,13.2,2.34E-50,37.8,13,-,43636459,Ccdc90a,Q9CXD6-1;Q9CXD6;Q9CXD6-2;Q9CXD6-3,"Coiled-coil domain-containing protein 90A, mitochondrial"
IPI00110224;IPI00648201,-0.1,0.26,0.54,-0.11,0.03,7,7,7,36.6,5.07E-37,32.9,5,-,104418793,Hsd17b11;Dhrs8;Pan1b;RP23-102H7.2-001;mCG_1164;RP23-102H7.2-002,Q9EQ06-1;Q9EQ06;A8Y5N3;Q9EQ06-2;A8Y5N2,"Estradiol 17-beta-dehydrogenase 11;17-beta-hydroxysteroid dehydrogenase 11;17-beta-HSD XI;Dehydrogenase/reductase SDR family member 8;Hydroxysteroid (17-beta) dehydrogenase 11;Dehydrogenase/reductase (SDR family) member 8, isoform CRA_b;Dehydrogenase/reductase (SDR family) member 8, isoform CRA_a"
IPI00110247,0.08,0.12,-0.09,-0.16,-0.07,14,14,13,25.5,1.36E-30,76.5,10,-,114635515,Tbc1d15;Tbc1D15,Q9CXF4;Q3TSE1;Q4TVN0;Q7TPU5;Q9CRG4,"TBC1 domain family member 15;Putative uncharacterized protein;TBC1 domain family, member 15"
IPI00110265;IPI00473688;IPI00890190,0.14,0.19,-0.01,-0.01,0.07,11,11,11,50.1,2.47E-162,43.3,7,+,29551802,Sirt2;Sir2l2,Q8VDQ8-1;Q8VDQ8;Q8VDQ8-2;Q3UJK6,NAD-dependent deacetylase sirtuin-2;SIR2-like protein 2;Putative uncharacterized protein
IPI00110350,,,,,,10,1,1,58.7,1.13E-41,20.4,9,-,106791092,Armet,Q9CXI5,Protein ARMET;Mesencephalic astrocyte-derived neurotrophic factor;Arginine-rich protein
IPI00110351;IPI00856607,,-0.3,,,,1,1,1,4.8,1.69E-03,29.1,7,+,139802326,Lhpp,Q9D7I5-1;Q9D7I5;Q9D7I5-2,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
IPI00110402;IPI00757201;IPI00281619;IPI00281620,-0.11,,-0.11,,,9,9,9,10.8,9.64E-44,133.2,10,-,10408401,Grm1;Gprc1a;Mglur1,P97772-1;P97772;Q3V0U2;P97772-2,Metabotropic glutamate receptor 1;Putative uncharacterized protein
IPI00110435;IPI00903374;IPI00903425;IPI00903350;IPI00903427;IPI00903378;IPI00459191,0.02,-0.04,-0.02,0.05,0.02,10,10,10,8.5,7.74E-88,175,14,-,31984120,Nisch;Kiaa0975,Q80TM9-1;Q80TM9;B7ZN33;Q8CF63;Q80TM9-6;Q80TM9-4;Q80TM9-2;Q80TM9-3;Q80TM9-5,Nischarin;Imidazoline receptor 1;Imidazoline-1 receptor;Imidazoline receptor I-1-like protein;Nisch protein;Putative uncharacterized protein
IPI00110464,0.04,0.04,-0.07,-0.03,-0.18,3,3,3,14.2,1.03E-47,29.1,11,+,76715661,Tmigd1;Tmigd,Q9D7L8;Q9D8H2,Transmembrane and immunoglobulin domain-containing protein 1;Putative uncharacterized protein
IPI00110487,0.05,0.02,,0.54,0.18,4,4,4,25.9,1.95E-30,26.8,2,+,180444972,2310003C23Rik;RP24-209P15.2;RP24-209P15.2-001;mCG_6738,Q9D7M1;A2AJ50,"Protein C20orf11 homolog;Two hybrid-associated protein 1 with RanBPM;Novel protein;RIKEN cDNA 2310003C23, isoform CRA_a"
IPI00110556;IPI00785323;IPI00785311,,,,,0.07,4,4,4,7.5,3.27E-06,56.8,7,+,147949731,Cyp2e1;Cyp2e;Cyp2e-1,Q05421;Q0PGA1,Cytochrome P450 2E1;CYPIIE1;4-nitrophenol 2-hydroxylase;P450-J;P450-ALC
IPI00110578;IPI00856218;IPI00856829,0.03,0.2,-0.09,0.06,0.14,7,7,7,52.4,3.89E-102,18.1,5,+,114222812,Iscu;Nifun,Q9D7P6,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial;NifU-like N-terminal domain-containing protein"
IPI00110588,0.23,0.59,0.28,0.17,0.35,32,24,22,60.8,8.73E-293,67.8,X,+,93291381,Msn,P26041;Q05DU4;Q3TZQ2;Q3UF33,Moesin;Membrane-organizing extension spike protein;Msn protein;Putative uncharacterized protein
