Accession,Significance (-10lgP),Coverage (%),#Peptides,#Unique,PTM,Adult_1 Area,Adult_2 Area,Adult_3 Area,Adult_4 Area,Old_1 Area,Old_2 Area,Old_3 Area,Old_4 Area,Sample Profile (Ratio),Adult Area,Old Area,Group Profile (Ratio),Avg. Mass,Description
P11276|FINC_MOUSE,61.26,10,18,18,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.09E+05,2.68E+05,2.75E+05,3.00E+05,5.32E+05,8.07E+05,2.35E+06,4.87E+05,1.03:0.89:0.92:1.00:1.77:2.69:7.84:1.62,2.88E+05,1.04E+06,1.00:3.63,272487,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=3
Q61838|A2M_MOUSE,60.28,17,22,19,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.72E+05,3.90E+05,3.25E+05,4.03E+05,1.01E+06,2.59E+06,1.06E+07,1.06E+06,0.92:0.97:0.81:1.00:2.50:6.42:26.30:2.62,3.72E+05,3.81E+06,1.00:10.24,165880,Alpha-2-macroglobulin OS=Mus musculus GN=A2m PE=1 SV=2
P68134|ACTS_MOUSE,59.6,70,28,2,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.30E+07,6.75E+06,2.77E+06,2.41E+07,6.67E+05,1.27E+06,4.16E+06,1.26E+07,0.54:0.28:0.11:1.00:0.03:0.05:0.17:0.52,1.16E+07,4.68E+06,1.00:0.40,42051,Actin  alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1
P21614|VTDB_MOUSE,56.76,12,7,7,NEM_LysineArginine,4.47E+05,5.73E+05,3.55E+05,5.33E+05,6.34E+05,1.07E+06,2.18E+06,8.96E+05,0.84:1.08:0.67:1.00:1.19:2.02:4.09:1.68,4.77E+05,1.19E+06,1.00:2.50,53600,Vitamin D-binding protein OS=Mus musculus GN=Gc PE=1 SV=2
P08226|APOE_MOUSE,54.81,51,19,19,Oxidation (M); NEM_LysineArginine,3.13E+04,6.81E+04,4.55E+04,8.00E+04,3.62E+06,3.08E+06,8.23E+06,2.18E+06,0.39:0.85:0.57:1.00:45.31:38.48:102.93:27.27,5.51E+04,4.28E+06,1.00:77.60,35867,Apolipoprotein E OS=Mus musculus GN=Apoe PE=1 SV=2
P01864|GCAB_MOUSE,53.55,24,7,5,NEM_LysineArginine,5.39E+05,0,5.14E+05,8.84E+04,3.95E+05,3.03E+05,3.84E+06,2.81E+06,6.10:0:5.82:1.00:4.47:3.43:43.46:31.79,2.85E+05,1.84E+06,1.00:6.44,36596,Ig gamma-2A chain C region secreted form OS=Mus musculus PE=1 SV=1
P40124|CAP1_MOUSE,50.25,14,4,4,,1.40E+05,1.50E+05,1.61E+05,1.09E+05,2.58E+05,4.05E+05,1.17E+06,4.79E+05,1.29:1.38:1.48:1.00:2.37:3.72:10.76:4.40,1.40E+05,5.78E+05,1.00:4.13,51575,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=3
P14206|RSSA_MOUSE,48.71,17,4,4,NEM_LysineArginine,3.84E+05,3.48E+05,3.75E+05,2.84E+05,5.89E+05,7.86E+05,2.54E+06,4.33E+05,1.35:1.22:1.32:1.00:2.07:2.76:8.92:1.52,3.48E+05,1.09E+06,1.00:3.12,32838,40S ribosomal protein SA OS=Mus musculus GN=Rpsa PE=1 SV=4
Q61233|PLSL_MOUSE,48.17,16,10,10,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,4.97E+05,5.61E+05,5.20E+05,5.36E+05,9.28E+05,1.37E+06,3.32E+06,8.69E+05,0.93:1.04:0.97:1.00:1.73:2.56:6.19:1.62,5.29E+05,1.69E+06,1.00:3.20,70149,Plastin-2 OS=Mus musculus GN=Lcp1 PE=1 SV=4
P05977|MYL1_MOUSE,46.65,68,20,15,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.12E+07,2.50E+06,8.32E+05,1.54E+07,0,4.16E+05,7.85E+05,4.83E+06,0.73:0.16:0.05:1.00:0:0.03:0.05:0.31,7.49E+06,1.51E+06,1.00:0.20,20594,Myosin light chain 1/3  skeletal muscle isoform OS=Mus musculus GN=Myl1 PE=1 SV=2
Q06890|CLUS_MOUSE,45.42,13,5,5,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.33E+05,2.01E+05,1.53E+05,1.64E+05,3.31E+05,1.25E+06,4.47E+05,7.01E+05,0.81:1.22:0.93:1.00:2.02:7.62:2.73:4.27,1.63E+05,6.83E+05,1.00:4.19,51656,Clusterin OS=Mus musculus GN=Clu PE=1 SV=1
P07724|ALBU_MOUSE,45.23,81,64,63,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.42E+08,1.50E+08,1.25E+08,1.60E+08,1.68E+08,2.31E+08,3.87E+08,2.43E+08,0.89:0.94:0.78:1.00:1.05:1.44:2.42:1.52,1.44E+08,2.57E+08,1.00:1.78,68693,Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3
Q921I1|TRFE_MOUSE,42.88,65,54,53,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,5.58E+06,6.39E+06,4.83E+06,6.36E+06,8.97E+06,1.28E+07,3.13E+07,1.15E+07,0.88:1.00:0.76:1.00:1.41:2.02:4.92:1.81,5.79E+06,1.62E+07,1.00:2.79,76724,Serotransferrin OS=Mus musculus GN=Tf PE=1 SV=1
Q99PT9|KIF19_MOUSE,42.05,1,1,1,,2.53E+06,2.29E+06,1.68E+06,3.26E+06,3.53E+06,6.12E+06,1.30E+07,4.42E+06,0.77:0.70:0.52:1.00:1.08:1.87:3.99:1.35,2.44E+06,6.77E+06,1.00:2.77,111559,Kinesin-like protein KIF19 OS=Mus musculus GN=Kif19 PE=1 SV=2
Q9CQI6|COTL1_MOUSE,40.03,39,5,5,N-ethylmaleimide on cysteines; NEM_LysineArginine,1.26E+05,1.66E+05,1.90E+05,1.86E+05,2.11E+05,5.63E+05,2.06E+06,3.04E+05,0.68:0.89:1.02:1.00:1.14:3.03:11.09:1.64,1.71E+05,7.85E+05,1.00:4.60,15944,Coactosin-like protein OS=Mus musculus GN=Cotl1 PE=1 SV=3
P28665|MUG1_MOUSE,39.07,9,13,7,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.98E+05,4.88E+05,3.62E+05,4.66E+05,5.52E+05,1.01E+06,2.60E+06,6.90E+05,0.85:1.05:0.78:1.00:1.18:2.17:5.57:1.48,4.29E+05,1.21E+06,1.00:2.83,165297,Murinoglobulin-1 OS=Mus musculus GN=Mug1 PE=1 SV=3
P23953|ESTN_MOUSE,38.56,8,4,3,,4.39E+05,6.06E+05,3.37E+05,4.71E+05,7.36E+05,8.36E+05,2.02E+06,1.05E+06,0.93:1.29:0.71:1.00:1.56:1.77:4.29:2.23,4.63E+05,1.16E+06,1.00:2.51,61172,Liver carboxylesterase N OS=Mus musculus GN=Es1 PE=1 SV=3
P11352|GPX1_MOUSE,37.25,32,5,4,NEM_LysineArginine,8.14E+04,1.39E+05,5.90E+04,7.38E+04,7.50E+04,3.28E+05,1.36E+06,2.22E+05,1.10:1.88:0.80:1.00:1.02:4.44:18.38:3.01,8.82E+04,4.95E+05,1.00:5.62,22329,Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2
Q61878|PRG2_MOUSE,36.64,18,4,4,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,0,0,0,0,0,2.33E+05,2.31E+06,3.11E+04,0:0:0:0:0:1.00:9.90:0.13,0,6.43E+05,00:01.0,24255,Bone marrow proteoglycan OS=Mus musculus GN=Prg2 PE=1 SV=1
P20152|VIME_MOUSE,35.87,85,49,37,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,2.70E+07,2.70E+07,2.98E+07,2.54E+07,3.39E+07,3.87E+07,8.04E+07,3.00E+07,1.06:1.06:1.18:1.00:1.33:1.52:3.17:1.18,2.73E+07,4.57E+07,1.00:1.67,53688,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3
P22599|A1AT2_MOUSE,35.65,46,18,6,NEM_LysineArginine,1.94E+06,2.80E+06,2.12E+06,2.59E+06,3.35E+06,3.80E+06,7.68E+06,3.18E+06,0.75:1.08:0.82:1.00:1.30:1.47:2.96:1.23,2.36E+06,4.50E+06,1.00:1.91,45975,Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2
P09103|PDIA1_MOUSE,35.5,21,8,8,NEM_LysineArginine,4.55E+05,3.70E+05,4.28E+05,4.34E+05,4.04E+05,7.46E+05,2.36E+06,4.86E+05,1.05:0.85:0.99:1.00:0.93:1.72:5.44:1.12,4.22E+05,1.00E+06,1.00:2.37,57144,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=1
P99029|PRDX5_MOUSE,35.42,31,5,5,NEM_LysineArginine,2.52E+05,3.36E+05,4.33E+05,2.91E+05,5.78E+05,8.57E+05,1.14E+06,7.22E+05,0.87:1.15:1.49:1.00:1.98:2.94:3.90:2.48,3.19E+05,8.23E+05,1.00:2.58,21897,Peroxiredoxin-5  mitochondrial OS=Mus musculus GN=Prdx5 PE=1 SV=2
P58771|TPM1_MOUSE,35.08,90,38,20,N-ethylmaleimide on cysteines; NEM_LysineArginine,5.80E+06,1.80E+06,1.34E+06,7.31E+06,8.92E+05,1.05E+06,2.17E+06,2.82E+06,0.79:0.25:0.18:1.00:0.12:0.14:0.30:0.38,4.06E+06,1.73E+06,1.00:0.43,32681,Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=1 SV=1
O88569|ROA2_MOUSE,33.99,19,6,5,NEM_LysineArginine,7.06E+05,6.24E+05,5.84E+05,6.39E+05,5.24E+05,1.03E+06,2.55E+06,8.82E+05,1.11:0.98:0.91:1.00:0.82:1.61:3.99:1.38,6.38E+05,1.25E+06,1.00:1.95,37403,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2
Q62465|VAT1_MOUSE,32.94,42,14,14,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.49E+06,2.16E+06,2.18E+06,1.80E+06,3.86E+06,3.90E+06,6.47E+06,3.40E+06,0.83:1.20:1.21:1.00:2.15:2.17:3.60:1.89,1.91E+06,4.41E+06,1.00:2.31,43097,Synaptic vesicle membrane protein VAT-1 homolog OS=Mus musculus GN=Vat1 PE=1 SV=3
P97457|MLRS_MOUSE,31.83,62,12,11,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,6.40E+06,1.47E+06,4.37E+05,4.97E+06,6.44E+04,2.04E+05,6.40E+05,3.30E+06,1.29:0.30:0.09:1.00:0.01:0.04:0.13:0.66,3.32E+06,1.05E+06,1.00:0.32,18955,Myosin regulatory light chain 2  skeletal muscle isoform OS=Mus musculus GN=Mylpf PE=1 SV=3
P08113|ENPL_MOUSE,31.77,15,12,11,NEM_LysineArginine,6.42E+05,6.78E+05,5.62E+05,5.63E+05,6.00E+05,1.10E+06,3.61E+06,5.50E+05,1.14:1.20:1.00:1.00:1.07:1.96:6.41:0.98,6.11E+05,1.47E+06,1.00:2.40,92476,Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2
P10605|CATB_MOUSE,30.49,24,6,6,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,1.55E+05,2.01E+05,1.95E+05,1.70E+05,3.79E+05,9.68E+05,4.39E+06,3.86E+05,0.91:1.18:1.15:1.00:2.23:5.69:25.85:2.27,1.80E+05,1.53E+06,1.00:8.49,37280,Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2
P35700|PRDX1_MOUSE,30.19,29,8,7,NEM_LysineArginine,3.35E+06,3.63E+06,3.44E+06,3.40E+06,5.03E+06,6.04E+06,9.86E+06,5.16E+06,0.99:1.07:1.01:1.00:1.48:1.78:2.90:1.52,3.45E+06,6.52E+06,1.00:1.89,22176,Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1
P16110|LEG3_MOUSE,29.69,28,9,9,NEM_LysineArginine,2.97E+05,1.76E+05,1.99E+05,2.54E+05,5.87E+05,1.67E+06,9.00E+06,4.78E+05,1.17:0.70:0.79:1.00:2.32:6.60:35.48:1.88,2.32E+05,2.93E+06,1.00:12.67,27515,Galectin-3 OS=Mus musculus GN=Lgals3 PE=1 SV=3
P56812|PDCD5_MOUSE,29.21,15,2,1,,6.22E+05,4.26E+05,3.72E+05,5.94E+05,3.83E+05,1.56E+06,4.51E+06,6.99E+05,1.05:0.72:0.63:1.00:0.64:2.62:7.59:1.18,5.04E+05,1.79E+06,1.00:3.55,14275,Programmed cell death protein 5 OS=Mus musculus GN=Pdcd5 PE=1 SV=3
Q3U827|RN180_MOUSE,28.99,1,1,1,,8.71E+04,0,0,0,7.27E+05,6.77E+05,2.98E+05,6.53E+05,1.00:0:0:0:8.34:7.77:3.42:7.50,2.18E+04,5.89E+05,1.00:27.03,67371,E3 ubiquitin-protein ligase RNF180 OS=Mus musculus GN=Rnf180 PE=1 SV=2
P52480|KPYM_MOUSE,28.18,46,23,21,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,2.16E+07,2.75E+07,2.20E+07,2.32E+07,1.48E+07,1.36E+07,1.14E+07,1.34E+07,0.93:1.18:0.95:1.00:0.64:0.58:0.49:0.58,2.36E+07,1.33E+07,1.00:0.56,57845,Pyruvate kinase isozymes M1/M2 OS=Mus musculus GN=Pkm2 PE=1 SV=4
Q9D1A2|CNDP2_MOUSE,26.95,9,3,3,NEM_LysineArginine,1.41E+05,1.43E+05,9.52E+04,8.87E+04,1.46E+05,3.50E+05,9.93E+05,2.51E+05,1.58:1.61:1.07:1.00:1.65:3.95:11.20:2.83,1.17E+05,4.35E+05,1.00:3.73,52767,Cytosolic non-specific dipeptidase OS=Mus musculus GN=Cndp2 PE=1 SV=1
Q9Z1T2|TSP4_MOUSE,25.51,5,4,4,D5 N-ethylmaleimide on cysteines,1.78E+05,1.01E+05,8.84E+04,1.05E+05,2.97E+05,5.55E+05,1.49E+06,2.27E+05,1.70:0.96:0.84:1.00:2.83:5.29:14.19:2.16,1.13E+05,6.42E+05,1.00:5.70,106366,Thrombospondin-4 OS=Mus musculus GN=Thbs4 PE=2 SV=1
Q99PT1|GDIR1_MOUSE,25.46,51,10,10,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.08E+06,3.50E+06,3.40E+06,3.48E+06,4.95E+06,5.45E+06,7.80E+06,4.91E+06,0.88:1.00:0.97:1.00:1.42:1.56:2.24:1.41,3.37E+06,5.78E+06,1.00:1.72,23407,Rho GDP-dissociation inhibitor 1 OS=Mus musculus GN=Arhgdia PE=1 SV=3
P00405|COX2_MOUSE,25.15,16,3,3,,8.06E+05,1.05E+06,9.45E+05,1.06E+06,3.70E+05,4.24E+05,6.52E+05,5.28E+05,0.76:0.99:0.89:1.00:0.35:0.40:0.61:0.50,9.66E+05,4.94E+05,1.00:0.51,25976,Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1
P48036|ANXA5_MOUSE,25.14,82,28,28,Oxidation (M); N-ethylmaleimide on cysteines; NEM_LysineArginine,8.35E+06,9.50E+06,7.78E+06,7.80E+06,1.16E+07,1.23E+07,1.90E+07,1.19E+07,1.07:1.22:1.00:1.00:1.48:1.57:2.44:1.53,8.36E+06,1.37E+07,1.00:1.64,35752,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1
Q6PIC6|AT1A3_MOUSE,25.01,25,23,5,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,4.39E+05,6.18E+05,5.89E+05,5.42E+05,3.08E+05,3.03E+05,2.15E+05,2.60E+05,0.81:1.14:1.09:1.00:0.57:0.56:0.40:0.48,5.40E+05,2.71E+05,1.00:0.50,111691,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Mus musculus GN=Atp1a3 PE=1 SV=1
Q05816|FABP5_MOUSE,24.73,13,2,2,,1.10E+05,1.31E+05,5.45E+04,5.86E+04,8.84E+04,2.47E+05,1.00E+06,1.54E+05,1.88:2.24:0.93:1.00:1.51:4.21:17.12:2.62,8.87E+04,3.73E+05,1.00:4.21,15137,Fatty acid-binding protein  epidermal OS=Mus musculus GN=Fabp5 PE=1 SV=3
Q91X72|HEMO_MOUSE,24.25,34,16,15,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.26E+06,1.58E+06,6.97E+05,1.22E+06,2.20E+06,3.26E+06,1.21E+07,2.21E+06,1.03:1.29:0.57:1.00:1.80:2.67:9.91:1.81,1.18E+06,4.94E+06,1.00:4.18,51341,Hemopexin OS=Mus musculus GN=Hpx PE=1 SV=1
P03987|IGHG3_MOUSE,24.23,5,2,1,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,5.15E+05,3.18E+05,2.68E+05,5.16E+05,1.12E+06,1.09E+06,2.04E+06,4.13E+05,1.00:0.62:0.52:1.00:2.18:2.11:3.95:0.80,4.04E+05,1.16E+06,1.00:2.88,43929,Ig gamma-3 chain C region OS=Mus musculus PE=1 SV=2
Q64727|VINC_MOUSE,23.96,17,15,15,N-ethylmaleimide on cysteines; NEM_LysineArginine,3.90E+05,4.40E+05,5.11E+05,4.19E+05,6.19E+05,8.22E+05,1.30E+06,6.08E+05,0.93:1.05:1.22:1.00:1.48:1.96:3.11:1.45,4.40E+05,8.37E+05,1.00:1.90,116717,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4
P20029|GRP78_MOUSE,23.27,29,16,14,NEM_LysineArginine,8.06E+05,1.42E+06,1.18E+06,1.42E+06,9.71E+05,2.04E+06,5.91E+06,9.22E+05,0.57:1.00:0.83:1.00:0.68:1.43:4.16:0.65,1.21E+06,2.46E+06,1.00:2.04,72422,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3
Q11011|PSA_MOUSE,22.95,8,6,6,,4.30E+05,4.98E+05,4.87E+05,4.73E+05,8.24E+05,8.03E+05,9.47E+05,8.06E+05,0.91:1.05:1.03:1.00:1.74:1.70:2.00:1.70,4.72E+05,8.45E+05,1.00:1.79,103325,Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2
P29699|FETUA_MOUSE,22.6,28,6,6,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.29E+05,3.82E+05,2.96E+05,5.34E+05,3.53E+05,8.34E+05,1.29E+06,7.76E+05,0.24:0.71:0.55:1.00:0.66:1.56:2.42:1.45,3.35E+05,8.14E+05,1.00:2.43,37326,Alpha-2-HS-glycoprotein OS=Mus musculus GN=Ahsg PE=1 SV=1
P10107|ANXA1_MOUSE,22.4,28,8,7,N-ethylmaleimide on cysteines; NEM_LysineArginine,5.19E+04,7.51E+04,9.23E+04,0,1.37E+05,3.19E+05,1.68E+06,1.97E+05,1.00:1.45:1.78:0:2.63:6.15:32.30:3.79,5.48E+04,5.82E+05,1.00:10.62,38734,Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2
Q99JY9|ARP3_MOUSE,22.4,6,2,2,,9.09E+04,1.15E+05,1.18E+05,1.08E+05,1.72E+05,2.44E+05,7.54E+05,1.31E+05,0.84:1.07:1.09:1.00:1.59:2.26:6.97:1.21,1.08E+05,3.25E+05,1.00:3.01,47357,Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3
P97449|AMPN_MOUSE,22.25,19,14,14,NEM_LysineArginine,2.62E+05,2.79E+05,3.05E+05,2.11E+05,2.87E+05,5.93E+05,2.06E+06,3.95E+05,1.24:1.33:1.45:1.00:1.36:2.81:9.77:1.87,2.63E+05,8.34E+05,1.00:3.17,109651,Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4
P29416|HEXA_MOUSE,22.17,15,6,6,,2.10E+04,1.48E+04,0,1.07E+04,7.73E+04,3.08E+05,1.30E+06,1.28E+05,1.95:1.38:0:1.00:7.20:28.71:121.36:11.92,1.16E+04,4.54E+05,1.00:39.05,60599,Beta-hexosaminidase subunit alpha OS=Mus musculus GN=Hexa PE=2 SV=1
Q8BTM8|FLNA_MOUSE,22.15,6,10,8,N-ethylmaleimide on cysteines; NEM_LysineArginine,5.50E+05,4.10E+05,6.26E+05,3.77E+05,4.48E+05,6.93E+05,2.00E+06,5.53E+05,1.46:1.09:1.66:1.00:1.19:1.84:5.31:1.47,4.91E+05,9.24E+05,1.00:1.88,281191,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=4
P01872|IGHM_MOUSE,21.99,42,19,18,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,7.55E+05,1.12E+06,1.32E+06,7.69E+05,1.50E+06,3.78E+06,1.42E+07,2.15E+06,0.98:1.46:1.71:1.00:1.95:4.92:18.52:2.79,9.91E+05,5.41E+06,1.00:5.46,49972,Ig mu chain C region secreted form OS=Mus musculus GN=Igh-6 PE=1 SV=2
Q922R8|PDIA6_MOUSE,21.98,12,3,3,,2.68E+05,2.56E+05,2.91E+05,2.66E+05,3.36E+05,6.78E+05,2.14E+06,2.64E+05,1.01:0.96:1.09:1.00:1.26:2.54:8.03:0.99,2.71E+05,8.55E+05,1.00:3.16,48100,Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3
Q8R3P0|ACY2_MOUSE,21.8,12,3,3,N-ethylmaleimide on cysteines; NEM_LysineArginine,2.75E+05,3.55E+05,2.32E+05,3.76E+05,7.38E+05,7.54E+05,1.07E+06,7.77E+05,0.73:0.95:0.62:1.00:1.96:2.01:2.86:2.07,3.09E+05,8.35E+05,1.00:2.70,35345,Aspartoacylase OS=Mus musculus GN=Aspa PE=1 SV=2
P68040|GBLP_MOUSE,21.7,12,4,4,,3.97E+05,3.86E+05,4.24E+05,2.31E+05,4.57E+05,6.33E+05,1.62E+06,5.14E+05,1.72:1.67:1.83:1.00:1.98:2.74:7.00:2.22,3.59E+05,8.06E+05,1.00:2.24,35077,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Mus musculus GN=Gnb2l1 PE=1 SV=3
P09542|MYL3_MOUSE,21.59,18,5,1,Oxidation (M); NEM_LysineArginine,1.15E+05,1.96E+05,6.53E+04,5.96E+05,0,0,0,1.76E+05,0.19:0.33:0.11:1.00:0:0:0:0.29,2.43E+05,4.39E+04,1.00:0.18,22422,Myosin light chain 3 OS=Mus musculus GN=Myl3 PE=1 SV=4
P68254|1433T_MOUSE,21.52,53,12,6,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.40E+06,1.50E+06,1.47E+06,1.48E+06,1.93E+06,2.16E+06,3.31E+06,2.01E+06,0.95:1.02:1.00:1.00:1.31:1.47:2.25:1.36,1.46E+06,2.36E+06,1.00:1.61,27778,14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1
P26350|PTMA_MOUSE,21.5,13,2,2,NEM_LysineArginine,1.79E+05,1.40E+05,1.02E+05,1.61E+05,1.41E+05,2.55E+05,6.42E+05,1.92E+05,1.11:0.87:0.63:1.00:0.88:1.59:4.00:1.20,1.45E+05,3.08E+05,1.00:2.12,12254,Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2
