,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|F8VQL0|F8VQL0_MOUSE,Met,Hepatocyte growth factor receptor OS=Mus musculus OX=10090 GN=Met PE=1 SV=1,4,9.7,12.4,10.9,9.2,9.6,10.2,8.7,9.6,10.1,9.7,0.32794,0.45422
sp|P30285|CDK4_MOUSE,Cdk4,Cyclin-dependent kinase 4 OS=Mus musculus OX=10090 GN=Cdk4 PE=1 SV=1,1,10.2,10.7,7.7,7.9,8.8,12.1,8.8,11.2,11.3,11.2,0.05138,0.22020
sp|Q8K0D0|CDK17_MOUSE,Cdk17,Cyclin-dependent kinase 17 OS=Mus musculus OX=10090 GN=Cdk17 PE=1 SV=2,1,10.2,8.9,9.7,10.9,10.6,10.5,10.9,8.0,10.9,9.4,0.86527,0.65534
sp|P41241|CSK_MOUSE,Csk,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,11,10.6,10.3,10.5,9.2,9.0,9.9,10.0,9.5,10.9,10.2,0.67408,0.59699
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",7,10.6,10.1,10.6,12.7,10.2,9.4,9.0,10.1,9.1,8.1,0.02161,0.16625
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,3,10.3,10.2,8.9,10.1,9.8,10.2,9.5,9.7,10.7,10.6,0.43753,0.50674
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",27,9.8,9.4,10.1,12.0,10.2,10.0,9.1,10.6,9.4,9.4,0.30068,0.43822
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,26,9.8,9.6,11.0,10.7,9.9,10.0,10.4,8.7,10.8,9.1,0.43996,0.50780
tr|A2AJ72|A2AJ72_MOUSE,Fubp3,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,8,10.2,11.0,10.2,10.3,10.0,10.0,9.8,9.4,9.6,9.6,0.01212,0.14108
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,20,8.7,10.9,9.8,11.6,9.6,10.4,9.4,9.2,11.0,9.5,0.71162,0.60995
sp|Q91V81|RBM42_MOUSE,Rbm42,RNA-binding protein 42 OS=Mus musculus OX=10090 GN=Rbm42 PE=1 SV=1,1,10.9,9.5,11.3,9.1,9.0,8.7,11.4,8.8,11.4,9.6,0.96933,0.68052
sp|Q99KD5|UN45A_MOUSE,Unc45a,Protein unc-45 homolog A OS=Mus musculus OX=10090 GN=Unc45a PE=1 SV=2,10,10.8,11.4,9.6,8.5,9.3,9.6,10.2,9.4,11.2,10.1,0.79585,0.63622
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ddrgk1 PE=1 SV=2,7,10.5,11.7,10.8,10.3,9.4,9.4,9.1,9.4,10.0,9.4,0.04854,0.21590
sp|Q80UM7|MOGS_MOUSE,Mogs,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,21,11.1,12.7,10.6,8.8,10.2,9.0,8.2,8.7,10.5,10.2,0.12951,0.30725
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,13,10.3,11.7,8.8,5.1,5.6,13.1,14.6,8.0,11.9,10.9,0.08118,0.25812
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,14,9.6,10.0,9.4,9.9,9.4,10.1,9.3,10.9,10.0,11.3,0.14667,0.32251
sp|O35226|PSMD4_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,12,10.1,9.5,9.9,10.6,10.1,9.8,10.0,9.8,10.4,9.9,0.75660,0.62443
tr|F7AI87|F7AI87_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,1,10.4,9.9,9.8,11.7,9.6,9.6,10.2,9.2,10.6,9.0,0.26801,0.41669
sp|Q80X85|RT07_MOUSE,Mrps7,"28S ribosomal protein S7, mitochondrial OS=Mus musculus OX=10090 GN=Mrps7 PE=1 SV=1",9,10.3,10.0,10.6,10.8,10.2,10.2,8.9,10.1,9.8,9.0,0.03463,0.19151
sp|P58404|STRN4_MOUSE,Strn4,Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2,1,10.7,12.5,9.6,9.8,7.1,11.0,9.4,9.8,9.6,10.5,0.93625,0.67293
sp|O55106|STRN_MOUSE,Strn,Striatin OS=Mus musculus OX=10090 GN=Strn PE=1 SV=2,4,9.2,9.6,10.0,10.3,9.4,9.9,10.3,9.5,12.2,9.8,0.27377,0.42070
sp|Q9ERG2|STRN3_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,8,10.3,9.9,9.0,10.7,9.9,10.3,10.2,9.2,10.4,10.1,0.86140,0.65433
tr|B2RQS1|B2RQS1_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,2,8.9,9.8,9.8,11.3,10.3,11.1,9.4,9.5,10.1,9.7,0.86820,0.65611
sp|Q6ZQ73|CAND2_MOUSE,Cand2,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus OX=10090 GN=Cand2 PE=1 SV=2,2,9.0,9.1,9.6,11.2,10.2,10.6,8.9,10.8,10.6,9.9,0.58801,0.56524
sp|Q6ZQ38|CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,32,10.2,9.5,9.9,10.3,10.1,10.1,9.8,10.2,9.5,10.4,0.87322,0.65741
sp|Q91Z67|SRGP2_MOUSE,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2,2,9.9,9.9,9.6,7.6,9.4,10.1,11.4,9.6,11.3,11.1,0.03215,0.18775
sp|P28352|APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,9,10.2,9.8,11.1,10.0,10.4,9.2,9.2,8.6,10.9,10.6,0.26555,0.41495
sp|A2ASS6|TITIN_MOUSE,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,1,10.8,11.3,11.3,11.5,9.0,8.6,9.8,8.9,10.6,8.4,0.03817,0.19744
sp|Q8C5W0|CLMN_MOUSE,Clmn,Calmin OS=Mus musculus OX=10090 GN=Clmn PE=1 SV=2,20,10.4,10.2,10.9,11.0,10.2,9.5,10.1,9.3,9.8,8.7,0.00735,0.13410
sp|Q6PGC1|DHX29_MOUSE,Dhx29,ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1,21,10.6,11.2,11.3,10.6,9.4,9.5,10.0,8.5,10.2,8.7,0.03031,0.18473
sp|O54988|SLK_MOUSE,Slk,STE20-like serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Slk PE=1 SV=2,20,9.7,9.5,10.4,11.3,10.2,9.6,10.3,9.6,10.5,8.8,0.32936,0.45502
sp|Q6P9Q6|FKB15_MOUSE,Fkbp15,FK506-binding protein 15 OS=Mus musculus OX=10090 GN=Fkbp15 PE=1 SV=2,7,9.6,10.3,11.7,10.3,9.5,9.6,9.1,9.6,10.1,10.2,0.22634,0.38817
sp|Q60936|COQ8A_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2",20,10.4,8.7,9.3,11.5,11.2,10.2,9.5,10.9,8.9,9.3,0.51089,0.53700
sp|Q3UJB9|EDC4_MOUSE,Edc4,Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=2,8,9.6,11.2,10.3,9.2,9.2,9.5,9.9,9.5,11.0,10.6,0.69671,0.60491
tr|Q3UWL8|Q3UWL8_MOUSE,Pfdn4,Prefoldin subunit 4 OS=Mus musculus OX=10090 GN=Pfdn4 PE=1 SV=1,4,8.9,9.2,10.0,12.2,10.0,9.8,11.3,9.6,10.4,8.6,0.87388,0.65758
sp|Q91YE6|IPO9_MOUSE,Ipo9,Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3,4,12.0,10.8,10.4,9.6,8.8,10.0,9.4,8.6,8.7,11.7,0.45230,0.51309
sp|Q64511|TOP2B_MOUSE,Top2b,DNA topoisomerase 2-beta OS=Mus musculus OX=10090 GN=Top2b PE=1 SV=2,30,9.4,9.9,10.1,9.8,9.6,10.4,10.3,9.5,11.1,9.9,0.16402,0.33937
sp|P97807|FUMH_MOUSE,Fh,"Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",38,10.8,10.8,10.3,10.2,9.9,9.4,9.5,9.8,9.9,9.6,0.00737,0.13415
sp|Q9CZW5|TOM70_MOUSE,Tomm70,Mitochondrial import receptor subunit TOM70 OS=Mus musculus OX=10090 GN=Tomm70 PE=1 SV=2,23,9.1,10.5,10.4,10.6,9.6,9.8,9.6,11.3,9.4,9.7,0.86697,0.65579
tr|B1B1A8|B1B1A8_MOUSE,Mylk,"Myosin light chain kinase, smooth muscle OS=Mus musculus OX=10090 GN=Mylk PE=1 SV=1",29,9.6,8.8,9.0,9.3,13.3,10.6,10.2,9.1,10.4,9.7,0.97013,0.68070
sp|Q9WTU6|MK09_MOUSE,Mapk9,Mitogen-activated protein kinase 9 OS=Mus musculus OX=10090 GN=Mapk9 PE=1 SV=2,4,10.8,9.6,10.4,10.2,9.1,10.1,10.4,9.5,11.0,9.0,0.97170,0.68105
sp|P47811|MK14_MOUSE,Mapk14,Mitogen-activated protein kinase 14 OS=Mus musculus OX=10090 GN=Mapk14 PE=1 SV=3,7,10.5,9.7,9.9,9.3,10.1,10.1,10.0,9.1,10.5,10.7,0.61301,0.57469
sp|Q99PL5|RRBP1_MOUSE,Rrbp1,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,53,11.7,11.4,13.6,10.5,10.1,7.7,8.1,8.4,10.7,7.9,0.00779,0.13497
tr|Q8C845|Q8C845_MOUSE,Efhd2,EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1,12,10.0,8.7,9.9,9.4,9.0,9.6,12.5,8.7,11.7,10.7,0.14719,0.32301
sp|Q9D4J1|EFHD1_MOUSE,Efhd1,EF-hand domain-containing protein D1 OS=Mus musculus OX=10090 GN=Efhd1 PE=1 SV=1,1,9.3,10.3,9.1,9.5,8.4,10.5,11.8,10.3,11.2,9.5,0.03079,0.18554
tr|A0A0R4J0F6|A0A0R4J0F6_MOUSE,Gak,Cyclin-G-associated kinase OS=Mus musculus OX=10090 GN=Gak PE=1 SV=1,7,10.2,11.0,10.4,9.4,9.6,9.8,10.0,9.5,10.9,9.2,0.56349,0.55680
sp|Q9CQF0|RM11_MOUSE,Mrpl11,"39S ribosomal protein L11, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl11 PE=1 SV=1",6,10.4,10.6,10.3,10.8,10.3,9.5,9.7,10.0,9.5,8.9,0.00230,0.10969
sp|Q8BIJ7|RUFY1_MOUSE,Rufy1,RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1,8,10.3,11.7,11.0,10.7,9.3,8.6,9.2,9.3,10.7,9.3,0.04971,0.21771
tr|A0A0G2JFT8|A0A0G2JFT8_MOUSE,Rufy3,Protein RUFY3 OS=Mus musculus OX=10090 GN=Rufy3 PE=1 SV=1,7,10.8,9.0,11.8,10.8,10.0,9.1,10.5,9.3,10.7,8.0,0.18797,0.36012
tr|E9QAQ7|E9QAQ7_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,5,9.5,9.2,8.1,7.4,8.9,11.2,10.8,10.4,12.9,11.5,0.00152,0.09972
sp|P10107|ANXA1_MOUSE,Anxa1,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,7,8.9,8.1,7.8,5.4,6.9,13.0,13.5,8.1,14.8,13.5,0.00733,0.13407
tr|A0A338P6U8|A0A338P6U8_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B OS=Mus musculus OX=10090 GN=Arid1b PE=1 SV=1,3,10.4,10.4,10.8,9.4,9.2,10.1,9.5,9.9,10.4,9.9,0.81585,0.64194
sp|P23116|EIF3A_MOUSE,Eif3a,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5,38,10.4,11.2,11.1,10.9,9.5,9.4,9.0,9.4,10.1,9.1,0.01209,0.14104
tr|A0A0G2JEX1|A0A0G2JEX1_MOUSE,Nexn,Nexilin OS=Mus musculus OX=10090 GN=Nexn PE=1 SV=1,1,9.5,6.1,8.1,5.5,7.7,11.5,15.3,7.6,17.9,10.7,0.04192,0.20445
sp|Q9Z1E4|GYS1_MOUSE,Gys1,"Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2",1,13.5,6.2,9.1,9.9,9.5,8.4,8.8,12.3,9.6,12.8,0.63423,0.58235
sp|Q8VCB3|GYS2_MOUSE,Gys2,"Glycogen [starch] synthase, liver OS=Mus musculus OX=10090 GN=Gys2 PE=1 SV=2",30,9.4,6.5,9.5,12.1,11.4,10.7,9.3,11.6,8.0,11.5,0.69457,0.60417
sp|Q8BLY2|SYTC2_MOUSE,Tarsl2,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tarsl2 PE=1 SV=1",9,9.8,10.5,9.6,9.6,10.4,10.1,9.4,10.3,9.6,10.6,0.98648,0.68432
sp|Q9D0R2|SYTC_MOUSE,Tars,"Threonine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Tars PE=1 SV=2",28,10.0,10.5,9.9,10.3,9.5,10.4,8.5,10.9,9.3,10.6,0.78578,0.63327
sp|Q9DCJ5|NDUA8_MOUSE,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=1 SV=3,6,10.4,9.3,10.7,10.8,10.1,9.6,9.3,10.5,10.3,8.9,0.21621,0.38134
tr|Q3UEL5|Q3UEL5_MOUSE,Uroc1,Urocanate hydratase OS=Mus musculus OX=10090 GN=Uroc1 PE=1 SV=1,44,10.0,11.0,8.8,9.9,10.0,11.4,8.0,11.3,9.5,10.2,0.82571,0.64470
sp|O70423|AOC3_MOUSE,Aoc3,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3,1,5.7,7.6,5.1,5.9,20.3,10.4,11.2,8.0,8.3,17.5,0.54537,0.55026
tr|K3W4R5|K3W4R5_MOUSE,Ckap5,Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,15,10.0,10.3,10.2,10.8,10.2,10.0,9.4,9.6,10.1,9.3,0.01889,0.16006
sp|B2RXC1|TPC11_MOUSE,Trappc11,Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1,4,10.1,11.1,9.7,8.6,9.5,10.1,9.8,10.4,10.2,10.4,0.40014,0.48983
sp|Q60864|STIP1_MOUSE,Stip1,Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1,30,9.9,8.9,10.8,12.5,10.3,8.8,10.1,8.6,10.1,10.1,0.22748,0.38892
sp|Q64345|IFIT3_MOUSE,Ifit3,Interferon-induced protein with tetratricopeptide repeats 3 OS=Mus musculus OX=10090 GN=Ifit3 PE=1 SV=1,3,8.5,10.0,8.4,8.8,7.8,13.0,13.9,6.7,13.6,9.4,0.13829,0.31428
tr|D3Z7X0|D3Z7X0_MOUSE,Acad12,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus OX=10090 GN=Acad12 PE=1 SV=1",3,10.7,8.8,8.8,11.6,10.5,11.5,10.4,9.7,9.0,8.9,0.82283,0.64390
sp|Q8K370|ACD10_MOUSE,Acad10,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus OX=10090 GN=Acad10 PE=1 SV=1,28,8.5,8.5,8.7,9.8,10.9,12.2,10.2,11.2,10.3,9.7,0.05961,0.23109
tr|A0A0R4J078|A0A0R4J078_MOUSE,Ubxn4,"UBX domain containing 2, isoform CRA_a OS=Mus musculus OX=10090 GN=Ubxn4 PE=1 SV=1",10,10.1,10.7,9.9,11.7,10.1,9.3,9.6,9.1,10.0,9.4,0.02935,0.18309
sp|P30999|CTND1_MOUSE,Ctnnd1,Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2,27,9.5,10.1,10.9,10.9,10.4,9.8,9.1,9.4,10.7,9.2,0.10500,0.28404
sp|Q8VH51|RBM39_MOUSE,Rbm39,RNA-binding protein 39 OS=Mus musculus OX=10090 GN=Rbm39 PE=1 SV=2,13,9.7,10.4,9.7,9.4,10.0,10.2,9.8,9.4,11.0,10.3,0.35168,0.46692
sp|Q9CRB9|MIC19_MOUSE,Chchd3,MICOS complex subunit Mic19 OS=Mus musculus OX=10090 GN=Chchd3 PE=1 SV=1,13,9.5,8.6,10.5,11.4,9.8,10.3,10.5,10.7,10.0,8.7,0.91613,0.66813
sp|Q6ZQ08|CNOT1_MOUSE,Cnot1,CCR4-NOT transcription complex subunit 1 OS=Mus musculus OX=10090 GN=Cnot1 PE=1 SV=2,11,10.2,10.4,10.0,9.4,9.7,9.8,10.0,10.0,10.7,9.7,0.75169,0.62291
sp|Q80SY4|MIB1_MOUSE,Mib1,E3 ubiquitin-protein ligase MIB1 OS=Mus musculus OX=10090 GN=Mib1 PE=1 SV=1,15,9.9,10.2,10.6,11.2,9.9,9.8,9.6,9.4,10.2,9.1,0.04007,0.20086
sp|Q8K3A9|MEPCE_MOUSE,Mepce,7SK snRNA methylphosphate capping enzyme OS=Mus musculus OX=10090 GN=Mepce PE=1 SV=2,1,9.2,9.1,10.2,10.4,10.4,9.9,8.9,11.3,11.9,8.6,0.70821,0.60881
sp|Q9D8N0|EF1G_MOUSE,Eef1g,Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3,37,11.3,12.0,11.7,9.5,9.5,8.8,9.0,8.9,9.7,9.6,0.03685,0.19499
sp|Q99LC9|PEX6_MOUSE,Pex6,Peroxisome assembly factor 2 OS=Mus musculus OX=10090 GN=Pex6 PE=1 SV=1,13,9.2,9.8,7.6,9.0,9.7,11.3,10.8,10.6,9.7,12.4,0.01108,0.13994
tr|E0CZ22|E0CZ22_MOUSE,Mroh1,Maestro heat-like repeat family member 1 OS=Mus musculus OX=10090 GN=Mroh1 PE=1 SV=1,1,8.1,11.3,11.1,9.7,7.3,9.3,13.7,7.5,11.0,11.0,0.46517,0.51843
tr|E9PVZ8|E9PVZ8_MOUSE,Golgb1,"Golgi autoantigen, golgin subfamily b, macrogolgin 1 OS=Mus musculus OX=10090 GN=Golgb1 PE=1 SV=1",46,9.7,11.2,11.3,11.2,9.2,9.0,9.8,8.9,10.5,9.2,0.09770,0.27665
sp|Q9JJY4|DDX20_MOUSE,Ddx20,Probable ATP-dependent RNA helicase DDX20 OS=Mus musculus OX=10090 GN=Ddx20 PE=1 SV=2,1,10.3,10.3,11.7,11.1,7.5,10.8,8.2,9.6,9.5,11.1,0.73194,0.61663
sp|Q9JIF7|COPB_MOUSE,Copb1,Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1,33,11.2,11.8,11.1,8.4,8.4,9.8,9.0,9.2,10.0,11.1,0.70114,0.60642
tr|Q543K9|Q543K9_MOUSE,Pnp,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=1,10,11.7,10.6,11.0,9.7,10.3,7.9,8.8,8.6,9.6,11.9,0.15338,0.32925
tr|Q9D8C9|Q9D8C9_MOUSE,Pnp2,Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp2 PE=1 SV=1,8,11.8,11.9,9.4,9.9,9.7,9.0,8.8,9.2,9.7,10.7,0.13743,0.31362
sp|Q68FH0|PKP4_MOUSE,Pkp4,Plakophilin-4 OS=Mus musculus OX=10090 GN=Pkp4 PE=1 SV=1,2,7.9,9.2,9.1,10.0,9.4,12.2,11.5,10.6,10.8,9.4,0.01692,0.15508
tr|Q9CQ73|Q9CQ73_MOUSE,Pkp2,Plakophilin 2 OS=Mus musculus OX=10090 GN=Pkp2 PE=1 SV=1,14,8.9,11.1,9.1,9.3,9.0,10.4,10.8,10.7,10.2,10.5,0.05584,0.22637
tr|H3BL37|H3BL37_MOUSE,Tcof1,Treacle protein OS=Mus musculus OX=10090 GN=Tcof1 PE=1 SV=1,10,9.2,9.6,11.1,11.1,9.9,9.0,11.1,9.0,11.4,8.7,0.65789,0.59112
tr|Q3UID0|Q3UID0_MOUSE,Smarcc2,SWI/SNF complex subunit SMARCC2 OS=Mus musculus OX=10090 GN=Smarcc2 PE=1 SV=1,4,9.1,10.2,10.3,11.6,9.5,10.2,9.8,9.7,10.5,9.3,0.63170,0.58145
sp|Q9Z2D6|MECP2_MOUSE,Mecp2,Methyl-CpG-binding protein 2 OS=Mus musculus OX=10090 GN=Mecp2 PE=1 SV=1,7,8.0,8.3,9.8,11.0,9.8,11.9,10.3,11.5,10.0,9.4,0.12035,0.29921
sp|Q3U0S6|RAIN_MOUSE,Rasip1,Ras-interacting protein 1 OS=Mus musculus OX=10090 GN=Rasip1 PE=1 SV=3,3,10.0,9.0,10.7,9.9,10.6,9.6,10.9,10.8,10.6,8.0,0.93504,0.67264
tr|E9QKE4|E9QKE4_MOUSE,Rab3gap2,Rab3 GTPase-activating protein non-catalytic subunit OS=Mus musculus OX=10090 GN=Rab3gap2 PE=1 SV=1,12,9.5,10.1,9.0,9.7,9.7,10.8,11.1,10.0,10.0,10.2,0.02135,0.16562
sp|Q4LDD4|ARAP1_MOUSE,Arap1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Arap1 PE=1 SV=2",4,10.3,10.3,11.2,9.8,10.1,10.8,8.8,8.2,10.4,10.2,0.28979,0.43135
sp|Q9Z1W9|STK39_MOUSE,Stk39,STE20/SPS1-related proline-alanine-rich protein kinase OS=Mus musculus OX=10090 GN=Stk39 PE=1 SV=1,1,6.3,13.3,8.2,14.3,8.9,12.5,7.4,11.7,7.4,10.0,0.84400,0.64970
sp|Q6P9R2|OXSR1_MOUSE,Oxsr1,Serine/threonine-protein kinase OSR1 OS=Mus musculus OX=10090 GN=Oxsr1 PE=1 SV=1,8,9.5,8.5,10.9,11.3,10.6,9.9,10.6,9.8,9.8,9.1,0.58174,0.56313
tr|B1AZ26|B1AZ26_MOUSE,Cobll1,Cordon-bleu protein-like 1 (Fragment) OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=8,1,8.3,8.9,13.3,11.7,9.9,9.0,11.4,9.3,10.4,7.9,0.48149,0.52519
sp|Q3UMF0|COBL1_MOUSE,Cobll1,Cordon-bleu protein-like 1 OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=2,29,8.9,9.1,10.3,11.5,9.6,10.1,10.5,11.2,9.7,9.2,0.64175,0.58511
sp|P35486|ODPA_MOUSE,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1",21,9.2,8.0,9.4,9.7,10.1,11.3,11.3,10.8,9.9,10.4,0.01119,0.14007
sp|Q505D7|OPA3_MOUSE,Opa3,Optic atrophy 3 protein homolog OS=Mus musculus OX=10090 GN=Opa3 PE=1 SV=1,2,9.0,9.0,9.2,12.3,9.1,11.5,9.0,11.1,7.7,12.1,0.60483,0.57165
