# Output table from Spectronaut filtered for the comparison of Geriatric to Young mouse crypts isolated from ileum only. Related to Figure 3 and S3.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
ger ile / young ile,Q9CWK8,Snx2,Sorting nexin-2,SNX2_MOUSE,22,0.646897912,0.646897912,56.57977896,1.56579779,8.77E-05
ger ile / young ile,Q9R1P0,Psma4,Proteasome subunit alpha type-4,PSA4_MOUSE,14,0.853250742,0.853250742,80.65669763,1.806566976,0.000108178
ger ile / young ile,Q91WN1,Dnajc9,DnaJ homolog subfamily C member 9,DNJC9_MOUSE,11,0.653741062,0.653741062,57.32424961,1.573242496,0.00010833
ger ile / young ile,Q99L04,Dhrs1,Dehydrogenase/reductase SDR family member 1,DHRS1_MOUSE,25,0.613517582,0.613517582,52.99850781,1.529985078,0.000121157
ger ile / young ile,O89086,Rbm3,RNA-binding protein 3,RBM3_MOUSE,10,0.636030614,0.636030614,55.40475145,1.554047515,0.00015363
ger ile / young ile,Q9Z2U1,Psma5,Proteasome subunit alpha type-5,PSA5_MOUSE,14,0.635500908,0.635500908,55.34770281,1.553477028,0.000157742
ger ile / young ile,Q7M758,Naaladl1,N-acetylated-alpha-linked acidic dipeptidase-like protein,NALDL_MOUSE,31,-0.719596624,0.719596624,-39.27327904,0.60726721,0.000167204
ger ile / young ile,A2AFS3,Kiaa1324,UPF0577 protein KIAA1324,K1324_MOUSE,18,-0.793663979,0.793663979,-42.31228513,0.576877149,0.000182604
ger ile / young ile,Q62393,Tpd52,Tumor protein D52,TPD52_MOUSE,13,1.838612199,1.838612199,257.665806,3.57665806,0.000199041
ger ile / young ile,Q8C0N2,Agpat9,Glycerol-3-phosphate acyltransferase 3,GPAT3_MOUSE,17,-1.205991507,1.205991507,-56.65286663,0.433471334,0.000203137
ger ile / young ile,P06728,Apoa4,Apolipoprotein A-IV,APOA4_MOUSE,27,3.397586584,3.397586584,953.8419312,10.53841931,0.000203534
ger ile / young ile,Q8R3B1,Plcd1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",PLCD1_MOUSE,27,-0.848307133,0.848307133,-44.4563894,0.555436106,0.000243972
ger ile / young ile,Q9D8I3,Glod5,Glyoxalase domain-containing protein 5,GLOD5_MOUSE,13,0.75248605,0.75248605,68.4693392,1.684693392,0.000309824
ger ile / young ile,Q9D8E6,Rpl4,60S ribosomal protein L4,RL4_MOUSE,35,0.792680085,0.792680085,73.22895378,1.732289538,0.000310903
ger ile / young ile,Q04447,Ckb,Creatine kinase B-type,KCRB_MOUSE,23,0.70263052,0.70263052,62.74695151,1.627469515,0.000331034
ger ile / young ile,Q80X80,C2cd2l,C2 domain-containing protein 2-like,C2C2L_MOUSE,17,-0.812061191,0.812061191,-43.04324696,0.56956753,0.000338913
ger ile / young ile,Q3L180,Defa26,Alpha-defensin 26,DFA26_MOUSE,3,-1.220046997,1.220046997,-57.07312658,0.429268734,0.000358644
ger ile / young ile,P11438,Lamp1,Lysosome-associated membrane glycoprotein 1,LAMP1_MOUSE,5,0.605400503,0.605400503,52.14010467,1.521401047,0.000358981
ger ile / young ile,P54116,Stom,Erythrocyte band 7 integral membrane protein,STOM_MOUSE,9,-0.890486062,0.890486062,-46.05676537,0.539432346,0.000379736
ger ile / young ile,Q5HZI1,Mtus1,Microtubule-associated tumor suppressor 1 homolog,MTUS1_MOUSE,12,-0.745061278,0.745061278,-40.33574714,0.596642529,0.00038107
ger ile / young ile,P61971,Nutf2,Nuclear transport factor 2,NTF2_MOUSE,5,1.038005233,1.038005233,105.3386539,2.053386539,0.000383442
ger ile / young ile,Q80UJ7,Rab3gap1,Rab3 GTPase-activating protein catalytic subunit,RB3GP_MOUSE,19,-0.581219435,0.581219435,-33.16014238,0.668398576,0.000437172
ger ile / young ile,P27784,Ccl6,C-C motif chemokine 6,CCL6_MOUSE,12,-0.860251367,0.860251367,-44.91434286,0.550856571,0.000472381
ger ile / young ile,Q99LM2,Cdk5rap3,CDK5 regulatory subunit-associated protein 3,CK5P3_MOUSE,19,-0.601963878,0.601963878,-34.11435278,0.658856472,0.000506054
ger ile / young ile,P20152,Vim,Vimentin,VIME_MOUSE,33,0.600295842,0.600295842,51.6027414,1.516027414,0.000512999
ger ile / young ile,Q9WVA4,Tagln2,Transgelin-2,TAGL2_MOUSE,24,0.645625889,0.645625889,56.44178358,1.564417836,0.00053395
ger ile / young ile,Q99KP3,Cryl1,Lambda-crystallin homolog,CRYL1_MOUSE,21,0.712045074,0.712045074,63.81245742,1.638124574,0.00053828
ger ile / young ile,Q60738,Slc30a1,Zinc transporter 1,ZNT1_MOUSE,5,-1.588000178,1.588000178,-66.73677808,0.332632219,0.00061739
ger ile / young ile,Q91Y97,Aldob,Fructose-bisphosphate aldolase B,ALDOB_MOUSE,39,0.663725197,0.663725197,58.41678429,1.584167843,0.000653501
ger ile / young ile,P39749,Fen1,Flap endonuclease 1,FEN1_MOUSE,12,0.641111672,0.641111672,55.95303961,1.559530396,0.000667213
ger ile / young ile,P13439,Umps,Uridine 5'-monophosphate synthase,UMPS_MOUSE,16,0.737190485,0.737190485,66.6926491,1.666926491,0.000696332
ger ile / young ile,A2ARJ3,Tmem236,Transmembrane protein 236,TM236_MOUSE,7,-1.134333134,1.134333134,-54.44545621,0.455545438,0.00071229
ger ile / young ile,Q6ZQH8,Nup188,Nucleoporin NUP188 homolog,NU188_MOUSE,18,-0.732751131,0.732751131,-39.82446915,0.601755309,0.000793935
ger ile / young ile,Q99PE8,Abcg5,ATP-binding cassette sub-family G member 5,ABCG5_MOUSE,15,-1.003976583,1.003976583,-50.13762812,0.498623719,0.000803994
ger ile / young ile,Q2TPA8,Hsdl2,Hydroxysteroid dehydrogenase-like protein 2,HSDL2_MOUSE,35,0.718607247,0.718607247,64.55926405,1.64559264,0.000834774
ger ile / young ile,Q9R1K9,Cetn2,Centrin-2,CETN2_MOUSE,3,1.09768784,1.09768784,114.0114285,2.140114285,0.000857374
ger ile / young ile,Q00623,Apoa1,Apolipoprotein A-I,APOA1_MOUSE,19,0.845063984,0.845063984,79.6344413,1.796344413,0.000891111
ger ile / young ile,P17892,Pnliprp2,Pancreatic lipase-related protein 2,LIPR2_MOUSE,16,-0.70073694,0.70073694,-38.47421521,0.615257848,0.000918352
ger ile / young ile,Q6P3A8,Bckdhb,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",ODBB_MOUSE,12,0.751750886,0.751750886,68.38351303,1.68383513,0.000930782
ger ile / young ile,O54962,Banf1,Barrier-to-autointegration factor,BAF_MOUSE,15,0.776423872,0.776423872,71.28797484,1.712879748,0.000933802
ger ile / young ile,Q921M7,Fam49b,Protein FAM49B,FA49B_MOUSE,10,0.730828643,0.730828643,65.95920402,1.65959204,0.001054394
ger ile / young ile,Q61233,Lcp1,Plastin-2,PLSL_MOUSE,30,0.71647054,0.71647054,64.31572351,1.643157235,0.00112636
ger ile / young ile,Q9QXT0,Cnpy2,Protein canopy homolog 2,CNPY2_MOUSE,14,-0.626335621,0.626335621,-35.21802401,0.64781976,0.001214913
ger ile / young ile,Q9QXD6,Fbp1,"Fructose-1,6-bisphosphatase 1",F16P1_MOUSE,15,1.060913563,1.060913563,108.6252188,2.086252188,0.001447888
ger ile / young ile,Q62422,Ostf1,Osteoclast-stimulating factor 1,OSTF1_MOUSE,9,0.879188657,0.879188657,83.93406015,1.839340602,0.001462034
ger ile / young ile,P62880,Gnb2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GBB2_MOUSE,17,-0.600649178,0.600649178,-34.05428512,0.659457149,0.001473573
ger ile / young ile,Q7TQ65,Tmc4,Transmembrane channel-like protein 4,TMC4_MOUSE,6,-0.97163558,0.97163558,-49.00723688,0.509927631,0.001503738
ger ile / young ile,Q5I012,Slc38a10,Putative sodium-coupled neutral amino acid transporter 10,S38AA_MOUSE,15,-0.739987493,0.739987493,-40.12554569,0.598744543,0.001548024
ger ile / young ile,Q99020,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,ROAA_MOUSE,19,-0.650999248,0.650999248,-36.31609304,0.63683907,0.001588995
ger ile / young ile,P37804,Tagln,Transgelin,TAGL_MOUSE,18,1.178368568,1.178368568,126.3207038,2.263207038,0.001598528
ger ile / young ile,Q9D892,Itpa,Inosine triphosphate pyrophosphatase,ITPA_MOUSE,12,0.738692224,0.738692224,66.86625418,1.668662542,0.001698282
ger ile / young ile,Q91YJ3,Thyn1,Thymocyte nuclear protein 1,THYN1_MOUSE,9,0.792704761,0.792704761,73.23191677,1.732319168,0.001711035
ger ile / young ile,P49935,Ctsh,Pro-cathepsin H,CATH_MOUSE,8,0.609396338,0.609396338,52.56207156,1.525620716,0.001751696
ger ile / young ile,P99027,Rplp2,60S acidic ribosomal protein P2,RLA2_MOUSE,12,0.705696762,0.705696762,63.09321469,1.630932147,0.001794963
ger ile / young ile,Q91V76,NaN,Ester hydrolase C11orf54 homolog,CK054_MOUSE,18,0.673068404,0.673068404,59.44605513,1.594460551,0.001932349
ger ile / young ile,Q61847,Mep1b,Meprin A subunit beta,MEP1B_MOUSE,28,-0.703057051,0.703057051,-38.57308012,0.614269199,0.00200567
ger ile / young ile,CON__P00761,NaN,NaN,CON__P00761,5,0.946454585,0.946454585,92.71309198,1.92713092,0.002071791
ger ile / young ile,P24549,Aldh1a1,Retinal dehydrogenase 1,AL1A1_MOUSE,35,0.785643697,0.785643697,72.38612945,1.723861294,0.002137332
ger ile / young ile,Q9CPT4,Mydgf,Myeloid-derived growth factor,MYDGF_MOUSE,9,-0.93745178,0.93745178,-47.78456568,0.522154343,0.002169747
ger ile / young ile,Q7TNV0,Dek,Protein DEK,DEK_MOUSE,14,0.702567816,0.702567816,62.73987817,1.627398782,0.002254728
ger ile / young ile,P28310;P50706,Defa3;Defa8,Alpha-defensin 3;Alpha-defensin 8 (Fragment),DEFA3_MOUSE;DEFA8_MOUSE,7,-0.816674173,0.816674173,-43.22507394,0.567749261,0.002331223
ger ile / young ile,O89001,Cpd,Carboxypeptidase D,CBPD_MOUSE,21,-0.589892328,0.589892328,-33.56075094,0.664392491,0.002372681
ger ile / young ile,O35083,Agpat1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,PLCA_MOUSE,8,-0.707746267,0.707746267,-38.77241298,0.61227587,0.002374327
ger ile / young ile,Q8R0I0,Ace2,Angiotensin-converting enzyme 2,ACE2_MOUSE,36,-0.627328038,0.627328038,-35.26257165,0.647374284,0.002416211
ger ile / young ile,Q8K157,Galm,Aldose 1-epimerase,GALM_MOUSE,10,0.725008667,0.725008667,65.29105656,1.652910566,0.002468557
ger ile / young ile,Q9DB20,Atp5o,"ATP synthase subunit O, mitochondrial",ATPO_MOUSE,20,0.847789288,0.847789288,79.97409797,1.79974098,0.00249749
ger ile / young ile,P00493,Hprt1,Hypoxanthine-guanine phosphoribosyltransferase,HPRT_MOUSE,11,0.627705455,0.627705455,54.51056135,1.545105613,0.002525481
ger ile / young ile,Q99L47,St13,Hsc70-interacting protein,F10A1_MOUSE,15,0.748923182,0.748923182,68.05380204,1.68053802,0.002680665
ger ile / young ile,Q91VA1,Slc44a4,Choline transporter-like protein 4,CTL4_MOUSE,7,-0.93073082,0.93073082,-47.5407466,0.524592534,0.002726085
ger ile / young ile,Q9CQI7,Snrpb2,U2 small nuclear ribonucleoprotein B'',RU2B_MOUSE,8,0.928703308,0.928703308,90.35643066,1.903564307,0.00274853
ger ile / young ile,P58389,Ppp2r4,Serine/threonine-protein phosphatase 2A activator,PTPA_MOUSE,9,0.696614504,0.696614504,62.06971226,1.620697123,0.002790031
ger ile / young ile,P83093,Stim2,Stromal interaction molecule 2,STIM2_MOUSE,6,-0.591269076,0.591269076,-33.62412295,0.663758771,0.002813618
ger ile / young ile,Q8CHP5,Wibg,Partner of Y14 and mago,WIBG_MOUSE,10,0.690830171,0.690830171,61.42121186,1.614212119,0.00282031
ger ile / young ile,P04187,Gzmb,"Granzyme B(G,H)",GRAB_MOUSE,7,-1.394215345,1.394215345,-61.95484475,0.380451552,0.003080953
ger ile / young ile,Q08652,Rbp2,Retinol-binding protein 2,RET2_MOUSE,10,1.669253469,1.669253469,218.049974,3.18049974,0.003402505
ger ile / young ile,Q9R049,Amfr,E3 ubiquitin-protein ligase AMFR,AMFR_MOUSE,7,-0.900201678,0.900201678,-46.41881766,0.535811823,0.003502277
ger ile / young ile,Q9JMG2,C1galt1c1,C1GALT1-specific chaperone 1,C1GLC_MOUSE,9,-0.927799404,0.927799404,-47.43404614,0.525659539,0.003505908
ger ile / young ile,Q812G0,Mgat4a,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",MGT4A_MOUSE,11,-0.691036582,0.691036582,-38.05913575,0.619408643,0.003661093
ger ile / young ile,Q9D6K8,Fundc2,FUN14 domain-containing protein 2,FUND2_MOUSE,4,1.338572621,1.338572621,152.9009789,2.529009789,0.00371993
ger ile / young ile,P50543,S100a11,Protein S100-A11,S10AB_MOUSE,6,1.411839724,1.411839724,166.0762468,2.660762468,0.003816493
ger ile / young ile,B1AQJ2,Usp36,Ubiquitin carboxyl-terminal hydrolase 36,UBP36_MOUSE,3,0.94105494,0.94105494,91.99316349,1.919931635,0.00396275
ger ile / young ile,Q8VHF2,Cdhr5,Cadherin-related family member 5,CDHR5_MOUSE,16,-0.592201889,0.592201889,-33.66702616,0.663329738,0.003963133
ger ile / young ile,Q9D6Z0,Alkbh7,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial",ALKB7_MOUSE,3,-0.85189116,0.85189116,-44.59420283,0.554057972,0.003985358
ger ile / young ile,Q9CQC6,Bzw1,Basic leucine zipper and W2 domain-containing protein 1,BZW1_MOUSE,21,0.691532016,0.691532016,61.49975942,1.614997594,0.004032646
ger ile / young ile,Q8CHT3,Ints5,Integrator complex subunit 5,INT5_MOUSE,3,-0.981056869,0.981056869,-49.33915201,0.50660848,0.004141033
ger ile / young ile,P47955,Rplp1,60S acidic ribosomal protein P1,RLA1_MOUSE,5,1.0115031,1.0115031,101.6010427,2.016010427,0.004182057
ger ile / young ile,Q9Z1G4,Atp6v0a1,V-type proton ATPase 116 kDa subunit a isoform 1,VPP1_MOUSE,13,-0.687395632,0.687395632,-37.9026173,0.620973827,0.004545834
ger ile / young ile,Q8VD00,Tmem97,Transmembrane protein 97,TMM97_MOUSE,1,2.078909397,2.078909397,322.4877166,4.224877166,0.004593811
