Accession,Description,Entry Name,Gene names,Y1_OG  (Spec count),Y2_OG (Spec count),Y3_OG (Spec count),Y4_OG (Spec count),Y5_OG (Spec count),Y6_OG (Spec count),Y1_HP (Spec count),Y2_HP (Spec count),Y3_HP (Spec count),Y4_HP (Spec count),Y5_HP (Spec count),Y6_HP (Spec count),O1_OG (Spec count),O2_OG (Spec count),O3_OG (Spec count),O4_OG (Spec count),O5_OG (Spec count),O6_OG (Spec count),O1_HP (Spec count),O2_HP (Spec count),O3_HP (Spec count),O4_HP (Spec count),O5_HP (Spec count),O6_HP (Spec count),G_value OG,SAM (D) OG,OG_Fold Change (Old/Young),G_value HP,SAM (D) HP,HP_Fold Change (Old/Young),G-val OG_HP,SAM (D) OG_HP
P07758,Alpha-1-antitrypsin 1-1 OS=Mus musculus GN=Serpina1a PE=1 SV=4,A1AT1_MOUSE,Serpina1a Dom1 Spi1-1,219,224,314,498,906,658,247,331,459,295,282,307,174,255,209,300,553,310,142,288,349,301,296,273,230.6028726,-1.562,0.639,8.846211702,-1.334,0.858,192.107,-1.499
Q00623,Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=2,APOA1_MOUSE,Apoa1,887,1689,1704,1166,1915,1327,1676,3179,2954,2554,2492,2286,823,1574,973,1038,1880,1347,1080,2510,1905,2478,2453,2197,39.06699326,-0.828,0.879,104.358176,-1.483,0.834,139.321,-1.325
P18531,Ig heavy chain V region 3-6 OS=Mus musculus GN=Ighv3-6 PE=1 SV=1,HVM60_MOUSE,Ighv3-6 Gm16932,0,2,1,1,1,0,0,3,1,0,0,0,5,0,77,2,4,4,8,1,30,4,3,3,90.12197715,1.154,18.400,30.49051905,1.845,12.250,121.949,1.59
P05366,Serum amyloid A-1 protein OS=Mus musculus GN=Saa1 PE=1 SV=2,SAA1_MOUSE,Saa1,11,15,16,5,8,6,10,16,16,22,22,21,33,22,12,15,20,41,65,27,19,26,42,116,40.40818459,2.885,2.344,95.25113032,2.054,2.757,135.343,2.879
P02088,Hemoglobin subunit beta-1 OS=Mus musculus GN=Hbb-b1 PE=1 SV=2,HBB1_MOUSE,Hbb-b1,44,64,63,90,136,94,63,138,91,113,103,96,34,32,32,19,37,25,56,64,92,70,69,61,155.5298239,-4.433,0.365,22.17264377,-2.986,0.682,143.062,-4.836
P22599,Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2,A1AT2_MOUSE,Serpina1b Aat2 Dom2 Spi1-2,284,308,378,522,962,714,286,412,596,318,334,350,207,358,260,348,640,373,178,398,454,320,306,311,179.1569937,-1.538,0.690,10.39806132,-1.149,0.857,157.656,-1.439
Q61704,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus GN=Itih3 PE=1 SV=3,ITIH3_MOUSE,Itih3,60,71,73,41,79,53,96,152,158,113,99,123,170,129,68,45,103,106,200,179,169,133,122,195,79.12058455,2.299,1.647,58.55964074,2.321,1.347,135.073,3.082
Q00897,Alpha-1-antitrypsin 1-4 OS=Mus musculus GN=Serpina1d PE=2 SV=1,A1AT4_MOUSE,Serpina1d Dom4 Spi1-4,264,271,370,489,941,684,269,406,570,299,335,335,197,381,247,298,656,338,166,379,421,303,304,300,160.2585521,-1.423,0.701,12.36929537,-1.285,0.846,147.813,-1.398
Q07968,Coagulation factor XIII B chain OS=Mus musculus GN=F13b PE=1 SV=2,F13B_MOUSE,F13b Cf13b,146,155,157,136,148,111,139,207,187,152,95,89,72,46,88,86,136,104,69,131,95,104,82,79,84.39391732,-3.879,0.624,40.50568208,-3.291,0.644,123.713,-4.217
Q9DD06,Retinoic acid receptor responder protein 2 OS=Mus musculus GN=Rarres2 PE=1 SV=1,RARR2_MOUSE,Rarres2,6,4,1,0,0,1,5,2,4,2,2,2,15,27,10,0,2,1,17,61,24,4,3,2,30.33152249,1.530,4.583,55.1341007,1.835,6.529,86.255,2.482
P01027,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3,CO3_MOUSE,C3,979,1177,1423,703,1191,922,1395,2193,2274,1725,1353,1473,998,713,962,527,1213,1079,1262,1651,1675,1314,1370,1531,56.58842946,-1.381,0.859,35.40614604,-1.838,0.845,89.508,-1.655
P01758,Ig heavy chain V region 108A OS=Mus musculus GN=Igh-VJ558 PE=4 SV=1,HVM14_MOUSE,Igh-VJ558,5,9,0,8,0,0,0,0,0,0,0,0,0,0,29,23,0,14,0,0,37,15,13,11,26.86188604,1.297,3.000,57.68556899,2.371,#DIV/0!,77.604,2.416
P42703,Leukemia inhibitory factor receptor OS=Mus musculus GN=Lifr PE=1 SV=1,LIFR_MOUSE,Lifr,132,115,109,90,118,105,69,86,100,67,53,60,210,229,168,77,80,65,128,280,227,43,27,27,29.39124272,0.955,1.239,75.55731935,1.276,1.683,91.864,1.451
P01942,Hemoglobin subunit alpha OS=Mus musculus GN=Hba PE=1 SV=2,HBA_MOUSE,Hba Hba-a1,51,103,62,110,135,69,135,268,198,297,318,236,60,82,52,47,89,50,110,111,181,198,201,157,24.27879079,-1.676,0.717,70.3312286,-2.077,0.660,94.325,-1.774
P61939,Thyroxine-binding globulin OS=Mus musculus GN=Serpina7 PE=2 SV=1,THBG_MOUSE,Serpina7 Tbg,5,7,4,4,12,12,1,1,0,2,4,4,27,9,12,13,27,23,15,11,9,12,20,25,32.86635725,3.578,2.523,53.28808455,4.399,7.667,81.506,4.89
P01654,Ig kappa chain V-III region PC 2880/PC 1229 OS=Mus musculus PE=1 SV=1,KV3A1_MOUSE,0,6,13,0,0,15,0,0,7,0,0,4,0,13,15,25,28,26,6,0,12,18,23,7,5,55.76636022,2.917,3.324,29.25289126,2.398,5.909,85.805,3.216
Q91X72,Hemopexin OS=Mus musculus GN=Hpx PE=1 SV=2,HEMO_MOUSE,Hpx Hpxn,568,761,1085,553,1096,793,687,958,1035,797,723,719,985,636,938,616,1221,1008,751,857,1002,774,857,996,61.78000052,1.702,1.113,39.97382488,2.106,1.065,101.716,1.806
P03953,Isoform 2 of Complement factor D OS=Mus musculus GN=Cfd,CFAD_MOUSE,Cfd Adn Df,76,89,95,36,57,41,169,246,217,140,142,140,43,57,50,39,47,30,94,156,131,110,112,79,21.95375875,-1.759,0.675,50.68417454,-3.956,0.647,72.887,-2.166
Q8K182,Complement component C8 alpha chain OS=Mus musculus GN=C8a PE=2 SV=1,CO8A_MOUSE,C8a,67,84,99,111,157,126,84,114,147,204,191,189,56,11,23,109,149,115,48,20,24,210,151,138,31.44511979,-1.193,0.719,53.04276978,-1.273,0.636,83.788,-1.817
Q60590,Alpha-1-acid glycoprotein 1 OS=Mus musculus GN=Orm1 PE=1 SV=1,A1AG1_MOUSE,Orm1 Agp1 Orm-1,71,101,148,99,104,64,88,118,159,75,50,63,364,70,118,68,99,88,140,111,180,76,60,165,51.1824041,0.844,1.375,42.05982629,1.630,1.324,93.461,1.388
P04940,Ig kappa chain V-VI region NQ5-78.2.6 OS=Mus musculus PE=4 SV=1,KV6A6_MOUSE,0,2,4,0,2,3,2,1,3,0,1,0,0,2,5,15,7,17,4,2,3,12,13,28,5,21.52998097,2.571,3.846,39.89021352,2.312,12.600,60.455,3.545
P16882-2,Isoform 2 of Growth hormone receptor OS=Mus musculus GN=Ghr,GHR_MOUSE,Ghr,7,0,8,3,5,0,0,0,0,0,0,0,15,16,14,0,0,4,15,38,21,0,0,0,11.7270333,1.308,2.130,58.15790066,2.051,#DIV/0!,59.021,2.496
P51885,Lumican OS=Mus musculus GN=Lum PE=1 SV=2,LUM_MOUSE,Lum Lcn Ldc,52,64,58,25,52,37,97,121,116,120,83,87,36,30,39,30,48,30,40,64,72,61,56,48,9.901513018,-2.012,0.740,60.86504794,-8.861,0.546,64.639,-3.88
P04945,Ig kappa chain V-VI region NQ2-6.1 OS=Mus musculus PE=2 SV=1,KV6AB_MOUSE,0,3,3,1,1,5,2,1,1,0,1,1,1,4,6,13,29,13,11,1,3,11,12,2,3,51.15113874,2.287,5.067,12.70302242,2.181,6.400,64.949,2.534
P06728,Apolipoprotein A-IV OS=Mus musculus GN=Apoa4 PE=1 SV=3,APOA4_MOUSE,Apoa4,436,577,585,289,574,377,950,1259,1270,1118,870,772,411,538,409,375,577,415,503,870,872,997,895,758,0.028214198,0.000,0.960,84.70166152,-3.044,0.785,49.369,-1.077
Q91WP6,Serine protease inhibitor A3N OS=Mus musculus GN=Serpina3n PE=1 SV=1,SPA3N_MOUSE,Serpina3n Spi2,106,158,206,123,246,148,165,220,212,192,190,172,115,97,71,112,192,151,104,110,101,165,160,180,30.19665603,-2.304,0.748,31.71709773,-2.563,0.712,62.068,-3.402
Q01279,Epidermal growth factor receptor OS=Mus musculus GN=Egfr PE=1 SV=1,EGFR_MOUSE,Egfr,68,61,73,91,131,117,139,137,165,228,219,198,59,30,32,80,113,86,89,64,59,216,171,145,22.37698065,-1.406,0.739,43.31530693,-1.454,0.685,65.768,-1.781
Q8VCM7,Fibrinogen gamma chain OS=Mus musculus GN=Fgg PE=2 SV=1,FIBG_MOUSE,Fgg,457,869,1078,588,1000,620,641,1247,1178,1075,922,958,707,622,855,617,1130,920,701,1217,1303,1062,1016,1133,23.24652221,1.020,1.052,40.39744443,2.256,1.068,62.606,2.127
Q62009,Isoform 5 of Periostin OS=Mus musculus GN=Postn,POSTN_MOUSE,Postn Osf2,42,39,38,33,0,32,27,30,28,17,14,17,11,18,16,20,19,11,3,11,13,7,6,7,34.75890487,-2.164,0.516,32.08420211,-4.873,0.353,65.703,-2.823
P01029,Complement C4-B OS=Mus musculus GN=C4b PE=1 SV=3,CO4B_MOUSE,C4b C4,255,312,304,197,291,232,319,531,571,466,336,431,206,249,193,161,267,287,206,407,359,331,307,418,13.48952271,-1.493,0.857,45.0000546,-2.985,0.764,55.312,-2.664
O35536,Tissue factor pathway inhibitor 2 OS=Mus musculus GN=Tfpi2 PE=2 SV=1,TFPI2_MOUSE,Tfpi2,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,7,11,6,0,0,1,16.94887776,1.864,#DIV/0!,16.83331832,2.127,#DIV/0!,35.320,2.984
Q8BH61,Coagulation factor XIII A chain OS=Mus musculus GN=F13a1 PE=2 SV=3,F13A_MOUSE,F13a1 F13a,85,119,104,93,119,80,50,95,88,76,52,60,62,79,61,60,97,67,32,49,44,43,38,46,29.10119932,-4.266,0.710,26.44007025,-7.020,0.599,54.659,-2.267
P01638,Ig kappa chain V-V region L6 (Fragment) OS=Mus musculus PE=4 SV=1,KV5A6_MOUSE,0,0,2,0,2,3,0,0,0,0,0,0,0,3,3,5,8,12,9,0,0,5,9,6,5,23.65620466,3.756,5.714,15.83116946,2.628,#DIV/0!,40.538,4.122
P08121,Collagen alpha-1(III) chain OS=Mus musculus GN=Col3a1 PE=1 SV=4,CO3A1_MOUSE,Col3a1,9,13,5,3,8,6,4,8,4,5,5,6,2,0,2,3,1,1,0,0,1,0,0,0,21.48857361,-3.458,0.205,19.4320989,-7.401,0.031,41.375,-4.833
P01899,"H-2 class I histocompatibility antigen, D-B alpha chain OS=Mus musculus GN=H2-D1 PE=1 SV=2",HA11_MOUSE,H2-D1,7,0,0,0,0,0,7,0,0,0,0,0,7,12,0,0,11,8,10,18,0,0,0,13,17.80561811,1.820,5.429,17.76941335,1.606,5.857,36.692,2.554
Q61703,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Mus musculus GN=Itih2 PE=1 SV=1,ITIH2_MOUSE,Itih2,98,146,153,79,141,99,256,379,355,274,264,255,157,205,137,101,191,137,282,396,362,307,314,307,42.19348299,2.556,1.296,22.31702622,3.361,1.104,59.324,1.693
Q62009-2,Isoform 2 of Periostin OS=Mus musculus GN=Postn,POSTN_MOUSE,Postn Osf2,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.39506573,-0.981,0.000,0.166666667,0.000,#DIV/0!,25.739,-0.981
O08677-2,Isoform LMW of Kininogen-1 OS=Mus musculus GN=Kng1,KNG1_MOUSE,Kng1 Kng,247,295,0,0,0,0,624,885,815,724,646,569,280,331,0,0,397,289,528,803,732,643,642,629,287.6129517,1.247,2.393,0.141427943,-0.265,0.933,59.394,0.589
Q61702,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Mus musculus GN=Itih1 PE=1 SV=2,ITIH1_MOUSE,Itih1,140,126,123,112,171,136,199,278,285,253,240,208,173,194,148,121,193,150,245,306,300,271,258,282,24.32355443,2.484,1.212,25.49501235,3.492,1.136,49.848,2.66
P01661,Ig kappa chain V-III region PC 4050 OS=Mus musculus PE=1 SV=1,KV3A9_MOUSE,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,6,11,8,1,0,3,2,4,2,1,26.83730131,2.656,16.000,5.26250247,2.809,#DIV/0!,33.126,2.892
P01878,Ig alpha chain C region OS=Mus musculus PE=1 SV=1,IGHA_MOUSE,0,3,1,2,1,5,4,1,1,1,1,0,0,13,1,4,4,7,10,15,9,8,5,4,5,10.17006636,1.973,2.438,30.56575284,2.836,11.500,37.704,3.529
Q8BH35,Complement component C8 beta chain OS=Mus musculus GN=C8b PE=1 SV=1,CO8B_MOUSE,C8b,62,76,95,96,135,112,46,71,93,120,107,115,45,15,20,116,139,103,22,6,12,122,100,91,18.38694419,-0.908,0.760,30.04784307,-1.179,0.639,46.578,-1.42
P29699,Alpha-2-HS-glycoprotein OS=Mus musculus GN=Ahsg PE=1 SV=1,FETUA_MOUSE,Ahsg Fetua,253,659,608,269,562,265,542,864,876,564,528,482,271,469,489,283,506,286,432,711,668,499,422,431,5.764520905,-0.360,0.881,25.43310152,-1.637,0.820,28.208,-1.059
P01642,Ig kappa chain V-V region L7 (Fragment) OS=Mus musculus GN=Gm10881 PE=1 SV=1,KV5A9_MOUSE,Gm10881,1,1,1,1,2,0,1,0,1,0,0,0,3,6,8,6,6,4,1,4,14,5,1,1,19.74145837,4.757,5.500,12.33610048,1.921,13.000,33.318,4.06
Q9ET66,Peptidase inhibitor 16 OS=Mus musculus GN=Pi16 PE=2 SV=1,PI16_MOUSE,Pi16 Cripi,19,21,24,17,23,18,38,37,33,26,16,19,11,13,12,10,12,8,8,20,19,11,13,8,16.04259445,-6.821,0.541,24.84699608,-3.325,0.467,40.970,-5.866
P01751,Ig heavy chain V region 1-62-3 OS=Mus musculus GN=Ighv1-62-3 PE=4 SV=2,HVM07_MOUSE,Ighv1-72 Gm16709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,12,11,0,3.422879737,0.919,#DIV/0!,15.32584009,1.584,#DIV/0!,19.522,1.875
Q5I2A0,Serine protease inhibitor A3G OS=Mus musculus GN=Serpina3g PE=2 SV=2,SPA3G_MOUSE,Serpina3g Spi2A,60,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,144,85,0,0,0,0,116,0,0.029711572,0.000,1.112,100.2180288,0.994,#DIV/0!,18.074,0.429
Q9JM99,Isoform E of Proteoglycan 4 OS=Mus musculus GN=Prg4,PRG4_MOUSE,Prg4 Msf Szp,8,10,10,1,2,1,5,8,10,1,2,3,22,17,16,5,9,15,15,10,14,6,6,14,27.73020065,2.756,2.625,15.01840979,2.592,2.241,43.541,3.536
P11589,Major urinary protein 2 OS=Mus musculus GN=Mup2 PE=1 SV=1,MUP2_MOUSE,Mup2,11,7,14,29,55,41,5,25,24,55,27,22,2,0,6,31,33,25,0,2,7,26,20,12,13.18959574,-0.965,0.618,27.1591636,-1.810,0.424,37.922,-1.801
P18419,Seminal vesicle secretory protein 4 OS=Mus musculus GN=Svs4 PE=1 SV=2,SVS4_MOUSE,Svs4 Svp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,20,1,4.782421383,0.933,#DIV/0!,13.42599541,1.020,#DIV/0!,19.263,1.405
P01633,Ig kappa chain V19-17 OS=Mus musculus GN=Igk-V19-17 PE=1 SV=1,KV5A1_MOUSE,Igk-V19-17,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1,4,4,0,3,8,3,3,3,0,10.7491505,2.546,16.000,11.92354776,3.135,#DIV/0!,23.959,4.244
Q80X76,Serine protease inhibitor A3F OS=Mus musculus GN=Serpina3f PE=1 SV=3,SPA3F_MOUSE,Serpina3f,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0.166666667,0.000,#DIV/0!,23.07289453,-0.646,0.282,21.775,-0.646
P02089,Hemoglobin subunit beta-2 OS=Mus musculus GN=Hbb-b2 PE=1 SV=2,HBB2_MOUSE,Hbb-b2,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,21.25962795,-0.975,0.000,18.055,-0.975
Q9Z1T2,Thrombospondin-4 OS=Mus musculus GN=Thbs4 PE=1 SV=1,TSP4_MOUSE,Thbs4 Tsp4,23,28,28,9,33,21,13,25,24,15,12,13,9,11,14,4,15,8,5,16,12,8,6,10,32.36932537,-4.340,0.430,8.183488336,-3.741,0.559,39.696,-3.916
P07724,Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3,ALBU_MOUSE,Alb Alb-1 Alb1,291,191,198,20,24,16,742,460,567,197,16,17,195,140,258,21,18,13,305,449,710,46,19,18,4.413080771,-0.177,0.872,31.6346699,-0.344,0.774,33.484,-0.388
P12246,Serum amyloid P-component OS=Mus musculus GN=Apcs PE=1 SV=2,SAMP_MOUSE,Apcs Ptx2 Sap,14,17,21,6,8,12,14,20,19,3,4,7,32,24,21,8,15,27,38,21,33,6,7,27,14.9399275,2.014,1.628,26.66692793,1.734,1.970,40.400,2.642
P08607,C4b-binding protein OS=Mus musculus GN=C4bpa PE=1 SV=3,C4BPA_MOUSE,C4bpa C4bp,54,61,56,45,67,65,33,37,37,29,26,33,71,9,62,69,124,104,42,32,41,59,59,57,11.61041531,1.050,1.261,22.39204355,3.013,1.487,30.576,1.45
P01749,Ig heavy chain V region 3 OS=Mus musculus GN=Ighv1-61 PE=1 SV=1,HVM05_MOUSE,Ighv1-61 Igh-VJ558,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,2,12,7,4,0,2.922348859,0.884,4.000,17.211169,2.561,#DIV/0!,19.625,2.448
P15947,Kallikrein-1 OS=Mus musculus GN=Klk1 PE=1 SV=3,KLK1_MOUSE,Klk1 Klk-6 Klk6,12,3,2,0,0,0,10,5,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10.77085489,-1.154,0.176,13.44236839,-1.775,0.000,25.307,-2.059
P09470,Angiotensin-converting enzyme OS=Mus musculus GN=Ace PE=1 SV=3,ACE_MOUSE,Ace Dcp1,40,25,21,34,57,41,7,13,10,11,5,5,16,11,15,21,25,18,5,6,7,8,6,4,41.37720723,-3.408,0.486,0.932157333,-1.563,0.706,39.605,-1.744
P18532,Ig heavy chain V region 1B43 OS=Mus musculus PE=1 SV=1,HVM61_MOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,26.55198057,0.980,#DIV/0!,0.166666667,0.000,#DIV/0!,23.036,0.979
Q2VLH6,Isoform 2 of Scavenger receptor cysteine-rich type 1 protein M130 OS=Mus musculus GN=Cd163,C163A_MOUSE,Cd163 M130,9,5,9,3,3,3,2,3,2,1,2,3,0,0,0,3,2,0,0,0,0,0,0,0,18.60815006,-2.917,0.156,6.201136511,-4.607,0.000,26.037,-3.195
P08071,Lactotransferrin OS=Mus musculus GN=Ltf PE=2 SV=4,TRFL_MOUSE,Ltf,38,30,35,19,19,21,29,29,26,14,18,21,51,34,38,29,38,28,40,41,41,36,30,27,10.39024312,1.777,1.346,19.45509049,2.987,1.569,28.551,2.814
